Radio Mano  Monday analysis,SbjNum,Province,Districts,AREA TYPE,Gender,Number of Radio Sets,Number of Cars,LSM GROUP,Educational Qualification,Religion,Work Status,Social Class,Gross Monthly Income,Clothing P6M,Age Range,Radio Mano  Monday
9:00  -  9:14,60583199,Northern,Kasama,Urban,Female,0,None,C2,Some university,Anglican/Protestant,Working Full-Time,Do not know,Do not know,Yes,25 – 34,"8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14"
10:00  -  10:14,60583199,Northern,Kasama,Urban,Female,0,None,C2,Some university,Anglican/Protestant,Working Full-Time,Do not know,Do not know,Yes,25 – 34,"8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14"
8:30  -  8:44,60583199,Northern,Kasama,Urban,Female,0,None,C2,Some university,Anglican/Protestant,Working Full-Time,Do not know,Do not know,Yes,25 – 34,"8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14"
8:45  -  8:59,60583199,Northern,Kasama,Urban,Female,0,None,C2,Some university,Anglican/Protestant,Working Full-Time,Do not know,Do not know,Yes,25 – 34,"8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14"
8:00  -  8:14,60583199,Northern,Kasama,Urban,Female,0,None,C2,Some university,Anglican/Protestant,Working Full-Time,Do not know,Do not know,Yes,25 – 34,"8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14"
9:30  -  9:44,60583199,Northern,Kasama,Urban,Female,0,None,C2,Some university,Anglican/Protestant,Working Full-Time,Do not know,Do not know,Yes,25 – 34,"8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14"
9:15  -  9:29,60583199,Northern,Kasama,Urban,Female,0,None,C2,Some university,Anglican/Protestant,Working Full-Time,Do not know,Do not know,Yes,25 – 34,"8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14"
9:45  -  9:59,60583199,Northern,Kasama,Urban,Female,0,None,C2,Some university,Anglican/Protestant,Working Full-Time,Do not know,Do not know,Yes,25 – 34,"8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14"
8:15  -  8:29,60583199,Northern,Kasama,Urban,Female,0,None,C2,Some university,Anglican/Protestant,Working Full-Time,Do not know,Do not know,Yes,25 – 34,"8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14"
9:00  -  9:14,60583200,Northern,Kasama,Urban,Male,1,None,C1,Any other post-high school qualification,Roman Catholic,Working Full-Time,Do not know,"K 3,891  -  K 4,627",Yes,25 – 34,"8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29"
8:45  -  8:59,60583200,Northern,Kasama,Urban,Male,1,None,C1,Any other post-high school qualification,Roman Catholic,Working Full-Time,Do not know,"K 3,891  -  K 4,627",Yes,25 – 34,"8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29"
9:15  -  9:29,60583200,Northern,Kasama,Urban,Male,1,None,C1,Any other post-high school qualification,Roman Catholic,Working Full-Time,Do not know,"K 3,891  -  K 4,627",Yes,25 – 34,"8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29"
8:30  -  8:44,60583200,Northern,Kasama,Urban,Male,1,None,C1,Any other post-high school qualification,Roman Catholic,Working Full-Time,Do not know,"K 3,891  -  K 4,627",Yes,25 – 34,"8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29"
19:15  -  19:29,60583203,Northern,Kasama,Rural,Male,1,None,D,Primary school completed,Anglican/Protestant,Unemployed [SEEKING A JOB],D,Under K 849,Yes,35 – 44,"19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59"
19:45  -  19:59,60583203,Northern,Kasama,Rural,Male,1,None,D,Primary school completed,Anglican/Protestant,Unemployed [SEEKING A JOB],D,Under K 849,Yes,35 – 44,"19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59"
19:30  -  19:44,60583203,Northern,Kasama,Rural,Male,1,None,D,Primary school completed,Anglican/Protestant,Unemployed [SEEKING A JOB],D,Under K 849,Yes,35 – 44,"19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59"
19:00  -  19:14,60583203,Northern,Kasama,Rural,Male,1,None,D,Primary school completed,Anglican/Protestant,Unemployed [SEEKING A JOB],D,Under K 849,Yes,35 – 44,"19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59"
7:00  -  7:14,60601393,Northern,Kasama,Rural,Male,1,None,C1,Any other post-high school qualification,Anglican/Protestant,Unemployed [SEEKING A JOB],Do not know,No Income,Yes,25 – 34,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,16:45  -  16:59,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44"
17:30  -  17:44,60601393,Northern,Kasama,Rural,Male,1,None,C1,Any other post-high school qualification,Anglican/Protestant,Unemployed [SEEKING A JOB],Do not know,No Income,Yes,25 – 34,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,16:45  -  16:59,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44"
6:15  -  6:29,60601393,Northern,Kasama,Rural,Male,1,None,C1,Any other post-high school qualification,Anglican/Protestant,Unemployed [SEEKING A JOB],Do not know,No Income,Yes,25 – 34,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,16:45  -  16:59,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44"
16:45  -  16:59,60601393,Northern,Kasama,Rural,Male,1,None,C1,Any other post-high school qualification,Anglican/Protestant,Unemployed [SEEKING A JOB],Do not know,No Income,Yes,25 – 34,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,16:45  -  16:59,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44"
17:15  -  17:29,60601393,Northern,Kasama,Rural,Male,1,None,C1,Any other post-high school qualification,Anglican/Protestant,Unemployed [SEEKING A JOB],Do not know,No Income,Yes,25 – 34,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,16:45  -  16:59,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44"
7:15  -  7:29,60601393,Northern,Kasama,Rural,Male,1,None,C1,Any other post-high school qualification,Anglican/Protestant,Unemployed [SEEKING A JOB],Do not know,No Income,Yes,25 – 34,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,16:45  -  16:59,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44"
7:30  -  7:44,60601393,Northern,Kasama,Rural,Male,1,None,C1,Any other post-high school qualification,Anglican/Protestant,Unemployed [SEEKING A JOB],Do not know,No Income,Yes,25 – 34,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,16:45  -  16:59,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44"
17:00  -  17:14,60601393,Northern,Kasama,Rural,Male,1,None,C1,Any other post-high school qualification,Anglican/Protestant,Unemployed [SEEKING A JOB],Do not know,No Income,Yes,25 – 34,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,16:45  -  16:59,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44"
6:45  -  6:59,60601393,Northern,Kasama,Rural,Male,1,None,C1,Any other post-high school qualification,Anglican/Protestant,Unemployed [SEEKING A JOB],Do not know,No Income,Yes,25 – 34,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,16:45  -  16:59,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44"
6:30  -  6:44,60601393,Northern,Kasama,Rural,Male,1,None,C1,Any other post-high school qualification,Anglican/Protestant,Unemployed [SEEKING A JOB],Do not know,No Income,Yes,25 – 34,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,16:45  -  16:59,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44"
6:00  -  6:14,60601393,Northern,Kasama,Rural,Male,1,None,C1,Any other post-high school qualification,Anglican/Protestant,Unemployed [SEEKING A JOB],Do not know,No Income,Yes,25 – 34,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,16:45  -  16:59,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44"
16:15  -  16:29,60642685,Northern,Kasama,Rural,Female,0,None,C2,Primary school completed,Anglican/Protestant,Working Full-Time,D,"K 1675- K2,499",Yes,35 – 44,"16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59"
16:45  -  16:59,60642685,Northern,Kasama,Rural,Female,0,None,C2,Primary school completed,Anglican/Protestant,Working Full-Time,D,"K 1675- K2,499",Yes,35 – 44,"16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59"
16:30  -  16:44,60642685,Northern,Kasama,Rural,Female,0,None,C2,Primary school completed,Anglican/Protestant,Working Full-Time,D,"K 1675- K2,499",Yes,35 – 44,"16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59"
16:00  -  16:14,60642685,Northern,Kasama,Rural,Female,0,None,C2,Primary school completed,Anglican/Protestant,Working Full-Time,D,"K 1675- K2,499",Yes,35 – 44,"16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59"
18:15  -  18:29,60755118,Northern,Kasama,Rural,Male,0,None,D,Some high school,Roman Catholic,Retired - voluntary scholarspensioners,No Income,No Income,Yes,45+,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14"
18:30  -  18:44,60755118,Northern,Kasama,Rural,Male,0,None,D,Some high school,Roman Catholic,Retired - voluntary scholarspensioners,No Income,No Income,Yes,45+,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14"
