Radio Mano  Saturday analysis,SbjNum,Province,Districts,AREA TYPE,Gender,Number of Radio Sets,Number of Cars,LSM GROUP,Educational Qualification,Religion,Work Status,Social Class,Gross Monthly Income,Clothing P6M,Age Range,Radio Mano  Saturday
13:00  -  13:14,60583199,Northern,Kasama,Urban,Female,0,None,C2,Some university,Anglican/Protestant,Working Full-Time,Do not know,Do not know,Yes,25 – 34,"12:45  -  12:59,13:00  -  13:14"
12:45  -  12:59,60583199,Northern,Kasama,Urban,Female,0,None,C2,Some university,Anglican/Protestant,Working Full-Time,Do not know,Do not know,Yes,25 – 34,"12:45  -  12:59,13:00  -  13:14"
10:00  -  10:14,60583200,Northern,Kasama,Urban,Male,1,None,C1,Any other post-high school qualification,Roman Catholic,Working Full-Time,Do not know,"K 3,891  -  K 4,627",Yes,25 – 34,"10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59"
10:15  -  10:29,60583200,Northern,Kasama,Urban,Male,1,None,C1,Any other post-high school qualification,Roman Catholic,Working Full-Time,Do not know,"K 3,891  -  K 4,627",Yes,25 – 34,"10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59"
10:30  -  10:44,60583200,Northern,Kasama,Urban,Male,1,None,C1,Any other post-high school qualification,Roman Catholic,Working Full-Time,Do not know,"K 3,891  -  K 4,627",Yes,25 – 34,"10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59"
10:45  -  10:59,60583200,Northern,Kasama,Urban,Male,1,None,C1,Any other post-high school qualification,Roman Catholic,Working Full-Time,Do not know,"K 3,891  -  K 4,627",Yes,25 – 34,"10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59"
8:15  -  8:29,60583202,Northern,Kasama,Urban,Male,1,One,C1,Completed high School,Roman Catholic,Unemployed [SEEKING A JOB],Do not know,No Income,Yes,19 – 24,"8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59"
8:30  -  8:44,60583202,Northern,Kasama,Urban,Male,1,One,C1,Completed high School,Roman Catholic,Unemployed [SEEKING A JOB],Do not know,No Income,Yes,19 – 24,"8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59"
8:45  -  8:59,60583202,Northern,Kasama,Urban,Male,1,One,C1,Completed high School,Roman Catholic,Unemployed [SEEKING A JOB],Do not know,No Income,Yes,19 – 24,"8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59"
8:00  -  8:14,60583202,Northern,Kasama,Urban,Male,1,One,C1,Completed high School,Roman Catholic,Unemployed [SEEKING A JOB],Do not know,No Income,Yes,19 – 24,"8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59"
19:30  -  19:44,60583203,Northern,Kasama,Rural,Male,1,None,D,Primary school completed,Anglican/Protestant,Unemployed [SEEKING A JOB],D,Under K 849,Yes,35 – 44,"19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29"
20:00  -  20:14,60583203,Northern,Kasama,Rural,Male,1,None,D,Primary school completed,Anglican/Protestant,Unemployed [SEEKING A JOB],D,Under K 849,Yes,35 – 44,"19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29"
19:15  -  19:29,60583203,Northern,Kasama,Rural,Male,1,None,D,Primary school completed,Anglican/Protestant,Unemployed [SEEKING A JOB],D,Under K 849,Yes,35 – 44,"19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29"
