Radio Mano  Wednesday analysis,SbjNum,Province,Districts,AREA TYPE,Gender,Number of Radio Sets,Number of Cars,LSM GROUP,Educational Qualification,Religion,Work Status,Social Class,Gross Monthly Income,Clothing P6M,Age Range,Radio Mano  Wednesday
10:00  -  10:14,60562228,Northern,Kasama,Urban,Male,1,None,C2,Any other post-high school qualification,Roman Catholic,Retired - voluntary scholarspensioners,No Income,No Income,Yes,45+,"10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14"
10:15  -  10:29,60562228,Northern,Kasama,Urban,Male,1,None,C2,Any other post-high school qualification,Roman Catholic,Retired - voluntary scholarspensioners,No Income,No Income,Yes,45+,"10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14"
10:45  -  10:59,60562228,Northern,Kasama,Urban,Male,1,None,C2,Any other post-high school qualification,Roman Catholic,Retired - voluntary scholarspensioners,No Income,No Income,Yes,45+,"10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14"
11:00  -  11:14,60562228,Northern,Kasama,Urban,Male,1,None,C2,Any other post-high school qualification,Roman Catholic,Retired - voluntary scholarspensioners,No Income,No Income,Yes,45+,"10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14"
10:30  -  10:44,60562228,Northern,Kasama,Urban,Male,1,None,C2,Any other post-high school qualification,Roman Catholic,Retired - voluntary scholarspensioners,No Income,No Income,Yes,45+,"10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14"
10:00  -  10:14,60562232,Northern,Kasama,Rural,Female,1,None,C2,Primary school completed,Roman Catholic,Unemployed [SEEKING A JOB],Do not know,No Income,Yes,19 – 24,"9:45  -  9:59,10:00  -  10:14"
9:45  -  9:59,60562232,Northern,Kasama,Rural,Female,1,None,C2,Primary school completed,Roman Catholic,Unemployed [SEEKING A JOB],Do not know,No Income,Yes,19 – 24,"9:45  -  9:59,10:00  -  10:14"
19:00  -  19:14,60583199,Northern,Kasama,Urban,Female,0,None,C2,Some university,Anglican/Protestant,Working Full-Time,Do not know,Do not know,Yes,25 – 34,19:00  -  19:14
10:00  -  10:14,60583200,Northern,Kasama,Urban,Male,1,None,C1,Any other post-high school qualification,Roman Catholic,Working Full-Time,Do not know,"K 3,891  -  K 4,627",Yes,25 – 34,"9:15  -  9:29,9:30  -  9:44,10:00  -  10:14"
9:30  -  9:44,60583200,Northern,Kasama,Urban,Male,1,None,C1,Any other post-high school qualification,Roman Catholic,Working Full-Time,Do not know,"K 3,891  -  K 4,627",Yes,25 – 34,"9:15  -  9:29,9:30  -  9:44,10:00  -  10:14"
9:15  -  9:29,60583200,Northern,Kasama,Urban,Male,1,None,C1,Any other post-high school qualification,Roman Catholic,Working Full-Time,Do not know,"K 3,891  -  K 4,627",Yes,25 – 34,"9:15  -  9:29,9:30  -  9:44,10:00  -  10:14"
19:30  -  19:44,60583201,Northern,Kasama,Urban,Female,1,None,C2,Completed high School,Other Christian,Working Full-Time,Do not know,Under K 849,Yes,25 – 34,"19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14"
20:00  -  20:14,60583201,Northern,Kasama,Urban,Female,1,None,C2,Completed high School,Other Christian,Working Full-Time,Do not know,Under K 849,Yes,25 – 34,"19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14"
19:15  -  19:29,60583201,Northern,Kasama,Urban,Female,1,None,C2,Completed high School,Other Christian,Working Full-Time,Do not know,Under K 849,Yes,25 – 34,"19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14"
19:45  -  19:59,60583201,Northern,Kasama,Urban,Female,1,None,C2,Completed high School,Other Christian,Working Full-Time,Do not know,Under K 849,Yes,25 – 34,"19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14"
19:00  -  19:14,60583201,Northern,Kasama,Urban,Female,1,None,C2,Completed high School,Other Christian,Working Full-Time,Do not know,Under K 849,Yes,25 – 34,"19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14"
19:15  -  19:29,60583203,Northern,Kasama,Rural,Male,1,None,D,Primary school completed,Anglican/Protestant,Unemployed [SEEKING A JOB],D,Under K 849,Yes,35 – 44,"19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59"
19:45  -  19:59,60583203,Northern,Kasama,Rural,Male,1,None,D,Primary school completed,Anglican/Protestant,Unemployed [SEEKING A JOB],D,Under K 849,Yes,35 – 44,"19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59"
19:30  -  19:44,60583203,Northern,Kasama,Rural,Male,1,None,D,Primary school completed,Anglican/Protestant,Unemployed [SEEKING A JOB],D,Under K 849,Yes,35 – 44,"19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59"
19:00  -  19:14,60583203,Northern,Kasama,Rural,Male,1,None,D,Primary school completed,Anglican/Protestant,Unemployed [SEEKING A JOB],D,Under K 849,Yes,35 – 44,"19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59"
7:00  -  7:14,60601393,Northern,Kasama,Rural,Male,1,None,C1,Any other post-high school qualification,Anglican/Protestant,Unemployed [SEEKING A JOB],Do not know,No Income,Yes,25 – 34,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,16:15  -  16:29,16:30  -  16:44"
15:15  -  15:29,60601393,Northern,Kasama,Rural,Male,1,None,C1,Any other post-high school qualification,Anglican/Protestant,Unemployed [SEEKING A JOB],Do not know,No Income,Yes,25 – 34,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,16:15  -  16:29,16:30  -  16:44"
16:15  -  16:29,60601393,Northern,Kasama,Rural,Male,1,None,C1,Any other post-high school qualification,Anglican/Protestant,Unemployed [SEEKING A JOB],Do not know,No Income,Yes,25 – 34,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,16:15  -  16:29,16:30  -  16:44"
6:15  -  6:29,60601393,Northern,Kasama,Rural,Male,1,None,C1,Any other post-high school qualification,Anglican/Protestant,Unemployed [SEEKING A JOB],Do not know,No Income,Yes,25 – 34,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,16:15  -  16:29,16:30  -  16:44"
16:00  -  16:14,60601393,Northern,Kasama,Rural,Male,1,None,C1,Any other post-high school qualification,Anglican/Protestant,Unemployed [SEEKING A JOB],Do not know,No Income,Yes,25 – 34,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,16:15  -  16:29,16:30  -  16:44"
7:15  -  7:29,60601393,Northern,Kasama,Rural,Male,1,None,C1,Any other post-high school qualification,Anglican/Protestant,Unemployed [SEEKING A JOB],Do not know,No Income,Yes,25 – 34,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,16:15  -  16:29,16:30  -  16:44"
6:45  -  6:59,60601393,Northern,Kasama,Rural,Male,1,None,C1,Any other post-high school qualification,Anglican/Protestant,Unemployed [SEEKING A JOB],Do not know,No Income,Yes,25 – 34,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,16:15  -  16:29,16:30  -  16:44"
15:30  -  15:44,60601393,Northern,Kasama,Rural,Male,1,None,C1,Any other post-high school qualification,Anglican/Protestant,Unemployed [SEEKING A JOB],Do not know,No Income,Yes,25 – 34,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,16:15  -  16:29,16:30  -  16:44"
6:30  -  6:44,60601393,Northern,Kasama,Rural,Male,1,None,C1,Any other post-high school qualification,Anglican/Protestant,Unemployed [SEEKING A JOB],Do not know,No Income,Yes,25 – 34,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,16:15  -  16:29,16:30  -  16:44"
16:30  -  16:44,60601393,Northern,Kasama,Rural,Male,1,None,C1,Any other post-high school qualification,Anglican/Protestant,Unemployed [SEEKING A JOB],Do not know,No Income,Yes,25 – 34,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,16:15  -  16:29,16:30  -  16:44"
15:45  -  15:59,60601393,Northern,Kasama,Rural,Male,1,None,C1,Any other post-high school qualification,Anglican/Protestant,Unemployed [SEEKING A JOB],Do not know,No Income,Yes,25 – 34,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,16:15  -  16:29,16:30  -  16:44"
