Radio Mano analysis,SbjNum,Province,Districts,AREA TYPE,Gender,Number of Radio Sets,Number of Cars,LSM GROUP,Educational Qualification,Religion,Work Status,Social Class,Gross Monthly Income,Clothing P6M,Age Range,Radio Mano
9:30  -  9:44,60562227,Northern,Kasama,Urban,Female,1,None,C2,Some high school,Others,Student,Do not know,No Income,Yes,19 – 24,",,,,,,,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,"
9:15  -  9:29,60562227,Northern,Kasama,Urban,Female,1,None,C2,Some high school,Others,Student,Do not know,No Income,Yes,19 – 24,",,,,,,,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,"
9:45  -  9:59,60562227,Northern,Kasama,Urban,Female,1,None,C2,Some high school,Others,Student,Do not know,No Income,Yes,19 – 24,",,,,,,,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,"
9:00  -  9:14,60562227,Northern,Kasama,Urban,Female,1,None,C2,Some high school,Others,Student,Do not know,No Income,Yes,19 – 24,",,,,,,,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,"
11:00  -  11:14,60562228,Northern,Kasama,Urban,Male,1,None,C2,Any other post-high school qualification,Roman Catholic,Retired - voluntary scholarspensioners,No Income,No Income,Yes,45+,",,,,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,,,"
10:00  -  10:14,60562228,Northern,Kasama,Urban,Male,1,None,C2,Any other post-high school qualification,Roman Catholic,Retired - voluntary scholarspensioners,No Income,No Income,Yes,45+,",,,,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,,,"
10:15  -  10:29,60562228,Northern,Kasama,Urban,Male,1,None,C2,Any other post-high school qualification,Roman Catholic,Retired - voluntary scholarspensioners,No Income,No Income,Yes,45+,",,,,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,,,"
10:45  -  10:59,60562228,Northern,Kasama,Urban,Male,1,None,C2,Any other post-high school qualification,Roman Catholic,Retired - voluntary scholarspensioners,No Income,No Income,Yes,45+,",,,,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,,,"
10:30  -  10:44,60562228,Northern,Kasama,Urban,Male,1,None,C2,Any other post-high school qualification,Roman Catholic,Retired - voluntary scholarspensioners,No Income,No Income,Yes,45+,",,,,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,,,"
11:15  -  11:29,60562229,Northern,Kasama,Urban,Male,1,One,C1,Any other post-high school qualification,Other Christian,Working Full-Time,C2,"K 3,891  -  K 4,627",Yes,35 – 44,",,,,,,,11:15  -  11:29,11:30  -  11:44,"
