Rise FM  Monday analysis,SbjNum,Province,Districts,AREA TYPE,Gender,Number of Radio Sets,Number of Cars,LSM GROUP,Educational Qualification,Religion,Work Status,Social Class,Gross Monthly Income,Clothing P6M,Age Range,Rise FM  Monday
15:00  -  15:14,60582629,Copperbelt,Mufulira,Urban,Male,2,Two or More,AB,Completed high School,Anglican/Protestant,Self employed,Do not know,Do not know,Yes,35 – 44,"15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59"
15:15  -  15:29,60582629,Copperbelt,Mufulira,Urban,Male,2,Two or More,AB,Completed high School,Anglican/Protestant,Self employed,Do not know,Do not know,Yes,35 – 44,"15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59"
15:45  -  15:59,60582629,Copperbelt,Mufulira,Urban,Male,2,Two or More,AB,Completed high School,Anglican/Protestant,Self employed,Do not know,Do not know,Yes,35 – 44,"15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59"
15:30  -  15:44,60582629,Copperbelt,Mufulira,Urban,Male,2,Two or More,AB,Completed high School,Anglican/Protestant,Self employed,Do not know,Do not know,Yes,35 – 44,"15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59"
15:00  -  15:14,60601687,Copperbelt,Chingola,Rural,Female,1,None,D,Some primary school,Other Christian,Self employed,D,Under K 849,No,45+,"15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14"
17:00  -  17:14,60601687,Copperbelt,Chingola,Rural,Female,1,None,D,Some primary school,Other Christian,Self employed,D,Under K 849,No,45+,"15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14"
16:00  -  16:14,60601687,Copperbelt,Chingola,Rural,Female,1,None,D,Some primary school,Other Christian,Self employed,D,Under K 849,No,45+,"15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14"
15:45  -  15:59,60601687,Copperbelt,Chingola,Rural,Female,1,None,D,Some primary school,Other Christian,Self employed,D,Under K 849,No,45+,"15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14"
15:30  -  15:44,60601687,Copperbelt,Chingola,Rural,Female,1,None,D,Some primary school,Other Christian,Self employed,D,Under K 849,No,45+,"15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14"
16:15  -  16:29,60601687,Copperbelt,Chingola,Rural,Female,1,None,D,Some primary school,Other Christian,Self employed,D,Under K 849,No,45+,"15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14"
15:15  -  15:29,60601687,Copperbelt,Chingola,Rural,Female,1,None,D,Some primary school,Other Christian,Self employed,D,Under K 849,No,45+,"15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14"
16:45  -  16:59,60601687,Copperbelt,Chingola,Rural,Female,1,None,D,Some primary school,Other Christian,Self employed,D,Under K 849,No,45+,"15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14"
16:30  -  16:44,60601687,Copperbelt,Chingola,Rural,Female,1,None,D,Some primary school,Other Christian,Self employed,D,Under K 849,No,45+,"15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14"
14:30  -  14:44,60677659,Copperbelt,Chingola,Rural,Female,1,None,C2,Some high school,Other Christian,Student,Do not know,Under K 849,Yes,19 – 24,"14:00  -  14:14,14:15  -  14:29,14:30  -  14:44"
14:00  -  14:14,60677659,Copperbelt,Chingola,Rural,Female,1,None,C2,Some high school,Other Christian,Student,Do not know,Under K 849,Yes,19 – 24,"14:00  -  14:14,14:15  -  14:29,14:30  -  14:44"
14:15  -  14:29,60677659,Copperbelt,Chingola,Rural,Female,1,None,C2,Some high school,Other Christian,Student,Do not know,Under K 849,Yes,19 – 24,"14:00  -  14:14,14:15  -  14:29,14:30  -  14:44"
8:45  -  8:59,60707797,Copperbelt,Mufulira,Urban,Female,3,One,C1,Completed high School,Other Christian,Unemployed [SEEKING A JOB],Do not know,No Income,Yes,19 – 24,"8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59"
8:30  -  8:44,60707797,Copperbelt,Mufulira,Urban,Female,3,One,C1,Completed high School,Other Christian,Unemployed [SEEKING A JOB],Do not know,No Income,Yes,19 – 24,"8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59"
8:00  -  8:14,60707797,Copperbelt,Mufulira,Urban,Female,3,One,C1,Completed high School,Other Christian,Unemployed [SEEKING A JOB],Do not know,No Income,Yes,19 – 24,"8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59"
9:30  -  9:44,60707797,Copperbelt,Mufulira,Urban,Female,3,One,C1,Completed high School,Other Christian,Unemployed [SEEKING A JOB],Do not know,No Income,Yes,19 – 24,"8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59"
