Rise FM  Sunday analysis,SbjNum,Province,Districts,AREA TYPE,Gender,Number of Radio Sets,Number of Cars,LSM GROUP,Educational Qualification,Religion,Work Status,Social Class,Gross Monthly Income,Clothing P6M,Age Range,Rise FM  Sunday
19:45  -  19:59,60607037,Copperbelt,Chingola,Rural,Female,0,None,D,Some primary school,Roman Catholic,Housewife,D,Under K 849,No,19 – 24,"19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14"
19:00  -  19:14,60607037,Copperbelt,Chingola,Rural,Female,0,None,D,Some primary school,Roman Catholic,Housewife,D,Under K 849,No,19 – 24,"19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14"
19:15  -  19:29,60607037,Copperbelt,Chingola,Rural,Female,0,None,D,Some primary school,Roman Catholic,Housewife,D,Under K 849,No,19 – 24,"19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14"
20:00  -  20:14,60607037,Copperbelt,Chingola,Rural,Female,0,None,D,Some primary school,Roman Catholic,Housewife,D,Under K 849,No,19 – 24,"19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14"
19:30  -  19:44,60607037,Copperbelt,Chingola,Rural,Female,0,None,D,Some primary school,Roman Catholic,Housewife,D,Under K 849,No,19 – 24,"19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14"
15:00  -  15:14,60670616,Copperbelt,Mufulira,Rural,Female,0,None,AB,Some high school,Other Christian,Student,Do not know,No Income,Yes,25 – 34,"15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,16:15  -  16:29"
16:00  -  16:14,60670616,Copperbelt,Mufulira,Rural,Female,0,None,AB,Some high school,Other Christian,Student,Do not know,No Income,Yes,25 – 34,"15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,16:15  -  16:29"
15:45  -  15:59,60670616,Copperbelt,Mufulira,Rural,Female,0,None,AB,Some high school,Other Christian,Student,Do not know,No Income,Yes,25 – 34,"15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,16:15  -  16:29"
15:30  -  15:44,60670616,Copperbelt,Mufulira,Rural,Female,0,None,AB,Some high school,Other Christian,Student,Do not know,No Income,Yes,25 – 34,"15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,16:15  -  16:29"
16:15  -  16:29,60670616,Copperbelt,Mufulira,Rural,Female,0,None,AB,Some high school,Other Christian,Student,Do not know,No Income,Yes,25 – 34,"15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,16:15  -  16:29"
15:15  -  15:29,60670616,Copperbelt,Mufulira,Rural,Female,0,None,AB,Some high school,Other Christian,Student,Do not know,No Income,Yes,25 – 34,"15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,16:15  -  16:29"
13:45  -  13:59,60712980,Copperbelt,Chingola,Urban,Female,1,None,C1,Some high school,Other Christian,Housewife,D,Under K 849,Yes,19 – 24,"13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59"
13:00  -  13:14,60712980,Copperbelt,Chingola,Urban,Female,1,None,C1,Some high school,Other Christian,Housewife,D,Under K 849,Yes,19 – 24,"13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59"
13:15  -  13:29,60712980,Copperbelt,Chingola,Urban,Female,1,None,C1,Some high school,Other Christian,Housewife,D,Under K 849,Yes,19 – 24,"13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59"
13:30  -  13:44,60712980,Copperbelt,Chingola,Urban,Female,1,None,C1,Some high school,Other Christian,Housewife,D,Under K 849,Yes,19 – 24,"13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59"
8:00  -  8:14,60781397,Copperbelt,Chingola,Urban,Female,1,None,C1,Some university,Other Christian,Working Full-Time,Do not know,Do not know,Yes,45+,"7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14"
7:15  -  7:29,60781397,Copperbelt,Chingola,Urban,Female,1,None,C1,Some university,Other Christian,Working Full-Time,Do not know,Do not know,Yes,45+,"7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14"
7:45  -  7:59,60781397,Copperbelt,Chingola,Urban,Female,1,None,C1,Some university,Other Christian,Working Full-Time,Do not know,Do not know,Yes,45+,"7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14"
7:00  -  7:14,60781397,Copperbelt,Chingola,Urban,Female,1,None,C1,Some university,Other Christian,Working Full-Time,Do not know,Do not know,Yes,45+,"7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14"
7:30  -  7:44,60781397,Copperbelt,Chingola,Urban,Female,1,None,C1,Some university,Other Christian,Working Full-Time,Do not know,Do not know,Yes,45+,"7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14"
9:30  -  9:44,60848522,Copperbelt,Chingola,Urban,Male,1,None,AB,Some university,Roman Catholic,Working Full-Time,Do not know,Do not know,Yes,35 – 44,"9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59"
9:45  -  9:59,60848522,Copperbelt,Chingola,Urban,Male,1,None,AB,Some university,Roman Catholic,Working Full-Time,Do not know,Do not know,Yes,35 – 44,"9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59"
10:45  -  10:59,60848522,Copperbelt,Chingola,Urban,Male,1,None,AB,Some university,Roman Catholic,Working Full-Time,Do not know,Do not know,Yes,35 – 44,"9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59"
11:45  -  11:59,60848522,Copperbelt,Chingola,Urban,Male,1,None,AB,Some university,Roman Catholic,Working Full-Time,Do not know,Do not know,Yes,35 – 44,"9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59"
10:00  -  10:14,60848522,Copperbelt,Chingola,Urban,Male,1,None,AB,Some university,Roman Catholic,Working Full-Time,Do not know,Do not know,Yes,35 – 44,"9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59"
10:30  -  10:44,60848522,Copperbelt,Chingola,Urban,Male,1,None,AB,Some university,Roman Catholic,Working Full-Time,Do not know,Do not know,Yes,35 – 44,"9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59"
9:00  -  9:14,60848522,Copperbelt,Chingola,Urban,Male,1,None,AB,Some university,Roman Catholic,Working Full-Time,Do not know,Do not know,Yes,35 – 44,"9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59"
11:15  -  11:29,60848522,Copperbelt,Chingola,Urban,Male,1,None,AB,Some university,Roman Catholic,Working Full-Time,Do not know,Do not know,Yes,35 – 44,"9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59"
9:15  -  9:29,60848522,Copperbelt,Chingola,Urban,Male,1,None,AB,Some university,Roman Catholic,Working Full-Time,Do not know,Do not know,Yes,35 – 44,"9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59"
11:00  -  11:14,60848522,Copperbelt,Chingola,Urban,Male,1,None,AB,Some university,Roman Catholic,Working Full-Time,Do not know,Do not know,Yes,35 – 44,"9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59"
11:30  -  11:44,60848522,Copperbelt,Chingola,Urban,Male,1,None,AB,Some university,Roman Catholic,Working Full-Time,Do not know,Do not know,Yes,35 – 44,"9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59"
10:15  -  10:29,60848522,Copperbelt,Chingola,Urban,Male,1,None,AB,Some university,Roman Catholic,Working Full-Time,Do not know,Do not know,Yes,35 – 44,"9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59"
