Rise analysis,SbjNum,Province,Districts,AREA TYPE,Gender,Number of Radio Sets,Number of Cars,LSM GROUP,Educational Qualification,Religion,Work Status,Social Class,Gross Monthly Income,Clothing P6M,Age Range,Rise
8:00  -  8:14,60553130,Copperbelt,Chingola,Urban,Male,1,None,AB,Completed high School,Roman Catholic,Unemployed [SEEKING A JOB],C1,Under K 849,Yes,19 – 24,",,,,,,,,,,,,,,,6:15  -  6:29,8:00  -  8:14"
6:15  -  6:29,60553130,Copperbelt,Chingola,Urban,Male,1,None,AB,Completed high School,Roman Catholic,Unemployed [SEEKING A JOB],C1,Under K 849,Yes,19 – 24,",,,,,,,,,,,,,,,6:15  -  6:29,8:00  -  8:14"
16:15  -  16:29,60554971,Copperbelt,Chingola,Urban,Male,1,None,C1,Completed high School,Other Christian,Self employed,C1,"K 6,103   -  K 7,892",Yes,45+,",,,,,,,,,,,,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14,,,"
17:00  -  17:14,60554971,Copperbelt,Chingola,Urban,Male,1,None,C1,Completed high School,Other Christian,Self employed,C1,"K 6,103   -  K 7,892",Yes,45+,",,,,,,,,,,,,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14,,,"
16:45  -  16:59,60554971,Copperbelt,Chingola,Urban,Male,1,None,C1,Completed high School,Other Christian,Self employed,C1,"K 6,103   -  K 7,892",Yes,45+,",,,,,,,,,,,,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14,,,"
16:30  -  16:44,60554971,Copperbelt,Chingola,Urban,Male,1,None,C1,Completed high School,Other Christian,Self employed,C1,"K 6,103   -  K 7,892",Yes,45+,",,,,,,,,,,,,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14,,,"
21:00  -  21:14,60578499,Copperbelt,Chingola,Rural,Male,1,None,C2,Completed high School,Roman Catholic,Unemployed [SEEKING A JOB],Do not know,Under K 849,Yes,19 – 24,",,,,,,,,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,,,,,,,"
21:45  -  21:59,60578499,Copperbelt,Chingola,Rural,Male,1,None,C2,Completed high School,Roman Catholic,Unemployed [SEEKING A JOB],Do not know,Under K 849,Yes,19 – 24,",,,,,,,,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,,,,,,,"
21:15  -  21:29,60578499,Copperbelt,Chingola,Rural,Male,1,None,C2,Completed high School,Roman Catholic,Unemployed [SEEKING A JOB],Do not know,Under K 849,Yes,19 – 24,",,,,,,,,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,,,,,,,"
21:30  -  21:44,60578499,Copperbelt,Chingola,Rural,Male,1,None,C2,Completed high School,Roman Catholic,Unemployed [SEEKING A JOB],Do not know,Under K 849,Yes,19 – 24,",,,,,,,,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,,,,,,,"
11:00  -  11:14,60582294,Copperbelt,Chingola,Rural,Male,1,None,C2,No formal education,Other Christian,Self employed,D,Under K 849,Yes,25 – 34,",,,,,,,,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14,,,,,,,"
12:00  -  12:14,60582294,Copperbelt,Chingola,Rural,Male,1,None,C2,No formal education,Other Christian,Self employed,D,Under K 849,Yes,25 – 34,",,,,,,,,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14,,,,,,,"
11:30  -  11:44,60582294,Copperbelt,Chingola,Rural,Male,1,None,C2,No formal education,Other Christian,Self employed,D,Under K 849,Yes,25 – 34,",,,,,,,,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14,,,,,,,"
11:15  -  11:29,60582294,Copperbelt,Chingola,Rural,Male,1,None,C2,No formal education,Other Christian,Self employed,D,Under K 849,Yes,25 – 34,",,,,,,,,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14,,,,,,,"
11:45  -  11:59,60582294,Copperbelt,Chingola,Rural,Male,1,None,C2,No formal education,Other Christian,Self employed,D,Under K 849,Yes,25 – 34,",,,,,,,,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14,,,,,,,"
15:45  -  15:59,60582629,Copperbelt,Mufulira,Urban,Male,2,Two or More,AB,Completed high School,Anglican/Protestant,Self employed,Do not know,Do not know,Yes,35 – 44,",,,,,,,,,,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,,,,,"
15:15  -  15:29,60582629,Copperbelt,Mufulira,Urban,Male,2,Two or More,AB,Completed high School,Anglican/Protestant,Self employed,Do not know,Do not know,Yes,35 – 44,",,,,,,,,,,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,,,,,"
15:30  -  15:44,60582629,Copperbelt,Mufulira,Urban,Male,2,Two or More,AB,Completed high School,Anglican/Protestant,Self employed,Do not know,Do not know,Yes,35 – 44,",,,,,,,,,,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,,,,,"
15:00  -  15:14,60582629,Copperbelt,Mufulira,Urban,Male,2,Two or More,AB,Completed high School,Anglican/Protestant,Self employed,Do not know,Do not know,Yes,35 – 44,",,,,,,,,,,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,,,,,"
16:00  -  16:14,60601687,Copperbelt,Chingola,Rural,Female,1,None,D,Some primary school,Other Christian,Self employed,D,Under K 849,No,45+,",,,,,,,,,,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14,,,,,"
16:15  -  16:29,60601687,Copperbelt,Chingola,Rural,Female,1,None,D,Some primary school,Other Christian,Self employed,D,Under K 849,No,45+,",,,,,,,,,,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14,,,,,"
17:00  -  17:14,60601687,Copperbelt,Chingola,Rural,Female,1,None,D,Some primary school,Other Christian,Self employed,D,Under K 849,No,45+,",,,,,,,,,,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14,,,,,"
16:45  -  16:59,60601687,Copperbelt,Chingola,Rural,Female,1,None,D,Some primary school,Other Christian,Self employed,D,Under K 849,No,45+,",,,,,,,,,,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14,,,,,"
15:00  -  15:14,60601687,Copperbelt,Chingola,Rural,Female,1,None,D,Some primary school,Other Christian,Self employed,D,Under K 849,No,45+,",,,,,,,,,,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14,,,,,"
15:45  -  15:59,60601687,Copperbelt,Chingola,Rural,Female,1,None,D,Some primary school,Other Christian,Self employed,D,Under K 849,No,45+,",,,,,,,,,,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14,,,,,"
15:15  -  15:29,60601687,Copperbelt,Chingola,Rural,Female,1,None,D,Some primary school,Other Christian,Self employed,D,Under K 849,No,45+,",,,,,,,,,,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14,,,,,"
15:30  -  15:44,60601687,Copperbelt,Chingola,Rural,Female,1,None,D,Some primary school,Other Christian,Self employed,D,Under K 849,No,45+,",,,,,,,,,,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14,,,,,"
