Rock FM  Thursday analysis,SbjNum,Province,Districts,AREA TYPE,Gender,Number of Radio Sets,Number of Cars,LSM GROUP,Educational Qualification,Religion,Work Status,Social Class,Gross Monthly Income,Clothing P6M,Age Range,Rock FM  Thursday
20:45  -  20:59,60516537,Lusaka,Lusaka,Urban,Male,1,None,C1,Completed high School,Anglican/Protestant,Unemployed [SEEKING A JOB],D,Do not know,Yes,19 – 24,"20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59,23:00  -  23:14"
21:00  -  21:14,60516537,Lusaka,Lusaka,Urban,Male,1,None,C1,Completed high School,Anglican/Protestant,Unemployed [SEEKING A JOB],D,Do not know,Yes,19 – 24,"20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59,23:00  -  23:14"
23:00  -  23:14,60516537,Lusaka,Lusaka,Urban,Male,1,None,C1,Completed high School,Anglican/Protestant,Unemployed [SEEKING A JOB],D,Do not know,Yes,19 – 24,"20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59,23:00  -  23:14"
22:15  -  22:29,60516537,Lusaka,Lusaka,Urban,Male,1,None,C1,Completed high School,Anglican/Protestant,Unemployed [SEEKING A JOB],D,Do not know,Yes,19 – 24,"20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59,23:00  -  23:14"
22:45  -  22:59,60516537,Lusaka,Lusaka,Urban,Male,1,None,C1,Completed high School,Anglican/Protestant,Unemployed [SEEKING A JOB],D,Do not know,Yes,19 – 24,"20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59,23:00  -  23:14"
22:30  -  22:44,60516537,Lusaka,Lusaka,Urban,Male,1,None,C1,Completed high School,Anglican/Protestant,Unemployed [SEEKING A JOB],D,Do not know,Yes,19 – 24,"20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59,23:00  -  23:14"
22:00  -  22:14,60516537,Lusaka,Lusaka,Urban,Male,1,None,C1,Completed high School,Anglican/Protestant,Unemployed [SEEKING A JOB],D,Do not know,Yes,19 – 24,"20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59,23:00  -  23:14"
21:15  -  21:29,60516537,Lusaka,Lusaka,Urban,Male,1,None,C1,Completed high School,Anglican/Protestant,Unemployed [SEEKING A JOB],D,Do not know,Yes,19 – 24,"20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59,23:00  -  23:14"
21:30  -  21:44,60516537,Lusaka,Lusaka,Urban,Male,1,None,C1,Completed high School,Anglican/Protestant,Unemployed [SEEKING A JOB],D,Do not know,Yes,19 – 24,"20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59,23:00  -  23:14"
20:30  -  20:44,60516537,Lusaka,Lusaka,Urban,Male,1,None,C1,Completed high School,Anglican/Protestant,Unemployed [SEEKING A JOB],D,Do not know,Yes,19 – 24,"20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59,23:00  -  23:14"
21:45  -  21:59,60516537,Lusaka,Lusaka,Urban,Male,1,None,C1,Completed high School,Anglican/Protestant,Unemployed [SEEKING A JOB],D,Do not know,Yes,19 – 24,"20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59,23:00  -  23:14"
