Rock FM  Wednesday analysis,SbjNum,Province,Districts,AREA TYPE,Gender,Number of Radio Sets,Number of Cars,LSM GROUP,Educational Qualification,Religion,Work Status,Social Class,Gross Monthly Income,Clothing P6M,Age Range,Rock FM  Wednesday
10:30  -  10:44,60478902,Lusaka,Lusaka,Urban,Male,1,None,C1,Completed high School,Anglican/Protestant,Self employed,D,K 850-K 1674,Yes,19 – 24,"10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59"
10:45  -  10:59,60478902,Lusaka,Lusaka,Urban,Male,1,None,C1,Completed high School,Anglican/Protestant,Self employed,D,K 850-K 1674,Yes,19 – 24,"10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59"
10:00  -  10:14,60478902,Lusaka,Lusaka,Urban,Male,1,None,C1,Completed high School,Anglican/Protestant,Self employed,D,K 850-K 1674,Yes,19 – 24,"10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59"
10:15  -  10:29,60478902,Lusaka,Lusaka,Urban,Male,1,None,C1,Completed high School,Anglican/Protestant,Self employed,D,K 850-K 1674,Yes,19 – 24,"10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59"
23:15  -  23:29,60516537,Lusaka,Lusaka,Urban,Male,1,None,C1,Completed high School,Anglican/Protestant,Unemployed [SEEKING A JOB],D,Do not know,Yes,19 – 24,"20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59,23:00  -  23:14,23:15  -  23:29,23:30  -  23:44,23:45  -  23:59"
20:45  -  20:59,60516537,Lusaka,Lusaka,Urban,Male,1,None,C1,Completed high School,Anglican/Protestant,Unemployed [SEEKING A JOB],D,Do not know,Yes,19 – 24,"20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59,23:00  -  23:14,23:15  -  23:29,23:30  -  23:44,23:45  -  23:59"
21:00  -  21:14,60516537,Lusaka,Lusaka,Urban,Male,1,None,C1,Completed high School,Anglican/Protestant,Unemployed [SEEKING A JOB],D,Do not know,Yes,19 – 24,"20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59,23:00  -  23:14,23:15  -  23:29,23:30  -  23:44,23:45  -  23:59"
23:00  -  23:14,60516537,Lusaka,Lusaka,Urban,Male,1,None,C1,Completed high School,Anglican/Protestant,Unemployed [SEEKING A JOB],D,Do not know,Yes,19 – 24,"20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59,23:00  -  23:14,23:15  -  23:29,23:30  -  23:44,23:45  -  23:59"
22:15  -  22:29,60516537,Lusaka,Lusaka,Urban,Male,1,None,C1,Completed high School,Anglican/Protestant,Unemployed [SEEKING A JOB],D,Do not know,Yes,19 – 24,"20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59,23:00  -  23:14,23:15  -  23:29,23:30  -  23:44,23:45  -  23:59"
22:45  -  22:59,60516537,Lusaka,Lusaka,Urban,Male,1,None,C1,Completed high School,Anglican/Protestant,Unemployed [SEEKING A JOB],D,Do not know,Yes,19 – 24,"20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59,23:00  -  23:14,23:15  -  23:29,23:30  -  23:44,23:45  -  23:59"
22:30  -  22:44,60516537,Lusaka,Lusaka,Urban,Male,1,None,C1,Completed high School,Anglican/Protestant,Unemployed [SEEKING A JOB],D,Do not know,Yes,19 – 24,"20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59,23:00  -  23:14,23:15  -  23:29,23:30  -  23:44,23:45  -  23:59"
22:00  -  22:14,60516537,Lusaka,Lusaka,Urban,Male,1,None,C1,Completed high School,Anglican/Protestant,Unemployed [SEEKING A JOB],D,Do not know,Yes,19 – 24,"20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59,23:00  -  23:14,23:15  -  23:29,23:30  -  23:44,23:45  -  23:59"
21:15  -  21:29,60516537,Lusaka,Lusaka,Urban,Male,1,None,C1,Completed high School,Anglican/Protestant,Unemployed [SEEKING A JOB],D,Do not know,Yes,19 – 24,"20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59,23:00  -  23:14,23:15  -  23:29,23:30  -  23:44,23:45  -  23:59"
21:30  -  21:44,60516537,Lusaka,Lusaka,Urban,Male,1,None,C1,Completed high School,Anglican/Protestant,Unemployed [SEEKING A JOB],D,Do not know,Yes,19 – 24,"20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59,23:00  -  23:14,23:15  -  23:29,23:30  -  23:44,23:45  -  23:59"
23:30  -  23:44,60516537,Lusaka,Lusaka,Urban,Male,1,None,C1,Completed high School,Anglican/Protestant,Unemployed [SEEKING A JOB],D,Do not know,Yes,19 – 24,"20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59,23:00  -  23:14,23:15  -  23:29,23:30  -  23:44,23:45  -  23:59"
21:45  -  21:59,60516537,Lusaka,Lusaka,Urban,Male,1,None,C1,Completed high School,Anglican/Protestant,Unemployed [SEEKING A JOB],D,Do not know,Yes,19 – 24,"20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59,23:00  -  23:14,23:15  -  23:29,23:30  -  23:44,23:45  -  23:59"
23:45  -  23:59,60516537,Lusaka,Lusaka,Urban,Male,1,None,C1,Completed high School,Anglican/Protestant,Unemployed [SEEKING A JOB],D,Do not know,Yes,19 – 24,"20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59,23:00  -  23:14,23:15  -  23:29,23:30  -  23:44,23:45  -  23:59"
12:00  -  12:14,60706990,Lusaka,Lusaka,Urban,Female,1,One,AB,Completed high School,Other Christian,Working Part-Time,C1,"K 2,500   -  K 3,154",Yes,19 – 24,"12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,13:00  -  13:14"
12:30  -  12:44,60706990,Lusaka,Lusaka,Urban,Female,1,One,AB,Completed high School,Other Christian,Working Part-Time,C1,"K 2,500   -  K 3,154",Yes,19 – 24,"12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,13:00  -  13:14"
12:15  -  12:29,60706990,Lusaka,Lusaka,Urban,Female,1,One,AB,Completed high School,Other Christian,Working Part-Time,C1,"K 2,500   -  K 3,154",Yes,19 – 24,"12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,13:00  -  13:14"
12:45  -  12:59,60706990,Lusaka,Lusaka,Urban,Female,1,One,AB,Completed high School,Other Christian,Working Part-Time,C1,"K 2,500   -  K 3,154",Yes,19 – 24,"12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,13:00  -  13:14"
