United Voice  Friday analysis,SbjNum,Province,Districts,AREA TYPE,Gender,Number of Radio Sets,Number of Cars,LSM GROUP,Educational Qualification,Religion,Work Status,Social Class,Gross Monthly Income,Clothing P6M,Age Range,United Voice  Friday
7:00  -  7:14,60612959,Lusaka,Lusaka,Urban,Female,1,One,AB,University completed,Anglican/Protestant,Working Full-Time,Do not know,Do not know,Yes,45+,",6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59"
7:15  -  7:29,60612959,Lusaka,Lusaka,Urban,Female,1,One,AB,University completed,Anglican/Protestant,Working Full-Time,Do not know,Do not know,Yes,45+,",6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59"
8:00  -  8:14,60612959,Lusaka,Lusaka,Urban,Female,1,One,AB,University completed,Anglican/Protestant,Working Full-Time,Do not know,Do not know,Yes,45+,",6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59"
8:15  -  8:29,60612959,Lusaka,Lusaka,Urban,Female,1,One,AB,University completed,Anglican/Protestant,Working Full-Time,Do not know,Do not know,Yes,45+,",6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59"
6:45  -  6:59,60612959,Lusaka,Lusaka,Urban,Female,1,One,AB,University completed,Anglican/Protestant,Working Full-Time,Do not know,Do not know,Yes,45+,",6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59"
8:30  -  8:44,60612959,Lusaka,Lusaka,Urban,Female,1,One,AB,University completed,Anglican/Protestant,Working Full-Time,Do not know,Do not know,Yes,45+,",6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59"
22:15  -  22:29,60612959,Lusaka,Lusaka,Urban,Female,1,One,AB,University completed,Anglican/Protestant,Working Full-Time,Do not know,Do not know,Yes,45+,",6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59"
21:30  -  21:44,60612959,Lusaka,Lusaka,Urban,Female,1,One,AB,University completed,Anglican/Protestant,Working Full-Time,Do not know,Do not know,Yes,45+,",6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59"
22:30  -  22:44,60612959,Lusaka,Lusaka,Urban,Female,1,One,AB,University completed,Anglican/Protestant,Working Full-Time,Do not know,Do not know,Yes,45+,",6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59"
21:45  -  21:59,60612959,Lusaka,Lusaka,Urban,Female,1,One,AB,University completed,Anglican/Protestant,Working Full-Time,Do not know,Do not know,Yes,45+,",6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59"
