United Voice  Thursday analysis,SbjNum,Province,Districts,AREA TYPE,Gender,Number of Radio Sets,Number of Cars,LSM GROUP,Educational Qualification,Religion,Work Status,Social Class,Gross Monthly Income,Clothing P6M,Age Range,United Voice  Thursday
16:00  -  16:14,60567058,Lusaka,Lusaka,Urban,Female,1,None,AB,Some high school,Roman Catholic,Working Full-Time,C1,K 850-K 1674,Yes,25 – 34,"15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,16:15  -  16:29,16:30  -  16:44"
16:30  -  16:44,60567058,Lusaka,Lusaka,Urban,Female,1,None,AB,Some high school,Roman Catholic,Working Full-Time,C1,K 850-K 1674,Yes,25 – 34,"15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,16:15  -  16:29,16:30  -  16:44"
15:45  -  15:59,60567058,Lusaka,Lusaka,Urban,Female,1,None,AB,Some high school,Roman Catholic,Working Full-Time,C1,K 850-K 1674,Yes,25 – 34,"15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,16:15  -  16:29,16:30  -  16:44"
16:15  -  16:29,60567058,Lusaka,Lusaka,Urban,Female,1,None,AB,Some high school,Roman Catholic,Working Full-Time,C1,K 850-K 1674,Yes,25 – 34,"15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,16:15  -  16:29,16:30  -  16:44"
15:30  -  15:44,60567058,Lusaka,Lusaka,Urban,Female,1,None,AB,Some high school,Roman Catholic,Working Full-Time,C1,K 850-K 1674,Yes,25 – 34,"15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,16:15  -  16:29,16:30  -  16:44"
20:45  -  20:59,60612959,Lusaka,Lusaka,Urban,Female,1,One,AB,University completed,Anglican/Protestant,Working Full-Time,Do not know,Do not know,Yes,45+,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,22:15  -  22:29"
7:00  -  7:14,60612959,Lusaka,Lusaka,Urban,Female,1,One,AB,University completed,Anglican/Protestant,Working Full-Time,Do not know,Do not know,Yes,45+,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,22:15  -  22:29"
7:15  -  7:29,60612959,Lusaka,Lusaka,Urban,Female,1,One,AB,University completed,Anglican/Protestant,Working Full-Time,Do not know,Do not know,Yes,45+,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,22:15  -  22:29"
22:15  -  22:29,60612959,Lusaka,Lusaka,Urban,Female,1,One,AB,University completed,Anglican/Protestant,Working Full-Time,Do not know,Do not know,Yes,45+,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,22:15  -  22:29"
6:00  -  6:14,60612959,Lusaka,Lusaka,Urban,Female,1,One,AB,University completed,Anglican/Protestant,Working Full-Time,Do not know,Do not know,Yes,45+,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,22:15  -  22:29"
