United Voice  Wednesday analysis,SbjNum,Province,Districts,AREA TYPE,Gender,Number of Radio Sets,Number of Cars,LSM GROUP,Educational Qualification,Religion,Work Status,Social Class,Gross Monthly Income,Clothing P6M,Age Range,United Voice  Wednesday
20:45  -  20:59,60612959,Lusaka,Lusaka,Urban,Female,1,One,AB,University completed,Anglican/Protestant,Working Full-Time,Do not know,Do not know,Yes,45+,"8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59"
10:15  -  10:29,60612959,Lusaka,Lusaka,Urban,Female,1,One,AB,University completed,Anglican/Protestant,Working Full-Time,Do not know,Do not know,Yes,45+,"8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59"
9:00  -  9:14,60612959,Lusaka,Lusaka,Urban,Female,1,One,AB,University completed,Anglican/Protestant,Working Full-Time,Do not know,Do not know,Yes,45+,"8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59"
8:00  -  8:14,60612959,Lusaka,Lusaka,Urban,Female,1,One,AB,University completed,Anglican/Protestant,Working Full-Time,Do not know,Do not know,Yes,45+,"8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59"
8:15  -  8:29,60612959,Lusaka,Lusaka,Urban,Female,1,One,AB,University completed,Anglican/Protestant,Working Full-Time,Do not know,Do not know,Yes,45+,"8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59"
8:30  -  8:44,60612959,Lusaka,Lusaka,Urban,Female,1,One,AB,University completed,Anglican/Protestant,Working Full-Time,Do not know,Do not know,Yes,45+,"8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59"
10:00  -  10:14,60612959,Lusaka,Lusaka,Urban,Female,1,One,AB,University completed,Anglican/Protestant,Working Full-Time,Do not know,Do not know,Yes,45+,"8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59"
20:30  -  20:44,60612959,Lusaka,Lusaka,Urban,Female,1,One,AB,University completed,Anglican/Protestant,Working Full-Time,Do not know,Do not know,Yes,45+,"8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59"
21:00  -  21:14,60612959,Lusaka,Lusaka,Urban,Female,1,One,AB,University completed,Anglican/Protestant,Working Full-Time,Do not know,Do not know,Yes,45+,"8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59"
21:15  -  21:29,60612959,Lusaka,Lusaka,Urban,Female,1,One,AB,University completed,Anglican/Protestant,Working Full-Time,Do not know,Do not know,Yes,45+,"8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59"
