Yar analysis,SbjNum,Province,Districts,AREA TYPE,Gender,Number of Radio Sets,Number of Cars,LSM GROUP,Educational Qualification,Religion,Work Status,Social Class,Gross Monthly Income,Clothing P6M,Age Range,Yar
9:00  -  9:14,60539863,Copperbelt,Kitwe,Urban,Female,1,None,C1,Completed high School,Orthodox,Working Full-Time,C1,"K 5,365  -  K 6,102",Yes,15 – 18,",,,,,,,9:00  -  9:14"
12:00  -  12:14,60552946,Copperbelt,Chilililabombwe,Urban,Female,1,None,C2,Completed high School,Other Christian,Housewife,Do not know,Do not know,No,45+,",,,,,,,12:00  -  12:14,13:00  -  13:14"
13:00  -  13:14,60552946,Copperbelt,Chilililabombwe,Urban,Female,1,None,C2,Completed high School,Other Christian,Housewife,Do not know,Do not know,No,45+,",,,,,,,12:00  -  12:14,13:00  -  13:14"
18:00  -  18:14,60555768,Copperbelt,Kitwe,Urban,Male,3,One,C2,Completed high School,Orthodox,Working Full-Time,C2,"K 1675- K2,499",Yes,25 – 34,"18:00  -  18:14,19:00  -  19:14,,,,,,,"
19:00  -  19:14,60555768,Copperbelt,Kitwe,Urban,Male,3,One,C2,Completed high School,Orthodox,Working Full-Time,C2,"K 1675- K2,499",Yes,25 – 34,"18:00  -  18:14,19:00  -  19:14,,,,,,,"
8:00  -  8:14,60555769,Copperbelt,Kitwe,Urban,Female,3,None,C2,No formal education,Seventh Day Adventists,Working Part-Time,D,Under K 849,Yes,25 – 34,",,,8:00  -  8:14,,,,"
16:00  -  16:14,60555770,Copperbelt,Kitwe,Urban,Female,3,One,C1,Completed high School,Orthodox,Housewife,C1,"K 26,320   -  K 29,689",Yes,25 – 34,"4:30  -  4:44,5:45  -  5:59,6:00  -  6:14,6:00  -  6:14,5:00  -  5:14,6:00  -  6:14,8:30  -  8:44,9:15  -  9:29,,5:15  -  5:29,5:45  -  5:59,16:00  -  16:14,16:45  -  16:59"
5:15  -  5:29,60555770,Copperbelt,Kitwe,Urban,Female,3,One,C1,Completed high School,Orthodox,Housewife,C1,"K 26,320   -  K 29,689",Yes,25 – 34,"4:30  -  4:44,5:45  -  5:59,6:00  -  6:14,6:00  -  6:14,5:00  -  5:14,6:00  -  6:14,8:30  -  8:44,9:15  -  9:29,,5:15  -  5:29,5:45  -  5:59,16:00  -  16:14,16:45  -  16:59"
5:00  -  5:14,60555770,Copperbelt,Kitwe,Urban,Female,3,One,C1,Completed high School,Orthodox,Housewife,C1,"K 26,320   -  K 29,689",Yes,25 – 34,"4:30  -  4:44,5:45  -  5:59,6:00  -  6:14,6:00  -  6:14,5:00  -  5:14,6:00  -  6:14,8:30  -  8:44,9:15  -  9:29,,5:15  -  5:29,5:45  -  5:59,16:00  -  16:14,16:45  -  16:59"
16:45  -  16:59,60555770,Copperbelt,Kitwe,Urban,Female,3,One,C1,Completed high School,Orthodox,Housewife,C1,"K 26,320   -  K 29,689",Yes,25 – 34,"4:30  -  4:44,5:45  -  5:59,6:00  -  6:14,6:00  -  6:14,5:00  -  5:14,6:00  -  6:14,8:30  -  8:44,9:15  -  9:29,,5:15  -  5:29,5:45  -  5:59,16:00  -  16:14,16:45  -  16:59"
9:15  -  9:29,60555770,Copperbelt,Kitwe,Urban,Female,3,One,C1,Completed high School,Orthodox,Housewife,C1,"K 26,320   -  K 29,689",Yes,25 – 34,"4:30  -  4:44,5:45  -  5:59,6:00  -  6:14,6:00  -  6:14,5:00  -  5:14,6:00  -  6:14,8:30  -  8:44,9:15  -  9:29,,5:15  -  5:29,5:45  -  5:59,16:00  -  16:14,16:45  -  16:59"
