ZNBC MUSIC analysis,SbjNum,Province,Districts,AREA TYPE,Gender,Number of Radio Sets,Number of Cars,LSM GROUP,Educational Qualification,Religion,Work Status,Social Class,Gross Monthly Income,Clothing P6M,Age Range,ZNBC MUSIC
17:00  -  17:14,60640299,Copperbelt,Kitwe,Rural,Female,1,None,C2,Some high school,Others,Unemployed [NOT SEEKING A JOB],D,Under K 849,Yes,19 – 24,",,17:00  -  17:14,18:15  -  18:29,,,,,"
18:15  -  18:29,60640299,Copperbelt,Kitwe,Rural,Female,1,None,C2,Some high school,Others,Unemployed [NOT SEEKING A JOB],D,Under K 849,Yes,19 – 24,",,17:00  -  17:14,18:15  -  18:29,,,,,"
8:00  -  8:14,60742046,Copperbelt,Mufulira,Rural,Male,2,None,C1,Some high school,Roman Catholic,Student,Do not know,No Income,Yes,15 – 18,",,11:30  -  11:44,11:45  -  11:59,14:45  -  14:59,15:00  -  15:14,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,7:30  -  7:44,7:45  -  7:59,,10:30  -  10:44,10:45  -  10:59,8:00  -  8:14,8:15  -  8:29"
8:45  -  8:59,60742046,Copperbelt,Mufulira,Rural,Male,2,None,C1,Some high school,Roman Catholic,Student,Do not know,No Income,Yes,15 – 18,",,11:30  -  11:44,11:45  -  11:59,14:45  -  14:59,15:00  -  15:14,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,7:30  -  7:44,7:45  -  7:59,,10:30  -  10:44,10:45  -  10:59,8:00  -  8:14,8:15  -  8:29"
7:45  -  7:59,60742046,Copperbelt,Mufulira,Rural,Male,2,None,C1,Some high school,Roman Catholic,Student,Do not know,No Income,Yes,15 – 18,",,11:30  -  11:44,11:45  -  11:59,14:45  -  14:59,15:00  -  15:14,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,7:30  -  7:44,7:45  -  7:59,,10:30  -  10:44,10:45  -  10:59,8:00  -  8:14,8:15  -  8:29"
8:15  -  8:29,60742046,Copperbelt,Mufulira,Rural,Male,2,None,C1,Some high school,Roman Catholic,Student,Do not know,No Income,Yes,15 – 18,",,11:30  -  11:44,11:45  -  11:59,14:45  -  14:59,15:00  -  15:14,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,7:30  -  7:44,7:45  -  7:59,,10:30  -  10:44,10:45  -  10:59,8:00  -  8:14,8:15  -  8:29"
7:30  -  7:44,60742046,Copperbelt,Mufulira,Rural,Male,2,None,C1,Some high school,Roman Catholic,Student,Do not know,No Income,Yes,15 – 18,",,11:30  -  11:44,11:45  -  11:59,14:45  -  14:59,15:00  -  15:14,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,7:30  -  7:44,7:45  -  7:59,,10:30  -  10:44,10:45  -  10:59,8:00  -  8:14,8:15  -  8:29"
14:45  -  14:59,60742046,Copperbelt,Mufulira,Rural,Male,2,None,C1,Some high school,Roman Catholic,Student,Do not know,No Income,Yes,15 – 18,",,11:30  -  11:44,11:45  -  11:59,14:45  -  14:59,15:00  -  15:14,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,7:30  -  7:44,7:45  -  7:59,,10:30  -  10:44,10:45  -  10:59,8:00  -  8:14,8:15  -  8:29"
11:30  -  11:44,60742046,Copperbelt,Mufulira,Rural,Male,2,None,C1,Some high school,Roman Catholic,Student,Do not know,No Income,Yes,15 – 18,",,11:30  -  11:44,11:45  -  11:59,14:45  -  14:59,15:00  -  15:14,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,7:30  -  7:44,7:45  -  7:59,,10:30  -  10:44,10:45  -  10:59,8:00  -  8:14,8:15  -  8:29"
9:15  -  9:29,60742046,Copperbelt,Mufulira,Rural,Male,2,None,C1,Some high school,Roman Catholic,Student,Do not know,No Income,Yes,15 – 18,",,11:30  -  11:44,11:45  -  11:59,14:45  -  14:59,15:00  -  15:14,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,7:30  -  7:44,7:45  -  7:59,,10:30  -  10:44,10:45  -  10:59,8:00  -  8:14,8:15  -  8:29"
15:00  -  15:14,60742046,Copperbelt,Mufulira,Rural,Male,2,None,C1,Some high school,Roman Catholic,Student,Do not know,No Income,Yes,15 – 18,",,11:30  -  11:44,11:45  -  11:59,14:45  -  14:59,15:00  -  15:14,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,7:30  -  7:44,7:45  -  7:59,,10:30  -  10:44,10:45  -  10:59,8:00  -  8:14,8:15  -  8:29"
