Zambezi  Yesterday analysis,SbjNum,Province,Districts,AREA TYPE,Gender,Number of Radio Sets,Number of Cars,LSM GROUP,Educational Qualification,Religion,Work Status,Social Class,Gross Monthly Income,Clothing P6M,Age Range,Zambezi  Yesterday
17:30  -  17:44,60618441,Southern,Livingstone,Urban,Male,1,Two or More,AB,University completed,Roman Catholic,Working Full-Time,C1,"K 4,628   -  K 5,364",Yes,35 – 44,"17:15  -  17:29,17:30  -  17:44"
17:15  -  17:29,60618441,Southern,Livingstone,Urban,Male,1,Two or More,AB,University completed,Roman Catholic,Working Full-Time,C1,"K 4,628   -  K 5,364",Yes,35 – 44,"17:15  -  17:29,17:30  -  17:44"
12:00  -  12:14,60754078,Southern,Livingstone,Rural,Female,1,None,D,Primary school completed,Others,Housewife,D,Under K 849,No,25 – 34,"11:30  -  11:44,11:45  -  11:59,12:00  -  12:14"
11:45  -  11:59,60754078,Southern,Livingstone,Rural,Female,1,None,D,Primary school completed,Others,Housewife,D,Under K 849,No,25 – 34,"11:30  -  11:44,11:45  -  11:59,12:00  -  12:14"
11:30  -  11:44,60754078,Southern,Livingstone,Rural,Female,1,None,D,Primary school completed,Others,Housewife,D,Under K 849,No,25 – 34,"11:30  -  11:44,11:45  -  11:59,12:00  -  12:14"
10:00  -  10:14,60754084,Southern,Livingstone,Rural,Male,1,None,D,Some high school,Others,Self employed,D,Under K 849,No,45+,10:00  -  10:14
12:45  -  12:59,60754085,Southern,Livingstone,Rural,Male,1,None,D,Some high school,Anglican/Protestant,Self employed,D,K 850-K 1674,Yes,35 – 44,"12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,13:00  -  13:14"
12:15  -  12:29,60754085,Southern,Livingstone,Rural,Male,1,None,D,Some high school,Anglican/Protestant,Self employed,D,K 850-K 1674,Yes,35 – 44,"12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,13:00  -  13:14"
13:00  -  13:14,60754085,Southern,Livingstone,Rural,Male,1,None,D,Some high school,Anglican/Protestant,Self employed,D,K 850-K 1674,Yes,35 – 44,"12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,13:00  -  13:14"
12:30  -  12:44,60754085,Southern,Livingstone,Rural,Male,1,None,D,Some high school,Anglican/Protestant,Self employed,D,K 850-K 1674,Yes,35 – 44,"12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,13:00  -  13:14"
