Zambezi analysis,SbjNum,Province,Districts,AREA TYPE,Gender,Number of Radio Sets,Number of Cars,LSM GROUP,Educational Qualification,Religion,Work Status,Social Class,Gross Monthly Income,Clothing P6M,Age Range,Zambezi
7:15  -  7:29,60588155,Southern,Livingstone,Urban,Female,0,None,C1,Completed high School,Anglican/Protestant,Working Full-Time,D,"K 1675- K2,499",Yes,25 – 34,",,,,7:00  -  7:14,7:15  -  7:29,,,"
7:00  -  7:14,60588155,Southern,Livingstone,Urban,Female,0,None,C1,Completed high School,Anglican/Protestant,Working Full-Time,D,"K 1675- K2,499",Yes,25 – 34,",,,,7:00  -  7:14,7:15  -  7:29,,,"
18:45  -  18:59,60588161,Southern,Livingstone,Urban,Female,0,None,C1,University completed,Seventh Day Adventists,Self employed,D,"K 2,500   -  K 3,154",Yes,35 – 44,",,,,18:45  -  18:59,,,"
6:00  -  6:14,60588168,Southern,Livingstone,Urban,Female,1,Two or More,AB,Some university,Seventh Day Adventists,Unemployed [SEEKING A JOB],C1,K 850-K 1674,Yes,19 – 24,",,,,,,,6:00  -  6:14,6:15  -  6:29,"
6:15  -  6:29,60588168,Southern,Livingstone,Urban,Female,1,Two or More,AB,Some university,Seventh Day Adventists,Unemployed [SEEKING A JOB],C1,K 850-K 1674,Yes,19 – 24,",,,,,,,6:00  -  6:14,6:15  -  6:29,"
10:00  -  10:14,60588170,Southern,Livingstone,Urban,Male,0,None,D,Some high school,Others,Working Part-Time,D,Under K 849,Yes,25 – 34,",,,,,,,10:00  -  10:14,"
8:15  -  8:29,60607364,Southern,Mazabuka,Urban,Male,0,None,C1,Completed high School,Anglican/Protestant,Working Full-Time,D,K 850-K 1674,Yes,25 – 34,",,,,8:15  -  8:29,8:30  -  8:44,,,"
8:30  -  8:44,60607364,Southern,Mazabuka,Urban,Male,0,None,C1,Completed high School,Anglican/Protestant,Working Full-Time,D,K 850-K 1674,Yes,25 – 34,",,,,8:15  -  8:29,8:30  -  8:44,,,"
17:30  -  17:44,60618441,Southern,Livingstone,Urban,Male,1,Two or More,AB,University completed,Roman Catholic,Working Full-Time,C1,"K 4,628   -  K 5,364",Yes,35 – 44,"17:15  -  17:29,17:30  -  17:44,,,,,,,"
17:15  -  17:29,60618441,Southern,Livingstone,Urban,Male,1,Two or More,AB,University completed,Roman Catholic,Working Full-Time,C1,"K 4,628   -  K 5,364",Yes,35 – 44,"17:15  -  17:29,17:30  -  17:44,,,,,,,"
18:15  -  18:29,60654808,Southern,Livingstone,Urban,Male,0,One,C1,Completed high School,Seventh Day Adventists,Unemployed [SEEKING A JOB],C2,"K 3,155   -  K 3,890",Yes,25 – 34,",,,,,,,18:15  -  18:29"
7:00  -  7:14,60727077,Southern,Livingstone,Urban,Female,1,One,AB,Some university,Other Christian,Working Full-Time,C2,"K 3,155   -  K 3,890",Yes,25 – 34,",,,,,7:00  -  7:14,,"
6:00  -  6:14,60727080,Southern,Livingstone,Urban,Male,1,One,C1,Some university,Other Christian,Working Full-Time,C2,"K 4,628   -  K 5,364",Yes,25 – 34,",,,,,,,6:00  -  6:14,"
12:00  -  12:14,60754078,Southern,Livingstone,Rural,Female,1,None,D,Primary school completed,Others,Housewife,D,Under K 849,No,25 – 34,"11:30  -  11:44,11:45  -  11:59,12:00  -  12:14,,,,,,,"
11:30  -  11:44,60754078,Southern,Livingstone,Rural,Female,1,None,D,Primary school completed,Others,Housewife,D,Under K 849,No,25 – 34,"11:30  -  11:44,11:45  -  11:59,12:00  -  12:14,,,,,,,"
11:45  -  11:59,60754078,Southern,Livingstone,Rural,Female,1,None,D,Primary school completed,Others,Housewife,D,Under K 849,No,25 – 34,"11:30  -  11:44,11:45  -  11:59,12:00  -  12:14,,,,,,,"
20:00  -  20:14,60754083,Southern,Livingstone,Rural,Male,1,None,D,Primary school completed,Roman Catholic,Self employed,D,Under K 849,Yes,35 – 44,",,,,,,,20:00  -  20:14,"
10:00  -  10:14,60754084,Southern,Livingstone,Rural,Male,1,None,D,Some high school,Others,Self employed,D,Under K 849,No,45+,"10:00  -  10:14,,,,,,,"
12:00  -  12:14,60754085,Southern,Livingstone,Rural,Male,1,None,D,Some high school,Anglican/Protestant,Self employed,D,K 850-K 1674,Yes,35 – 44,"12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,13:00  -  13:14,,,,,,,"
13:00  -  13:14,60754085,Southern,Livingstone,Rural,Male,1,None,D,Some high school,Anglican/Protestant,Self employed,D,K 850-K 1674,Yes,35 – 44,"12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,13:00  -  13:14,,,,,,,"
12:15  -  12:29,60754085,Southern,Livingstone,Rural,Male,1,None,D,Some high school,Anglican/Protestant,Self employed,D,K 850-K 1674,Yes,35 – 44,"12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,13:00  -  13:14,,,,,,,"
12:30  -  12:44,60754085,Southern,Livingstone,Rural,Male,1,None,D,Some high school,Anglican/Protestant,Self employed,D,K 850-K 1674,Yes,35 – 44,"12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,13:00  -  13:14,,,,,,,"
12:45  -  12:59,60754085,Southern,Livingstone,Rural,Male,1,None,D,Some high school,Anglican/Protestant,Self employed,D,K 850-K 1674,Yes,35 – 44,"12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,13:00  -  13:14,,,,,,,"
19:00  -  19:14,60754086,Southern,Livingstone,Rural,Male,1,None,D,Primary school completed,Seventh Day Adventists,Self employed,D,Under K 849,Yes,25 – 34,"19:00  -  19:14,,,,,,,"
18:00  -  18:14,60754087,Southern,Livingstone,Rural,Male,1,None,D,Some high school,Others,Self employed,D,Under K 849,Yes,25 – 34,",,,18:00  -  18:14,,,,"
10:00  -  10:14,60754090,Southern,Livingstone,Rural,Male,1,None,D,Completed high School,Others,Self employed,D,K 850-K 1674,Yes,19 – 24,"10:00  -  10:14,,,,,,,"
8:00  -  8:14,60754093,Southern,Livingstone,Rural,Male,1,None,D,Primary school completed,Seventh Day Adventists,Self employed,D,Under K 849,Yes,35 – 44,"8:00  -  8:14,,,,,,,"
17:45  -  17:59,82003831,Southern,Livingstone,Urban,Female,1,None,AB,Some university,Other Christian,Student,AB,Under K 849,Yes,19 – 24,"17:45  -  17:59 ,17:45  -  17:59 ,17:45  -  17:59 ,17:45  -  17:59 ,17:45  -  17:59 ,17:45  -  17:59 ,,17:45  -  17:59,17:45  -  17:59 "
15:45  -  15:59,82092537,Southern,Livingstone,Urban,Female,1,None,C2,Some high school,Other Christian,Self employed,C2,Under K 849,Yes,25 – 34,"14:00  -  14:14,15:45  -  15:59,14:00  -  14:14,15:45  -  15:59,14:00  -  14:14,15:45  -  15:59,14:00  -  14:14,15:45  -  15:59,14:00  -  14:14,15:45  -  15:59,14:00  -  14:14,15:45  -  15:59,,14:00  -  14:14,15:45  -  15:59,14:00  -  14:14,15:45  -  15:59"
14:00  -  14:14,82092537,Southern,Livingstone,Urban,Female,1,None,C2,Some high school,Other Christian,Self employed,C2,Under K 849,Yes,25 – 34,"14:00  -  14:14,15:45  -  15:59,14:00  -  14:14,15:45  -  15:59,14:00  -  14:14,15:45  -  15:59,14:00  -  14:14,15:45  -  15:59,14:00  -  14:14,15:45  -  15:59,14:00  -  14:14,15:45  -  15:59,,14:00  -  14:14,15:45  -  15:59,14:00  -  14:14,15:45  -  15:59"
21:00  -  21:14,82096725,Southern,Livingstone,Urban,Male,0,None,C2,Some high school,Other Christian,Self employed,C2,"K 1675- K2,499",Yes,25 – 34,"20:00  -  20:14,21:00  -  21:14,20:00  -  20:14,21:00  -  21:14,20:00  -  20:14,21:00  -  21:14,20:00  -  20:14,21:00  -  21:14,20:00  -  20:14,21:00  -  21:14,20:00  -  20:14,21:00  -  21:14,,20:00  -  20:14,21:00  -  21:14,20:00  -  20:14,21:00  -  21:14"
20:00  -  20:14,82096725,Southern,Livingstone,Urban,Male,0,None,C2,Some high school,Other Christian,Self employed,C2,"K 1675- K2,499",Yes,25 – 34,"20:00  -  20:14,21:00  -  21:14,20:00  -  20:14,21:00  -  21:14,20:00  -  20:14,21:00  -  21:14,20:00  -  20:14,21:00  -  21:14,20:00  -  20:14,21:00  -  21:14,20:00  -  20:14,21:00  -  21:14,,20:00  -  20:14,21:00  -  21:14,20:00  -  20:14,21:00  -  21:14"
