Radio Listeners (P7D - Past 7 Days) analysis,SbjNum,TOM - Radio Spontaneous Awareness,Other Mentions - Radio Spontaneous Awareness,Radio Prompted Awareness,Total Awareness,Ever Listened to Radio,Radio Listeners (Yesterday),Radio Listeners (P7D - Past 7 Days),Radio Listeners (P4W) - Past 4 Weeks,Radio Listeners (P12M) - Past 12 Months
Komboni,60457317,,,"Komboni Radio,Radio 1,Radio 4, Radio Christian Voice,Evelyn, Hone,Hot,Joy,Q FM,UNZA Radio,","Komboni Radio,Radio 1,Radio 4, Radio Christian Voice,Evelyn, Hone,Hot,Joy,Q FM,UNZA Radio,","Radio Christian Voice,Hot,Joy,Komboni Radio,Q FM,Radio 1,Radio 4","Komboni Radio,Radio 1,Radio 2","Komboni Radio,Radio 1,Radio 2","Komboni Radio,Radio 1,Radio 2","Komboni Radio,Q FM,Radio 1,Radio 4"
Radio 2,60457317,,,"Komboni Radio,Radio 1,Radio 4, Radio Christian Voice,Evelyn, Hone,Hot,Joy,Q FM,UNZA Radio,","Komboni Radio,Radio 1,Radio 4, Radio Christian Voice,Evelyn, Hone,Hot,Joy,Q FM,UNZA Radio,","Radio Christian Voice,Hot,Joy,Komboni Radio,Q FM,Radio 1,Radio 4","Komboni Radio,Radio 1,Radio 2","Komboni Radio,Radio 1,Radio 2","Komboni Radio,Radio 1,Radio 2","Komboni Radio,Q FM,Radio 1,Radio 4"
Radio 1,60457317,,,"Komboni Radio,Radio 1,Radio 4, Radio Christian Voice,Evelyn, Hone,Hot,Joy,Q FM,UNZA Radio,","Komboni Radio,Radio 1,Radio 4, Radio Christian Voice,Evelyn, Hone,Hot,Joy,Q FM,UNZA Radio,","Radio Christian Voice,Hot,Joy,Komboni Radio,Q FM,Radio 1,Radio 4","Komboni Radio,Radio 1,Radio 2","Komboni Radio,Radio 1,Radio 2","Komboni Radio,Radio 1,Radio 2","Komboni Radio,Q FM,Radio 1,Radio 4"
Hot,60470308,,,"Radio Christian Voice,Evelyn, Hone,Hot,Millennium,Power,Q FM,UNZA Radio, 5FM,BBC,Comet 10,Joy,Komboni Radio,Parliament,Phoenix,Radio Christian Voice,","Radio Christian Voice,Evelyn, Hone,Hot,Millennium,Power,Q FM,UNZA Radio, 5FM,BBC,Comet 10,Joy,Komboni Radio,Parliament,Phoenix,Radio Christian Voice,","5FM,BBC,Radio Christian Voice,Comet 10,Evelyn, Hone,Hot,Joy,Komboni Radio,Millennium,Parliament,Phoenix,Power,Q FM,Radio Christian Voice,UNZA Radio",Hot,Hot,Hot,Hot
Rock FM,60478902,,,"Evelyn, Hone,Hot,Komboni Radio,Millennium,Radio 1,Rock FM, 5FM,Radio Christian Voice,Phoenix,UNZA Radio,","Evelyn, Hone,Hot,Komboni Radio,Millennium,Radio 1,Rock FM, 5FM,Radio Christian Voice,Phoenix,UNZA Radio,","Hot,Phoenix,Rock FM",Rock FM,"Phoenix,Rock FM","Hot,Phoenix,Rock FM","Hot,Phoenix,Rock FM"
Phoenix,60478902,,,"Evelyn, Hone,Hot,Komboni Radio,Millennium,Radio 1,Rock FM, 5FM,Radio Christian Voice,Phoenix,UNZA Radio,","Evelyn, Hone,Hot,Komboni Radio,Millennium,Radio 1,Rock FM, 5FM,Radio Christian Voice,Phoenix,UNZA Radio,","Hot,Phoenix,Rock FM",Rock FM,"Phoenix,Rock FM","Hot,Phoenix,Rock FM","Hot,Phoenix,Rock FM"
Komboni,60478903,,,"Komboni Radio,Phoenix,Rock FM, Hot,Joy,Q FM,Radio 1,Radio 2,Radio Christian Voice,","Komboni Radio,Phoenix,Rock FM, Hot,Joy,Q FM,Radio 1,Radio 2,Radio Christian Voice,","Komboni Radio,Phoenix,Rock FM",Komboni Radio,Komboni Radio,"Komboni Radio,Rock FM","Komboni Radio,Phoenix,Rock FM"
Radio Christian Voice,60492139,,,"Radio Christian Voice,Hot,Komboni Radio,Radio 1,Radio 2,Radio 4,Radio Christian Voice, Evelyn, Hone,Joy,Millennium,Parliament,Phoenix,Q FM,Yatsani, Yangeni FM,","Radio Christian Voice,Hot,Komboni Radio,Radio 1,Radio 2,Radio 4,Radio Christian Voice, Evelyn, Hone,Joy,Millennium,Parliament,Phoenix,Q FM,Yatsani, Yangeni FM,","Radio Christian Voice,Hot,Komboni Radio,Parliament,Q FM,Radio 1,Radio 2,Radio 4,Yatsani, Yangeni FM","Komboni Radio,Radio 1","Radio Christian Voice,Hot,Komboni Radio,Radio 1,Radio 2,Radio 2","Radio Christian Voice,Hot,Komboni Radio,Parliament,Q FM,Radio 1,Radio 2,Radio 4,Yatsani, Yangeni FM","Radio Christian Voice,Hot,Komboni Radio,Parliament,Q FM,Radio 1,Radio 2,Radio 4,Yatsani, Yangeni FM"
Radio 1,60492139,,,"Radio Christian Voice,Hot,Komboni Radio,Radio 1,Radio 2,Radio 4,Radio Christian Voice, Evelyn, Hone,Joy,Millennium,Parliament,Phoenix,Q FM,Yatsani, Yangeni FM,","Radio Christian Voice,Hot,Komboni Radio,Radio 1,Radio 2,Radio 4,Radio Christian Voice, Evelyn, Hone,Joy,Millennium,Parliament,Phoenix,Q FM,Yatsani, Yangeni FM,","Radio Christian Voice,Hot,Komboni Radio,Parliament,Q FM,Radio 1,Radio 2,Radio 4,Yatsani, Yangeni FM","Komboni Radio,Radio 1","Radio Christian Voice,Hot,Komboni Radio,Radio 1,Radio 2,Radio 2","Radio Christian Voice,Hot,Komboni Radio,Parliament,Q FM,Radio 1,Radio 2,Radio 4,Yatsani, Yangeni FM","Radio Christian Voice,Hot,Komboni Radio,Parliament,Q FM,Radio 1,Radio 2,Radio 4,Yatsani, Yangeni FM"
Komboni,60492139,,,"Radio Christian Voice,Hot,Komboni Radio,Radio 1,Radio 2,Radio 4,Radio Christian Voice, Evelyn, Hone,Joy,Millennium,Parliament,Phoenix,Q FM,Yatsani, Yangeni FM,","Radio Christian Voice,Hot,Komboni Radio,Radio 1,Radio 2,Radio 4,Radio Christian Voice, Evelyn, Hone,Joy,Millennium,Parliament,Phoenix,Q FM,Yatsani, Yangeni FM,","Radio Christian Voice,Hot,Komboni Radio,Parliament,Q FM,Radio 1,Radio 2,Radio 4,Yatsani, Yangeni FM","Komboni Radio,Radio 1","Radio Christian Voice,Hot,Komboni Radio,Radio 1,Radio 2,Radio 2","Radio Christian Voice,Hot,Komboni Radio,Parliament,Q FM,Radio 1,Radio 2,Radio 4,Yatsani, Yangeni FM","Radio Christian Voice,Hot,Komboni Radio,Parliament,Q FM,Radio 1,Radio 2,Radio 4,Yatsani, Yangeni FM"
