,Radio Listeners (P7D - Past 7 Days) analysis,SbjNum,Province,Districts,AREA TYPE,Gender,Number of Radio Sets,Number of Cars,LSM GROUP,Educational Qualification,Religion,Work Status,Social Class,Gross Monthly Income,Clothing P6M,Age Range,Radio Listenership,Radio Listenership - Mobile Phone,Radio Listeners (P7D - Past 7 Days)
0,Radio 1,60457317,Lusaka,Kafue,Urban,Female,3,None,C1,Completed high School,Anglican/Protestant,Unemployed [SEEKING A JOB],No Income,No Income,No,19 – 24,Yesterday,Yesterday,"Komboni Radio,Radio 1,Radio 2"
1,Radio 2,60457317,Lusaka,Kafue,Urban,Female,3,None,C1,Completed high School,Anglican/Protestant,Unemployed [SEEKING A JOB],No Income,No Income,No,19 – 24,Yesterday,Yesterday,"Komboni Radio,Radio 1,Radio 2"
2,Komboni Radio,60457317,Lusaka,Kafue,Urban,Female,3,None,C1,Completed high School,Anglican/Protestant,Unemployed [SEEKING A JOB],No Income,No Income,No,19 – 24,Yesterday,Yesterday,"Komboni Radio,Radio 1,Radio 2"
3,Hot FM,60470308,Lusaka,Lusaka,Urban,Male,1,None,AB,Completed high School,Seventh Day Adventists,Unemployed [SEEKING A JOB],D,K 850-K 1674,No,25 – 34,Past 7 Days,Never,Hot FM
4,Rock FM,60478902,Lusaka,Lusaka,Urban,Male,1,None,C1,Completed high School,Anglican/Protestant,Self employed,D,K 850-K 1674,Yes,19 – 24,Past 7 Days,Yesterday,"Phoenix FM,Rock FM"
5,Phoenix FM,60478902,Lusaka,Lusaka,Urban,Male,1,None,C1,Completed high School,Anglican/Protestant,Self employed,D,K 850-K 1674,Yes,19 – 24,Past 7 Days,Yesterday,"Phoenix FM,Rock FM"
6,Komboni Radio,60478903,Lusaka,Lusaka,Urban,Male,1,None,C2,Completed high School,Do not belong to any religion,Unemployed [NOT SEEKING A JOB],Do not know,No Income,Yes,19 – 24,Past 7 Days,Past 7 Days,Komboni Radio
7,Radio 2,60492139,Lusaka,Lusaka,Urban,Female,1,None,C1,Completed high School,Anglican/Protestant,Housewife,D,Under K 849,Yes,19 – 24,Past 4 Weeks,Yesterday,"Radio Christian Voice,Hot FM,Komboni Radio,Radio 1,Radio 2,Radio 2"
8,Radio 1,60492139,Lusaka,Lusaka,Urban,Female,1,None,C1,Completed high School,Anglican/Protestant,Housewife,D,Under K 849,Yes,19 – 24,Past 4 Weeks,Yesterday,"Radio Christian Voice,Hot FM,Komboni Radio,Radio 1,Radio 2,Radio 2"
9,Radio Christian Voice,60492139,Lusaka,Lusaka,Urban,Female,1,None,C1,Completed high School,Anglican/Protestant,Housewife,D,Under K 849,Yes,19 – 24,Past 4 Weeks,Yesterday,"Radio Christian Voice,Hot FM,Komboni Radio,Radio 1,Radio 2,Radio 2"
10,Komboni Radio,60492139,Lusaka,Lusaka,Urban,Female,1,None,C1,Completed high School,Anglican/Protestant,Housewife,D,Under K 849,Yes,19 – 24,Past 4 Weeks,Yesterday,"Radio Christian Voice,Hot FM,Komboni Radio,Radio 1,Radio 2,Radio 2"
11,Hot FM,60492139,Lusaka,Lusaka,Urban,Female,1,None,C1,Completed high School,Anglican/Protestant,Housewife,D,Under K 849,Yes,19 – 24,Past 4 Weeks,Yesterday,"Radio Christian Voice,Hot FM,Komboni Radio,Radio 1,Radio 2,Radio 2"
12,Komboni Radio,60492140,Lusaka,Lusaka,Urban,Male,1,None,C1,Completed high School,Roman Catholic,Working Part-Time,C2,"K 3,155   -  K 3,890",Yes,25 – 34,Yesterday,Past 7 Days,"Hone FM,Hot FM,Komboni Radio,Yatsani,Yangeni FM"
13,Yangeni FM,60492140,Lusaka,Lusaka,Urban,Male,1,None,C1,Completed high School,Roman Catholic,Working Part-Time,C2,"K 3,155   -  K 3,890",Yes,25 – 34,Yesterday,Past 7 Days,"Hone FM,Hot FM,Komboni Radio,Yatsani,Yangeni FM"
14,Yatsani,60492140,Lusaka,Lusaka,Urban,Male,1,None,C1,Completed high School,Roman Catholic,Working Part-Time,C2,"K 3,155   -  K 3,890",Yes,25 – 34,Yesterday,Past 7 Days,"Hone FM,Hot FM,Komboni Radio,Yatsani,Yangeni FM"
15,Hone FM,60492140,Lusaka,Lusaka,Urban,Male,1,None,C1,Completed high School,Roman Catholic,Working Part-Time,C2,"K 3,155   -  K 3,890",Yes,25 – 34,Yesterday,Past 7 Days,"Hone FM,Hot FM,Komboni Radio,Yatsani,Yangeni FM"
16,Hot FM,60492140,Lusaka,Lusaka,Urban,Male,1,None,C1,Completed high School,Roman Catholic,Working Part-Time,C2,"K 3,155   -  K 3,890",Yes,25 – 34,Yesterday,Past 7 Days,"Hone FM,Hot FM,Komboni Radio,Yatsani,Yangeni FM"
17,BBC,60492141,Lusaka,Lusaka,Urban,Male,1,None,C1,Completed high School,Anglican/Protestant,Unemployed [NOT SEEKING A JOB],C2,"K 2,500   -  K 3,154",Yes,25 – 34,Yesterday,Yesterday,"BBC,Hot FM,Komboni Radio,Phoenix FM"
18,Phoenix FM,60492141,Lusaka,Lusaka,Urban,Male,1,None,C1,Completed high School,Anglican/Protestant,Unemployed [NOT SEEKING A JOB],C2,"K 2,500   -  K 3,154",Yes,25 – 34,Yesterday,Yesterday,"BBC,Hot FM,Komboni Radio,Phoenix FM"
19,Hot FM,60492141,Lusaka,Lusaka,Urban,Male,1,None,C1,Completed high School,Anglican/Protestant,Unemployed [NOT SEEKING A JOB],C2,"K 2,500   -  K 3,154",Yes,25 – 34,Yesterday,Yesterday,"BBC,Hot FM,Komboni Radio,Phoenix FM"
20,Komboni Radio,60492141,Lusaka,Lusaka,Urban,Male,1,None,C1,Completed high School,Anglican/Protestant,Unemployed [NOT SEEKING A JOB],C2,"K 2,500   -  K 3,154",Yes,25 – 34,Yesterday,Yesterday,"BBC,Hot FM,Komboni Radio,Phoenix FM"
21,Phoenix FM,60492142,Lusaka,Lusaka,Urban,Male,1,One,C1,Completed high School,Roman Catholic,Unemployed [SEEKING A JOB],C2,Under K 849,Yes,19 – 24,Past 7 Days,Past 7 Days,"Radio Christian Voice,Hot FM,Komboni Radio,Phoenix FM"
22,Hot FM,60492142,Lusaka,Lusaka,Urban,Male,1,One,C1,Completed high School,Roman Catholic,Unemployed [SEEKING A JOB],C2,Under K 849,Yes,19 – 24,Past 7 Days,Past 7 Days,"Radio Christian Voice,Hot FM,Komboni Radio,Phoenix FM"
23,Radio Christian Voice,60492142,Lusaka,Lusaka,Urban,Male,1,One,C1,Completed high School,Roman Catholic,Unemployed [SEEKING A JOB],C2,Under K 849,Yes,19 – 24,Past 7 Days,Past 7 Days,"Radio Christian Voice,Hot FM,Komboni Radio,Phoenix FM"
24,Komboni Radio,60492142,Lusaka,Lusaka,Urban,Male,1,One,C1,Completed high School,Roman Catholic,Unemployed [SEEKING A JOB],C2,Under K 849,Yes,19 – 24,Past 7 Days,Past 7 Days,"Radio Christian Voice,Hot FM,Komboni Radio,Phoenix FM"
25,BBC,60492143,Lusaka,Lusaka,Urban,Male,1,None,C1,Some high school,Roman Catholic,Self employed,D,K 850-K 1674,Yes,25 – 34,Yesterday,Yesterday,"BBC,Hot FM,Komboni Radio,QFM,Radio 2,Radio 2"
26,QFM,60492143,Lusaka,Lusaka,Urban,Male,1,None,C1,Some high school,Roman Catholic,Self employed,D,K 850-K 1674,Yes,25 – 34,Yesterday,Yesterday,"BBC,Hot FM,Komboni Radio,QFM,Radio 2,Radio 2"
27,Radio 2,60492143,Lusaka,Lusaka,Urban,Male,1,None,C1,Some high school,Roman Catholic,Self employed,D,K 850-K 1674,Yes,25 – 34,Yesterday,Yesterday,"BBC,Hot FM,Komboni Radio,QFM,Radio 2,Radio 2"
28,Komboni Radio,60492143,Lusaka,Lusaka,Urban,Male,1,None,C1,Some high school,Roman Catholic,Self employed,D,K 850-K 1674,Yes,25 – 34,Yesterday,Yesterday,"BBC,Hot FM,Komboni Radio,QFM,Radio 2,Radio 2"
29,Hot FM,60492143,Lusaka,Lusaka,Urban,Male,1,None,C1,Some high school,Roman Catholic,Self employed,D,K 850-K 1674,Yes,25 – 34,Yesterday,Yesterday,"BBC,Hot FM,Komboni Radio,QFM,Radio 2,Radio 2"
30,Radio Christian Voice,60498425,Muchinga,Nakonde,Urban,Female,2,None,C1,Completed high School,Anglican/Protestant,Unemployed [SEEKING A JOB],D,Under K 849,Yes,19 – 24,Yesterday,Past 7 Days,"Radio 2,Radio Christian Voice"
31,Radio 2,60498425,Muchinga,Nakonde,Urban,Female,2,None,C1,Completed high School,Anglican/Protestant,Unemployed [SEEKING A JOB],D,Under K 849,Yes,19 – 24,Yesterday,Past 7 Days,"Radio 2,Radio Christian Voice"
32,Christian Voice,60505067,Lusaka,Lusaka,Urban,Female,1,One,AB,University completed,Other Christian,Working Part-Time,C2,"K 4,628   -  K 5,364",Yes,25 – 34,Yesterday,Past 12 Months,Christian Voice
33,Radio 1,60505068,Lusaka,Lusaka,Urban,Female,1,None,D,Primary school completed,Other Christian,Working Full-Time,D,Under K 849,No,35 – 44,Past 7 Days,Yesterday,Radio 1
34,Radio 2,60505620,Lusaka,Kafue,Urban,Male,1,None,C1,Completed high School,Anglican/Protestant,Self employed,D,K 850-K 1674,Yes,45+,Yesterday,Yesterday,"Komboni Radio,Radio 2"
35,Komboni Radio,60505620,Lusaka,Kafue,Urban,Male,1,None,C1,Completed high School,Anglican/Protestant,Self employed,D,K 850-K 1674,Yes,45+,Yesterday,Yesterday,"Komboni Radio,Radio 2"
36,Radio 1,60506418,Muchinga,Nakonde,Urban,Male,0,None,C1,Completed high School,Anglican/Protestant,Unemployed [NOT SEEKING A JOB],D,Under K 849,Yes,25 – 34,Past 4 Weeks,Past 4 Weeks,Radio 1
37,Radio 2,60508564,Lusaka,Kafue,Urban,Female,1,None,AB,Completed high School,Anglican/Protestant,Self employed,D,K 850-K 1674,Yes,19 – 24,Yesterday,Yesterday,"Radio Christian Voice,Radio 2"
38,Radio Christian Voice,60508564,Lusaka,Kafue,Urban,Female,1,None,AB,Completed high School,Anglican/Protestant,Self employed,D,K 850-K 1674,Yes,19 – 24,Yesterday,Yesterday,"Radio Christian Voice,Radio 2"
39,Radio Christian Voice,60508779,Central,Chibombo,Urban,Female,1,None,D,Some primary school,Anglican/Protestant,Housewife,D,Under K 849,Yes,35 – 44,Past 7 Days,Yesterday,"Radio 1,Radio Christian Voice"
40,Radio 1,60508779,Central,Chibombo,Urban,Female,1,None,D,Some primary school,Anglican/Protestant,Housewife,D,Under K 849,Yes,35 – 44,Past 7 Days,Yesterday,"Radio 1,Radio Christian Voice"
41,Radio 1,60510231,Muchinga,Nakonde,Urban,Female,1,None,C1,Completed high School,Other Christian,Unemployed [SEEKING A JOB],C2,Under K 849,Yes,19 – 24,Yesterday,Past 12 Months,Radio 1
42,FIVE FM,60513115,Lusaka,Lusaka,Urban,Male,1,None,C1,Completed high School,Roman Catholic,Self employed,C2,"K 3,891  -  K 4,627",Yes,25 – 34,Past 7 Days,Past 7 Days,"FIVE FM,"
43,Parliament,60514495,North-Western,Solwezi,Urban,Male,1,One,AB,Completed high School,Other Christian,Self employed,C2,"K 3,155   -  K 3,890",Yes,45+,Yesterday,Past 7 Days,"Solwezi FCC Radio,Parliament,Radio 2,Radio Christian Voice"
44,Solwezi FCC Radio,60514495,North-Western,Solwezi,Urban,Male,1,One,AB,Completed high School,Other Christian,Self employed,C2,"K 3,155   -  K 3,890",Yes,45+,Yesterday,Past 7 Days,"Solwezi FCC Radio,Parliament,Radio 2,Radio Christian Voice"
45,Radio 2,60514495,North-Western,Solwezi,Urban,Male,1,One,AB,Completed high School,Other Christian,Self employed,C2,"K 3,155   -  K 3,890",Yes,45+,Yesterday,Past 7 Days,"Solwezi FCC Radio,Parliament,Radio 2,Radio Christian Voice"
46,Radio Christian Voice,60514495,North-Western,Solwezi,Urban,Male,1,One,AB,Completed high School,Other Christian,Self employed,C2,"K 3,155   -  K 3,890",Yes,45+,Yesterday,Past 7 Days,"Solwezi FCC Radio,Parliament,Radio 2,Radio Christian Voice"
47,Solwezi FCC Radio,60514496,North-Western,Solwezi,Urban,Female,1,None,AB,Some high school,Roman Catholic,Unemployed [NOT SEEKING A JOB],C2,"K 3,891  -  K 4,627",Yes,45+,Past 4 Weeks,Never,"Solwezi FCC Radio,Radio 2,Radio Christian Voice"
48,Radio 2,60514496,North-Western,Solwezi,Urban,Female,1,None,AB,Some high school,Roman Catholic,Unemployed [NOT SEEKING A JOB],C2,"K 3,891  -  K 4,627",Yes,45+,Past 4 Weeks,Never,"Solwezi FCC Radio,Radio 2,Radio Christian Voice"
49,Radio Christian Voice,60514496,North-Western,Solwezi,Urban,Female,1,None,AB,Some high school,Roman Catholic,Unemployed [NOT SEEKING A JOB],C2,"K 3,891  -  K 4,627",Yes,45+,Past 4 Weeks,Never,"Solwezi FCC Radio,Radio 2,Radio Christian Voice"
50,Solwezi FCC Radio,60514497,North-Western,Solwezi,Urban,Female,2,None,C1,Completed high School,Other Christian,Self employed,D,"K 1675- K2,499",Yes,25 – 34,Never,Yesterday,Solwezi FCC Radio
51,New Generation,60514498,North-Western,Solwezi,Urban,Female,1,None,C1,Some university,Other Christian,Self employed,D,"K 1675- K2,499",Yes,19 – 24,Yesterday,Never,"Beats,Solwezi FCC Radio,New Generation,Radio 1,Radio 1"
52,Solwezi FCC Radio,60514498,North-Western,Solwezi,Urban,Female,1,None,C1,Some university,Other Christian,Self employed,D,"K 1675- K2,499",Yes,19 – 24,Yesterday,Never,"Beats,Solwezi FCC Radio,New Generation,Radio 1,Radio 1"
53,Beats,60514498,North-Western,Solwezi,Urban,Female,1,None,C1,Some university,Other Christian,Self employed,D,"K 1675- K2,499",Yes,19 – 24,Yesterday,Never,"Beats,Solwezi FCC Radio,New Generation,Radio 1,Radio 1"
54,Radio 1,60514498,North-Western,Solwezi,Urban,Female,1,None,C1,Some university,Other Christian,Self employed,D,"K 1675- K2,499",Yes,19 – 24,Yesterday,Never,"Beats,Solwezi FCC Radio,New Generation,Radio 1,Radio 1"
55,New Generation,60514499,North-Western,Solwezi,Urban,Female,1,None,AB,Some high school,Other Christian,Student,C1,"K 5,365  -  K 6,102",Yes,19 – 24,Past 7 Days,Past 4 Weeks,"Solwezi FCC Radio,New Generation"
56,Solwezi FCC Radio,60514499,North-Western,Solwezi,Urban,Female,1,None,AB,Some high school,Other Christian,Student,C1,"K 5,365  -  K 6,102",Yes,19 – 24,Past 7 Days,Past 4 Weeks,"Solwezi FCC Radio,New Generation"
57,Phoenix FM,60514730,Central,Kapiri Mposhi,Urban,Female,1,None,C1,Completed high School,Roman Catholic,Self employed,D,"K 1675- K2,499",Yes,25 – 34,Yesterday,Past 12 Months,Phoenix FM
58,KNCRADIO,60514732,Central,Kapiri Mposhi,Urban,Female,1,None,C1,University completed,Other Christian,Working Part-Time,C2,"K 4,628   -  K 5,364",Yes,25 – 34,Past 7 Days,Never,KNCRADIO
59,Radio 1,60514733,Central,Kapiri Mposhi,Urban,Female,1,None,C1,Some high school,Other Christian,Self employed,C1,"K 2,500   -  K 3,154",Yes,25 – 34,Yesterday,Never,Radio 1
60,Phoenix FM,60514734,Central,Kapiri Mposhi,Urban,Female,1,One,C1,Some high school,Other Christian,Housewife,C2,No Income,Yes,25 – 34,Yesterday,Never,Phoenix FM
61,KNCRADIO,60514735,Central,Kapiri Mposhi,Urban,Female,1,None,AB,Completed high School,Roman Catholic,Housewife,C1,"K 2,500   -  K 3,154",Yes,25 – 34,Yesterday,Past 12 Months,KNCRADIO
62,KNCRADIO,60515239,Central,Mkushi,Urban,Female,0,None,C1,Completed high School,Roman Catholic,Working Part-Time,C2,"K 2,500   -  K 3,154",Yes,19 – 24,Past 4 Weeks,Past 4 Weeks,"KNCRADIO,Mkushi FM,Money FM"
63,Mkushi FM,60515239,Central,Mkushi,Urban,Female,0,None,C1,Completed high School,Roman Catholic,Working Part-Time,C2,"K 2,500   -  K 3,154",Yes,19 – 24,Past 4 Weeks,Past 4 Weeks,"KNCRADIO,Mkushi FM,Money FM"
64,Money FM,60515239,Central,Mkushi,Urban,Female,0,None,C1,Completed high School,Roman Catholic,Working Part-Time,C2,"K 2,500   -  K 3,154",Yes,19 – 24,Past 4 Weeks,Past 4 Weeks,"KNCRADIO,Mkushi FM,Money FM"
65,Mkushi FM,60515241,Central,Mkushi,Urban,Male,1,One,AB,University completed,Roman Catholic,Working Full-Time,C1,"K 11,262  -  K 14,631",Yes,25 – 34,Past 4 Weeks,Past 7 Days,"Mkushi FM,Money FM,Radio 1"
66,Money FM,60515241,Central,Mkushi,Urban,Male,1,One,AB,University completed,Roman Catholic,Working Full-Time,C1,"K 11,262  -  K 14,631",Yes,25 – 34,Past 4 Weeks,Past 7 Days,"Mkushi FM,Money FM,Radio 1"
67,Radio 1,60515241,Central,Mkushi,Urban,Male,1,One,AB,University completed,Roman Catholic,Working Full-Time,C1,"K 11,262  -  K 14,631",Yes,25 – 34,Past 4 Weeks,Past 7 Days,"Mkushi FM,Money FM,Radio 1"
68,Mkushi FM,60515242,Central,Mkushi,Urban,Female,1,None,C2,Some high school,Other Christian,Unemployed [SEEKING A JOB],D,Under K 849,Yes,15 – 18,Past 7 Days,Past 4 Weeks,"Mkushi FM,Money FM"
69,Money FM,60515242,Central,Mkushi,Urban,Female,1,None,C2,Some high school,Other Christian,Unemployed [SEEKING A JOB],D,Under K 849,Yes,15 – 18,Past 7 Days,Past 4 Weeks,"Mkushi FM,Money FM"
70,Radio Christian Voice,60515243,Central,Mkushi,Urban,Male,1,None,C1,Completed high School,Anglican/Protestant,Working Full-Time,D,"K 1675- K2,499",Yes,25 – 34,Past 7 Days,Past 7 Days,Radio Christian Voice
71,Mkushi FM,60515244,Central,Mkushi,Urban,Male,0,None,AB,Some high school,Anglican/Protestant,Student,C2,"K 4,628   -  K 5,364",Yes,15 – 18,Past 7 Days,Never,"Mkushi FM,Money FM"
72,Money FM,60515244,Central,Mkushi,Urban,Male,0,None,AB,Some high school,Anglican/Protestant,Student,C2,"K 4,628   -  K 5,364",Yes,15 – 18,Past 7 Days,Never,"Mkushi FM,Money FM"
73,KNCRADIO,60515246,Central,Mkushi,Urban,Female,0,None,C1,Completed high School,Seventh Day Adventists,Unemployed [NOT SEEKING A JOB],No Income,"K 3,891  -  K 4,627",Yes,19 – 24,Yesterday,Yesterday,"KNCRADIO,Radio 1"
74,Radio 1,60515246,Central,Mkushi,Urban,Female,0,None,C1,Completed high School,Seventh Day Adventists,Unemployed [NOT SEEKING A JOB],No Income,"K 3,891  -  K 4,627",Yes,19 – 24,Yesterday,Yesterday,"KNCRADIO,Radio 1"
75,Mkushi FM,60515247,Central,Mkushi,Urban,Male,1,One,AB,University completed,Roman Catholic,Working Full-Time,C1,"K 7,893 -  K 11,261",Yes,25 – 34,Yesterday,Yesterday,"Mkushi FM,Money FM"
76,Money FM,60515247,Central,Mkushi,Urban,Male,1,One,AB,University completed,Roman Catholic,Working Full-Time,C1,"K 7,893 -  K 11,261",Yes,25 – 34,Yesterday,Yesterday,"Mkushi FM,Money FM"
