,1 Music  Yesterday analysis,SbjNum,Province,Districts,AREA TYPE,Gender,Number of Radio Sets,Number of Cars,LSM GROUP,Educational Qualification,Religion,Work Status,Social Class,Gross Monthly Income,Clothing P6M,Age Range,1 Music  Yesterday
0,17:00  -  17:14,60583348,Lusaka,Kafue,Urban,Female,0,None,AB,Some university,Other Christian,Unemployed [SEEKING A JOB],No Income,No Income,Yes,25 – 34,"17:00  -  17:14,22:00  -  22:14,22:45  -  22:59"
1,22:45  -  22:59,60583348,Lusaka,Kafue,Urban,Female,0,None,AB,Some university,Other Christian,Unemployed [SEEKING A JOB],No Income,No Income,Yes,25 – 34,"17:00  -  17:14,22:00  -  22:14,22:45  -  22:59"
2,22:00  -  22:14,60583348,Lusaka,Kafue,Urban,Female,0,None,AB,Some university,Other Christian,Unemployed [SEEKING A JOB],No Income,No Income,Yes,25 – 34,"17:00  -  17:14,22:00  -  22:14,22:45  -  22:59"
3,6:45  -  6:59,60562109,Copperbelt,Ndola,Urban,Female,1,None,C2,Some primary school,Other Christian,Self employed,D,Under K 849,Yes,35 – 44,6:45  -  6:59
4,22:00  -  22:14,134659930,Northern,Mungwi,Rural,Female,1,,DE,Secondary,Christian,Not employed,D,Under K 849,,15 – 18,"                                                                                                                                                                                                                                                         6:45  -  6:59                                                                                                                                           17:00  -  17:14,22:00  -  22:14,22:45  -  22:59                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  "
5,22:45  -  22:59,134659930,Northern,Mungwi,Rural,Female,1,,DE,Secondary,Christian,Not employed,D,Under K 849,,15 – 18,"                                                                                                                                                                                                                                                         6:45  -  6:59                                                                                                                                           17:00  -  17:14,22:00  -  22:14,22:45  -  22:59                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  "
6,6:45  -  6:59                                                                                                                                           17:00  -  17:14,134659930,Northern,Mungwi,Rural,Female,1,,DE,Secondary,Christian,Not employed,D,Under K 849,,15 – 18,"                                                                                                                                                                                                                                                         6:45  -  6:59                                                                                                                                           17:00  -  17:14,22:00  -  22:14,22:45  -  22:59                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  "
7,22:00  -  22:14,134846079,Northern,Kasama,Urban,Female,0,,DE,Secondary,Christian,Employed for cash,D,K 850-K 1674,,19 – 24,"                                                                                                                                                                                                                                                         6:45  -  6:59                                                                                                                                           17:00  -  17:14,22:00  -  22:14,22:45  -  22:59                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  "
8,22:45  -  22:59,134846079,Northern,Kasama,Urban,Female,0,,DE,Secondary,Christian,Employed for cash,D,K 850-K 1674,,19 – 24,"                                                                                                                                                                                                                                                         6:45  -  6:59                                                                                                                                           17:00  -  17:14,22:00  -  22:14,22:45  -  22:59                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  "
9,6:45  -  6:59                                                                                                                                           17:00  -  17:14,134846079,Northern,Kasama,Urban,Female,0,,DE,Secondary,Christian,Employed for cash,D,K 850-K 1674,,19 – 24,"                                                                                                                                                                                                                                                         6:45  -  6:59                                                                                                                                           17:00  -  17:14,22:00  -  22:14,22:45  -  22:59                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  "
