,Africa Unite  Yesterday analysis,SbjNum,Province,Districts,AREA TYPE,Gender,Number of Radio Sets,Number of Cars,LSM GROUP,Educational Qualification,Religion,Work Status,Social Class,Gross Monthly Income,Clothing P6M,Age Range,Africa Unite  Yesterday
0,18:00  -  18:14,82033089,Eastern,Chipata,Rural,Female,2,One,AB,Some primary school,Other Christian,A housewife/househusband,AB,Do not know,Yes,35 – 44,18:00  -  18:14
1,9:30  -  9:44,82210551,Eastern,Chipata,Rural,Female,1,None,AB,Completed high School,Other Christian,Unemployed [SEEKING A JOB],AB,Do not know,Yes,19 – 24,"9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14"
2,9:45  -  9:59,82210551,Eastern,Chipata,Rural,Female,1,None,AB,Completed high School,Other Christian,Unemployed [SEEKING A JOB],AB,Do not know,Yes,19 – 24,"9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14"
3,9:15  -  9:29,82210551,Eastern,Chipata,Rural,Female,1,None,AB,Completed high School,Other Christian,Unemployed [SEEKING A JOB],AB,Do not know,Yes,19 – 24,"9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14"
4,10:00  -  10:14,82210551,Eastern,Chipata,Rural,Female,1,None,AB,Completed high School,Other Christian,Unemployed [SEEKING A JOB],AB,Do not know,Yes,19 – 24,"9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14"
5,9:00  -  9:14,82210551,Eastern,Chipata,Rural,Female,1,None,AB,Completed high School,Other Christian,Unemployed [SEEKING A JOB],AB,Do not know,Yes,19 – 24,"9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14"
6,12:45  -  12:59,60633440,Southern,Mazabuka,Urban,Male,1,None,C1,Completed high School,Seventh Day Adventists,Student,D,Under K 849,Yes,19 – 24,"12:45  -  12:59,13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59,14:00  -  14:14,14:15  -  14:29"
7,13:45  -  13:59,60633440,Southern,Mazabuka,Urban,Male,1,None,C1,Completed high School,Seventh Day Adventists,Student,D,Under K 849,Yes,19 – 24,"12:45  -  12:59,13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59,14:00  -  14:14,14:15  -  14:29"
8,14:00  -  14:14,60633440,Southern,Mazabuka,Urban,Male,1,None,C1,Completed high School,Seventh Day Adventists,Student,D,Under K 849,Yes,19 – 24,"12:45  -  12:59,13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59,14:00  -  14:14,14:15  -  14:29"
9,14:15  -  14:29,60633440,Southern,Mazabuka,Urban,Male,1,None,C1,Completed high School,Seventh Day Adventists,Student,D,Under K 849,Yes,19 – 24,"12:45  -  12:59,13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59,14:00  -  14:14,14:15  -  14:29"
10,13:00  -  13:14,60633440,Southern,Mazabuka,Urban,Male,1,None,C1,Completed high School,Seventh Day Adventists,Student,D,Under K 849,Yes,19 – 24,"12:45  -  12:59,13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59,14:00  -  14:14,14:15  -  14:29"
11,13:15  -  13:29,60633440,Southern,Mazabuka,Urban,Male,1,None,C1,Completed high School,Seventh Day Adventists,Student,D,Under K 849,Yes,19 – 24,"12:45  -  12:59,13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59,14:00  -  14:14,14:15  -  14:29"
12,13:30  -  13:44,60633440,Southern,Mazabuka,Urban,Male,1,None,C1,Completed high School,Seventh Day Adventists,Student,D,Under K 849,Yes,19 – 24,"12:45  -  12:59,13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59,14:00  -  14:14,14:15  -  14:29"
13,17:15  -  17:29,60641441,Southern,Mazabuka,Urban,Female,1,None,C1,Some university,Roman Catholic,Working Part-Time,C2,Under K 849,Yes,19 – 24,"13:45  -  13:59,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44"
14,13:45  -  13:59,60641441,Southern,Mazabuka,Urban,Female,1,None,C1,Some university,Roman Catholic,Working Part-Time,C2,Under K 849,Yes,19 – 24,"13:45  -  13:59,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44"
15,16:45  -  16:59,60641441,Southern,Mazabuka,Urban,Female,1,None,C1,Some university,Roman Catholic,Working Part-Time,C2,Under K 849,Yes,19 – 24,"13:45  -  13:59,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44"
16,14:00  -  14:14,60641441,Southern,Mazabuka,Urban,Female,1,None,C1,Some university,Roman Catholic,Working Part-Time,C2,Under K 849,Yes,19 – 24,"13:45  -  13:59,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44"
17,18:15  -  18:29,60641441,Southern,Mazabuka,Urban,Female,1,None,C1,Some university,Roman Catholic,Working Part-Time,C2,Under K 849,Yes,19 – 24,"13:45  -  13:59,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44"
18,15:30  -  15:44,60641441,Southern,Mazabuka,Urban,Female,1,None,C1,Some university,Roman Catholic,Working Part-Time,C2,Under K 849,Yes,19 – 24,"13:45  -  13:59,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44"
19,18:30  -  18:44,60641441,Southern,Mazabuka,Urban,Female,1,None,C1,Some university,Roman Catholic,Working Part-Time,C2,Under K 849,Yes,19 – 24,"13:45  -  13:59,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44"
20,15:45  -  15:59,60641441,Southern,Mazabuka,Urban,Female,1,None,C1,Some university,Roman Catholic,Working Part-Time,C2,Under K 849,Yes,19 – 24,"13:45  -  13:59,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44"
21,17:00  -  17:14,60641441,Southern,Mazabuka,Urban,Female,1,None,C1,Some university,Roman Catholic,Working Part-Time,C2,Under K 849,Yes,19 – 24,"13:45  -  13:59,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44"
22,18:00  -  18:14,60641441,Southern,Mazabuka,Urban,Female,1,None,C1,Some university,Roman Catholic,Working Part-Time,C2,Under K 849,Yes,19 – 24,"13:45  -  13:59,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44"
23,16:15  -  16:29,60641441,Southern,Mazabuka,Urban,Female,1,None,C1,Some university,Roman Catholic,Working Part-Time,C2,Under K 849,Yes,19 – 24,"13:45  -  13:59,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44"
24,15:15  -  15:29,60641441,Southern,Mazabuka,Urban,Female,1,None,C1,Some university,Roman Catholic,Working Part-Time,C2,Under K 849,Yes,19 – 24,"13:45  -  13:59,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44"
25,17:45  -  17:59,60641441,Southern,Mazabuka,Urban,Female,1,None,C1,Some university,Roman Catholic,Working Part-Time,C2,Under K 849,Yes,19 – 24,"13:45  -  13:59,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44"
26,14:30  -  14:44,60641441,Southern,Mazabuka,Urban,Female,1,None,C1,Some university,Roman Catholic,Working Part-Time,C2,Under K 849,Yes,19 – 24,"13:45  -  13:59,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44"
