,African magic  Friday analysis,SbjNum,Province,Districts,AREA TYPE,Gender,Number of Radio Sets,Number of Cars,LSM GROUP,Educational Qualification,Religion,Work Status,Social Class,Gross Monthly Income,Clothing P6M,Age Range,African magic  Friday
0,17:15  -  17:29,60515654,Central,Chibombo,Urban,Male,1,None,AB,Any other post-high school qualification,Seventh Day Adventists,Working Full-Time,C2,"K 4,628   -  K 5,364",Yes,25 – 34,"16:30  -  16:44,16:45  -  16:59,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44"
1,16:45  -  16:59,60515654,Central,Chibombo,Urban,Male,1,None,AB,Any other post-high school qualification,Seventh Day Adventists,Working Full-Time,C2,"K 4,628   -  K 5,364",Yes,25 – 34,"16:30  -  16:44,16:45  -  16:59,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44"
2,17:00  -  17:14,60515654,Central,Chibombo,Urban,Male,1,None,AB,Any other post-high school qualification,Seventh Day Adventists,Working Full-Time,C2,"K 4,628   -  K 5,364",Yes,25 – 34,"16:30  -  16:44,16:45  -  16:59,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44"
3,18:15  -  18:29,60515654,Central,Chibombo,Urban,Male,1,None,AB,Any other post-high school qualification,Seventh Day Adventists,Working Full-Time,C2,"K 4,628   -  K 5,364",Yes,25 – 34,"16:30  -  16:44,16:45  -  16:59,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44"
4,18:00  -  18:14,60515654,Central,Chibombo,Urban,Male,1,None,AB,Any other post-high school qualification,Seventh Day Adventists,Working Full-Time,C2,"K 4,628   -  K 5,364",Yes,25 – 34,"16:30  -  16:44,16:45  -  16:59,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44"
5,18:30  -  18:44,60515654,Central,Chibombo,Urban,Male,1,None,AB,Any other post-high school qualification,Seventh Day Adventists,Working Full-Time,C2,"K 4,628   -  K 5,364",Yes,25 – 34,"16:30  -  16:44,16:45  -  16:59,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44"
6,17:45  -  17:59,60515654,Central,Chibombo,Urban,Male,1,None,AB,Any other post-high school qualification,Seventh Day Adventists,Working Full-Time,C2,"K 4,628   -  K 5,364",Yes,25 – 34,"16:30  -  16:44,16:45  -  16:59,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44"
7,17:30  -  17:44,60515654,Central,Chibombo,Urban,Male,1,None,AB,Any other post-high school qualification,Seventh Day Adventists,Working Full-Time,C2,"K 4,628   -  K 5,364",Yes,25 – 34,"16:30  -  16:44,16:45  -  16:59,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44"
8,16:30  -  16:44,60515654,Central,Chibombo,Urban,Male,1,None,AB,Any other post-high school qualification,Seventh Day Adventists,Working Full-Time,C2,"K 4,628   -  K 5,364",Yes,25 – 34,"16:30  -  16:44,16:45  -  16:59,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44"
9,19:00  -  19:14,60536771,Lusaka,Kafue,Urban,Female,3,One,AB,Completed high School,Other Christian,Self employed,D,Under K 849,Yes,25 – 34,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59"
