,Amnet  Wednesday analysis,SbjNum,Province,Districts,AREA TYPE,Gender,Number of Radio Sets,Number of Cars,LSM GROUP,Educational Qualification,Religion,Work Status,Social Class,Gross Monthly Income,Clothing P6M,Age Range,Amnet  Wednesday
0,18:00  -  18:14,82006682,Eastern,Chipata,Rural,Male,1,None,AB,Completed high School,Other Christian,Student,AB,Under K 849,Yes,19 – 24,"18:00  -  18:14,21:00  -  21:14"
1,21:00  -  21:14,82006682,Eastern,Chipata,Rural,Male,1,None,AB,Completed high School,Other Christian,Student,AB,Under K 849,Yes,19 – 24,"18:00  -  18:14,21:00  -  21:14"
2,8:15  -  8:29,60825713,Copperbelt,Mufulira,Urban,Male,2,None,C1,Completed high School,Others,Unemployed [SEEKING A JOB],No Income,No Income,Yes,25 – 34,"8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44"
3,8:00  -  8:14,60825713,Copperbelt,Mufulira,Urban,Male,2,None,C1,Completed high School,Others,Unemployed [SEEKING A JOB],No Income,No Income,Yes,25 – 34,"8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44"
4,8:30  -  8:44,60825713,Copperbelt,Mufulira,Urban,Male,2,None,C1,Completed high School,Others,Unemployed [SEEKING A JOB],No Income,No Income,Yes,25 – 34,"8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44"
5,9:30  -  9:44,60825713,Copperbelt,Mufulira,Urban,Male,2,None,C1,Completed high School,Others,Unemployed [SEEKING A JOB],No Income,No Income,Yes,25 – 34,"8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44"
6,9:15  -  9:29,60825713,Copperbelt,Mufulira,Urban,Male,2,None,C1,Completed high School,Others,Unemployed [SEEKING A JOB],No Income,No Income,Yes,25 – 34,"8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44"
7,9:00  -  9:14,60825713,Copperbelt,Mufulira,Urban,Male,2,None,C1,Completed high School,Others,Unemployed [SEEKING A JOB],No Income,No Income,Yes,25 – 34,"8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44"
8,8:45  -  8:59,60825713,Copperbelt,Mufulira,Urban,Male,2,None,C1,Completed high School,Others,Unemployed [SEEKING A JOB],No Income,No Income,Yes,25 – 34,"8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44"
9,21:00  -  21:14,82113727,Southern,Livingstone,Urban,Male,0,None,C1,Some university,Other Christian,Student,C1,Under K 849,No,19 – 24,"21:00  -  21:14,22:30  -  22:44"
10,22:30  -  22:44,82113727,Southern,Livingstone,Urban,Male,0,None,C1,Some university,Other Christian,Student,C1,Under K 849,No,19 – 24,"21:00  -  21:14,22:30  -  22:44"
11,15:00  -  15:14,82285814,Southern,Livingstone,Urban,Female,0,None,C1,Completed high School,Other Christian,Self employed,C1,Under K 849,Yes,25 – 34,"13:45  -  13:59,15:00  -  15:14"
12,13:45  -  13:59,82285814,Southern,Livingstone,Urban,Female,0,None,C1,Completed high School,Other Christian,Self employed,C1,Under K 849,Yes,25 – 34,"13:45  -  13:59,15:00  -  15:14"
13,17:00  -  17:14,82367016,Southern,Livingstone,Urban,Female,0,None,DE,Completed high School,Other Christian,Unemployed [SEEKING A JOB],D,Under K 849,No,19 – 24,"17:00  -  17:14,18:00  -  18:14"
14,18:00  -  18:14,82367016,Southern,Livingstone,Urban,Female,0,None,DE,Completed high School,Other Christian,Unemployed [SEEKING A JOB],D,Under K 849,No,19 – 24,"17:00  -  17:14,18:00  -  18:14"
