,Amnet  Yesterday analysis,SbjNum,Province,Districts,AREA TYPE,Gender,Number of Radio Sets,Number of Cars,LSM GROUP,Educational Qualification,Religion,Work Status,Social Class,Gross Monthly Income,Clothing P6M,Age Range,Amnet  Yesterday
0,8:00  -  8:14,60775761,Copperbelt,Ndola,Rural,Female,3,One,AB,Some high school,Roman Catholic,Housewife,C1,K 850-K 1674,Yes,25 – 34," ,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14"
1,7:00  -  7:14,60775761,Copperbelt,Ndola,Rural,Female,3,One,AB,Some high school,Roman Catholic,Housewife,C1,K 850-K 1674,Yes,25 – 34," ,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14"
2,7:15  -  7:29,60775761,Copperbelt,Ndola,Rural,Female,3,One,AB,Some high school,Roman Catholic,Housewife,C1,K 850-K 1674,Yes,25 – 34," ,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14"
3,7:30  -  7:44,60775761,Copperbelt,Ndola,Rural,Female,3,One,AB,Some high school,Roman Catholic,Housewife,C1,K 850-K 1674,Yes,25 – 34," ,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14"
4,7:45  -  7:59,60775761,Copperbelt,Ndola,Rural,Female,3,One,AB,Some high school,Roman Catholic,Housewife,C1,K 850-K 1674,Yes,25 – 34," ,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14"
5,18:00  -  18:14,82006682,Eastern,Chipata,Rural,Male,1,None,AB,Completed high School,Other Christian,Student,AB,Under K 849,Yes,19 – 24,"18:00  -  18:14,21:00  -  21:14"
6,21:00  -  21:14,82006682,Eastern,Chipata,Rural,Male,1,None,AB,Completed high School,Other Christian,Student,AB,Under K 849,Yes,19 – 24,"18:00  -  18:14,21:00  -  21:14"
7,6:15  -  6:29,60633114,Copperbelt,Ndola,Urban,Female,0,None,C1,Some primary school,Roman Catholic,Self employed,C2,"K 2,500   -  K 3,154",Yes,45+,6:15  -  6:29
8,8:15  -  8:29,60635795,Copperbelt,Ndola,Urban,Male,1,None,C1,Completed high School,Other Christian,Self employed,D,"K 1675- K2,499",Yes,45+,8:15  -  8:29
9,21:00  -  21:14,82113727,Southern,Livingstone,Urban,Male,0,None,C1,Some university,Other Christian,Student,C1,Under K 849,No,19 – 24,"21:00  -  21:14,22:30  -  22:44"
10,22:30  -  22:44,82113727,Southern,Livingstone,Urban,Male,0,None,C1,Some university,Other Christian,Student,C1,Under K 849,No,19 – 24,"21:00  -  21:14,22:30  -  22:44"
11,15:00  -  15:14,82285814,Southern,Livingstone,Urban,Female,0,None,C1,Completed high School,Other Christian,Self employed,C1,Under K 849,Yes,25 – 34,"13:45  -  13:59,15:00  -  15:14"
12,13:45  -  13:59,82285814,Southern,Livingstone,Urban,Female,0,None,C1,Completed high School,Other Christian,Self employed,C1,Under K 849,Yes,25 – 34,"13:45  -  13:59,15:00  -  15:14"
13,17:00  -  17:14,82367016,Southern,Livingstone,Urban,Female,0,None,DE,Completed high School,Other Christian,Unemployed [SEEKING A JOB],D,Under K 849,No,19 – 24,"17:00  -  17:14,18:00  -  18:14"
14,18:00  -  18:14,82367016,Southern,Livingstone,Urban,Female,0,None,DE,Completed high School,Other Christian,Unemployed [SEEKING A JOB],D,Under K 849,No,19 – 24,"17:00  -  17:14,18:00  -  18:14"
