,BBC Brit  Monday analysis,SbjNum,Province,Districts,AREA TYPE,Gender,Number of Radio Sets,Number of Cars,LSM GROUP,Educational Qualification,Religion,Work Status,Social Class,Gross Monthly Income,Clothing P6M,Age Range,BBC Brit  Monday
0,16:30  -  16:44,60583351,Lusaka,Kafue,Urban,Male,1,None,AB,Completed high School,Other Christian,Unemployed [SEEKING A JOB],C2,"K 2,500   -  K 3,154",Yes,25 – 34,"15:00  -  15:14,16:00  -  16:14,16:30  -  16:44"
1,15:00  -  15:14,60583351,Lusaka,Kafue,Urban,Male,1,None,AB,Completed high School,Other Christian,Unemployed [SEEKING A JOB],C2,"K 2,500   -  K 3,154",Yes,25 – 34,"15:00  -  15:14,16:00  -  16:14,16:30  -  16:44"
2,16:00  -  16:14,60583351,Lusaka,Kafue,Urban,Male,1,None,AB,Completed high School,Other Christian,Unemployed [SEEKING A JOB],C2,"K 2,500   -  K 3,154",Yes,25 – 34,"15:00  -  15:14,16:00  -  16:14,16:30  -  16:44"
3,16:00  -  16:14,60562101,Lusaka,Kafue,Urban,Male,1,One,C1,Completed high School,Seventh Day Adventists,Refused/ don’t know (DON’T READ),No Income,No Income,Yes,19 – 24,"14:00  -  14:14,16:00  -  16:14,18:00  -  18:14"
4,18:00  -  18:14,60562101,Lusaka,Kafue,Urban,Male,1,One,C1,Completed high School,Seventh Day Adventists,Refused/ don’t know (DON’T READ),No Income,No Income,Yes,19 – 24,"14:00  -  14:14,16:00  -  16:14,18:00  -  18:14"
5,14:00  -  14:14,60562101,Lusaka,Kafue,Urban,Male,1,One,C1,Completed high School,Seventh Day Adventists,Refused/ don’t know (DON’T READ),No Income,No Income,Yes,19 – 24,"14:00  -  14:14,16:00  -  16:14,18:00  -  18:14"
6,16:30  -  16:44,135083754,Northern,Kasama,Urban,Female,1,,C2,Secondary,Christian,Not employed,C2,"K 2,500   -  K 3,154",,35 – 44,"                                                                                                                                                                                                                                                        14:00  -  14:14,16:00  -  16:14,18:00  -  18:14                                                                                                                                               15:00  -  15:14,16:00  -  16:14,16:30  -  16:44                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               "
7,16:00  -  16:14,135083754,Northern,Kasama,Urban,Female,1,,C2,Secondary,Christian,Not employed,C2,"K 2,500   -  K 3,154",,35 – 44,"                                                                                                                                                                                                                                                        14:00  -  14:14,16:00  -  16:14,18:00  -  18:14                                                                                                                                               15:00  -  15:14,16:00  -  16:14,16:30  -  16:44                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               "
8,18:00  -  18:14                                                                                                                                               15:00  -  15:14,135083754,Northern,Kasama,Urban,Female,1,,C2,Secondary,Christian,Not employed,C2,"K 2,500   -  K 3,154",,35 – 44,"                                                                                                                                                                                                                                                        14:00  -  14:14,16:00  -  16:14,18:00  -  18:14                                                                                                                                               15:00  -  15:14,16:00  -  16:14,16:30  -  16:44                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               "
9,14:00  -  14:14,135083754,Northern,Kasama,Urban,Female,1,,C2,Secondary,Christian,Not employed,C2,"K 2,500   -  K 3,154",,35 – 44,"                                                                                                                                                                                                                                                        14:00  -  14:14,16:00  -  16:14,18:00  -  18:14                                                                                                                                               15:00  -  15:14,16:00  -  16:14,16:30  -  16:44                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               "
10,16:30  -  16:44,134585201,Luapula,Samfya,Urban,Female,1,,DE,No formal education,Christian,Not employed,,No Income,,15 – 18,"                                                                                                                                                                                                                                                        14:00  -  14:14,16:00  -  16:14,18:00  -  18:14                                                                                                                                               15:00  -  15:14,16:00  -  16:14,16:30  -  16:44                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               "
11,16:00  -  16:14,134585201,Luapula,Samfya,Urban,Female,1,,DE,No formal education,Christian,Not employed,,No Income,,15 – 18,"                                                                                                                                                                                                                                                        14:00  -  14:14,16:00  -  16:14,18:00  -  18:14                                                                                                                                               15:00  -  15:14,16:00  -  16:14,16:30  -  16:44                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               "
12,18:00  -  18:14                                                                                                                                               15:00  -  15:14,134585201,Luapula,Samfya,Urban,Female,1,,DE,No formal education,Christian,Not employed,,No Income,,15 – 18,"                                                                                                                                                                                                                                                        14:00  -  14:14,16:00  -  16:14,18:00  -  18:14                                                                                                                                               15:00  -  15:14,16:00  -  16:14,16:30  -  16:44                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               "
13,14:00  -  14:14,134585201,Luapula,Samfya,Urban,Female,1,,DE,No formal education,Christian,Not employed,,No Income,,15 – 18,"                                                                                                                                                                                                                                                        14:00  -  14:14,16:00  -  16:14,18:00  -  18:14                                                                                                                                               15:00  -  15:14,16:00  -  16:14,16:30  -  16:44                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               "
