,BBC Lifestyle  Thursday analysis,SbjNum,Province,Districts,AREA TYPE,Gender,Number of Radio Sets,Number of Cars,LSM GROUP,Educational Qualification,Religion,Work Status,Social Class,Gross Monthly Income,Clothing P6M,Age Range,BBC Lifestyle  Thursday
0,22:00  -  22:14,60550362,Lusaka,Lusaka district,Urban,Female,0,Two or More,AB,Some university,Roman Catholic,Student,C1,Under K 849,Yes,19 – 24,"22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59"
1,22:45  -  22:59,60550362,Lusaka,Lusaka district,Urban,Female,0,Two or More,AB,Some university,Roman Catholic,Student,C1,Under K 849,Yes,19 – 24,"22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59"
2,22:15  -  22:29,60550362,Lusaka,Lusaka district,Urban,Female,0,Two or More,AB,Some university,Roman Catholic,Student,C1,Under K 849,Yes,19 – 24,"22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59"
3,22:30  -  22:44,60550362,Lusaka,Lusaka district,Urban,Female,0,Two or More,AB,Some university,Roman Catholic,Student,C1,Under K 849,Yes,19 – 24,"22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59"
4,12:00  -  12:14,82288535,North-Western,Solwezi,Rural,Male,2,None,AB,Some university,Other Christian,Working Full-Time,AB,"K 7,893 -  K 11,261",Yes,35 – 44,"12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,13:15  -  13:29"
5,12:30  -  12:44,82288535,North-Western,Solwezi,Rural,Male,2,None,AB,Some university,Other Christian,Working Full-Time,AB,"K 7,893 -  K 11,261",Yes,35 – 44,"12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,13:15  -  13:29"
6,13:15  -  13:29,82288535,North-Western,Solwezi,Rural,Male,2,None,AB,Some university,Other Christian,Working Full-Time,AB,"K 7,893 -  K 11,261",Yes,35 – 44,"12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,13:15  -  13:29"
7,12:15  -  12:29,82288535,North-Western,Solwezi,Rural,Male,2,None,AB,Some university,Other Christian,Working Full-Time,AB,"K 7,893 -  K 11,261",Yes,35 – 44,"12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,13:15  -  13:29"
8,10:30  -  10:44,82449714,Copperbelt,Ndola,Urban,Male,3,Two or More,AB,Some university,Muslim,Self employed,AB,"K 14,632 -  K 17,499",Yes,35 – 44,10:30  -  10:44
9,12:30  -  12:44,82267635,Copperbelt,Ndola,Urban,Male,2,Two or More,C1,Completed high School,Other Christian,A housewife/househusband,C1,Refusal [Do not show],Yes,25 – 34,12:30  -  12:44
10,22:15  -  22:29,135166576,Central,Kabwe,Urban,Male,2,,DE,Secondary,Christian,Employed for cash,D,"K 1675- K2,499",,45+,"                                                                                                                                                                               22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         12:30  -  12:44                                      12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,13:15  -  13:29                                                                  10:30  -  10:44                                    "
