,Baby TV  Monday analysis,SbjNum,Province,Districts,AREA TYPE,Gender,Number of Radio Sets,Number of Cars,LSM GROUP,Educational Qualification,Religion,Work Status,Social Class,Gross Monthly Income,Clothing P6M,Age Range,Baby TV  Monday
0,12:45  -  12:59,60608400,Copperbelt,Ndola,Urban,Female,0,None,C1,University completed,Other Christian,Unemployed [SEEKING A JOB],C2,K 850-K 1674,Yes,35 – 44,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,12:00  -  12:14,12:30  -  12:44,12:45  -  12:59,13:00  -  13:14"
1,9:30  -  9:44,60608400,Copperbelt,Ndola,Urban,Female,0,None,C1,University completed,Other Christian,Unemployed [SEEKING A JOB],C2,K 850-K 1674,Yes,35 – 44,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,12:00  -  12:14,12:30  -  12:44,12:45  -  12:59,13:00  -  13:14"
2,6:15  -  6:29,60608400,Copperbelt,Ndola,Urban,Female,0,None,C1,University completed,Other Christian,Unemployed [SEEKING A JOB],C2,K 850-K 1674,Yes,35 – 44,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,12:00  -  12:14,12:30  -  12:44,12:45  -  12:59,13:00  -  13:14"
3,12:30  -  12:44,60608400,Copperbelt,Ndola,Urban,Female,0,None,C1,University completed,Other Christian,Unemployed [SEEKING A JOB],C2,K 850-K 1674,Yes,35 – 44,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,12:00  -  12:14,12:30  -  12:44,12:45  -  12:59,13:00  -  13:14"
4,13:00  -  13:14,60608400,Copperbelt,Ndola,Urban,Female,0,None,C1,University completed,Other Christian,Unemployed [SEEKING A JOB],C2,K 850-K 1674,Yes,35 – 44,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,12:00  -  12:14,12:30  -  12:44,12:45  -  12:59,13:00  -  13:14"
5,7:15  -  7:29,60608400,Copperbelt,Ndola,Urban,Female,0,None,C1,University completed,Other Christian,Unemployed [SEEKING A JOB],C2,K 850-K 1674,Yes,35 – 44,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,12:00  -  12:14,12:30  -  12:44,12:45  -  12:59,13:00  -  13:14"
6,12:00  -  12:14,60608400,Copperbelt,Ndola,Urban,Female,0,None,C1,University completed,Other Christian,Unemployed [SEEKING A JOB],C2,K 850-K 1674,Yes,35 – 44,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,12:00  -  12:14,12:30  -  12:44,12:45  -  12:59,13:00  -  13:14"
7,9:00  -  9:14,60608400,Copperbelt,Ndola,Urban,Female,0,None,C1,University completed,Other Christian,Unemployed [SEEKING A JOB],C2,K 850-K 1674,Yes,35 – 44,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,12:00  -  12:14,12:30  -  12:44,12:45  -  12:59,13:00  -  13:14"
8,11:15  -  11:29,60608400,Copperbelt,Ndola,Urban,Female,0,None,C1,University completed,Other Christian,Unemployed [SEEKING A JOB],C2,K 850-K 1674,Yes,35 – 44,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,12:00  -  12:14,12:30  -  12:44,12:45  -  12:59,13:00  -  13:14"
9,9:45  -  9:59,60608400,Copperbelt,Ndola,Urban,Female,0,None,C1,University completed,Other Christian,Unemployed [SEEKING A JOB],C2,K 850-K 1674,Yes,35 – 44,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,12:00  -  12:14,12:30  -  12:44,12:45  -  12:59,13:00  -  13:14"
