,Bollywood  Saturday analysis,SbjNum,Province,Districts,AREA TYPE,Gender,Number of Radio Sets,Number of Cars,LSM GROUP,Educational Qualification,Religion,Work Status,Social Class,Gross Monthly Income,Clothing P6M,Age Range,Bollywood  Saturday
0,22:15  -  22:29,60613045,North-Western,Solwezi,Urban,Male,1,Two or More,AB,University completed,Other Christian,Working Full-Time,C1,"K 7,893 -  K 11,261",Yes,35 – 44,"22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59,23:00  -  23:14,23:15  -  23:29,23:30  -  23:44,23:45  -  23:59"
1,23:00  -  23:14,60613045,North-Western,Solwezi,Urban,Male,1,Two or More,AB,University completed,Other Christian,Working Full-Time,C1,"K 7,893 -  K 11,261",Yes,35 – 44,"22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59,23:00  -  23:14,23:15  -  23:29,23:30  -  23:44,23:45  -  23:59"
2,23:45  -  23:59,60613045,North-Western,Solwezi,Urban,Male,1,Two or More,AB,University completed,Other Christian,Working Full-Time,C1,"K 7,893 -  K 11,261",Yes,35 – 44,"22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59,23:00  -  23:14,23:15  -  23:29,23:30  -  23:44,23:45  -  23:59"
3,22:00  -  22:14,60613045,North-Western,Solwezi,Urban,Male,1,Two or More,AB,University completed,Other Christian,Working Full-Time,C1,"K 7,893 -  K 11,261",Yes,35 – 44,"22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59,23:00  -  23:14,23:15  -  23:29,23:30  -  23:44,23:45  -  23:59"
4,23:15  -  23:29,60613045,North-Western,Solwezi,Urban,Male,1,Two or More,AB,University completed,Other Christian,Working Full-Time,C1,"K 7,893 -  K 11,261",Yes,35 – 44,"22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59,23:00  -  23:14,23:15  -  23:29,23:30  -  23:44,23:45  -  23:59"
5,22:30  -  22:44,60613045,North-Western,Solwezi,Urban,Male,1,Two or More,AB,University completed,Other Christian,Working Full-Time,C1,"K 7,893 -  K 11,261",Yes,35 – 44,"22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59,23:00  -  23:14,23:15  -  23:29,23:30  -  23:44,23:45  -  23:59"
6,22:45  -  22:59,60613045,North-Western,Solwezi,Urban,Male,1,Two or More,AB,University completed,Other Christian,Working Full-Time,C1,"K 7,893 -  K 11,261",Yes,35 – 44,"22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59,23:00  -  23:14,23:15  -  23:29,23:30  -  23:44,23:45  -  23:59"
7,23:30  -  23:44,60613045,North-Western,Solwezi,Urban,Male,1,Two or More,AB,University completed,Other Christian,Working Full-Time,C1,"K 7,893 -  K 11,261",Yes,35 – 44,"22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59,23:00  -  23:14,23:15  -  23:29,23:30  -  23:44,23:45  -  23:59"
8,6:00  -  6:14,82006682,Eastern,Chipata,Rural,Male,1,None,AB,Completed high School,Other Christian,Student,AB,Under K 849,Yes,19 – 24,"6:00  -  6:14,9:00  -  9:14"
9,9:00  -  9:14,82006682,Eastern,Chipata,Rural,Male,1,None,AB,Completed high School,Other Christian,Student,AB,Under K 849,Yes,19 – 24,"6:00  -  6:14,9:00  -  9:14"
