,Bollywood  Thursday analysis,SbjNum,Province,Districts,AREA TYPE,Gender,Number of Radio Sets,Number of Cars,LSM GROUP,Educational Qualification,Religion,Work Status,Social Class,Gross Monthly Income,Clothing P6M,Age Range,Bollywood  Thursday
0,6:00  -  6:14,82006682,Eastern,Chipata,Rural,Male,1,None,AB,Completed high School,Other Christian,Student,AB,Under K 849,Yes,19 – 24,"6:00  -  6:14,9:00  -  9:14"
1,9:00  -  9:14,82006682,Eastern,Chipata,Rural,Male,1,None,AB,Completed high School,Other Christian,Student,AB,Under K 849,Yes,19 – 24,"6:00  -  6:14,9:00  -  9:14"
2,19:00  -  19:14,60580917,Copperbelt,Luanshya,Urban,Female,1,None,C1,Some high school,Anglican/Protestant,Self employed,C1,"K 6,103   -  K 7,892",Yes,35 – 44,"16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29"
3,18:45  -  18:59,60580917,Copperbelt,Luanshya,Urban,Female,1,None,C1,Some high school,Anglican/Protestant,Self employed,C1,"K 6,103   -  K 7,892",Yes,35 – 44,"16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29"
4,17:15  -  17:29,60580917,Copperbelt,Luanshya,Urban,Female,1,None,C1,Some high school,Anglican/Protestant,Self employed,C1,"K 6,103   -  K 7,892",Yes,35 – 44,"16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29"
5,19:45  -  19:59,60580917,Copperbelt,Luanshya,Urban,Female,1,None,C1,Some high school,Anglican/Protestant,Self employed,C1,"K 6,103   -  K 7,892",Yes,35 – 44,"16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29"
6,16:45  -  16:59,60580917,Copperbelt,Luanshya,Urban,Female,1,None,C1,Some high school,Anglican/Protestant,Self employed,C1,"K 6,103   -  K 7,892",Yes,35 – 44,"16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29"
7,17:00  -  17:14,60580917,Copperbelt,Luanshya,Urban,Female,1,None,C1,Some high school,Anglican/Protestant,Self employed,C1,"K 6,103   -  K 7,892",Yes,35 – 44,"16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29"
8,18:15  -  18:29,60580917,Copperbelt,Luanshya,Urban,Female,1,None,C1,Some high school,Anglican/Protestant,Self employed,C1,"K 6,103   -  K 7,892",Yes,35 – 44,"16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29"
9,18:00  -  18:14,60580917,Copperbelt,Luanshya,Urban,Female,1,None,C1,Some high school,Anglican/Protestant,Self employed,C1,"K 6,103   -  K 7,892",Yes,35 – 44,"16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29"
