,Channel O  Thursday analysis,SbjNum,Province,Districts,AREA TYPE,Gender,Number of Radio Sets,Number of Cars,LSM GROUP,Educational Qualification,Religion,Work Status,Social Class,Gross Monthly Income,Clothing P6M,Age Range,Channel O  Thursday
0,17:45  -  17:59,60515244,Central,Mkushi,Urban,Male,0,None,AB,Some high school,Anglican/Protestant,Student,C2,"K 4,628   -  K 5,364",Yes,15 – 18,"17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14"
1,19:00  -  19:14,60515244,Central,Mkushi,Urban,Male,0,None,AB,Some high school,Anglican/Protestant,Student,C2,"K 4,628   -  K 5,364",Yes,15 – 18,"17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14"
2,17:00  -  17:14,60515244,Central,Mkushi,Urban,Male,0,None,AB,Some high school,Anglican/Protestant,Student,C2,"K 4,628   -  K 5,364",Yes,15 – 18,"17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14"
3,17:30  -  17:44,60515244,Central,Mkushi,Urban,Male,0,None,AB,Some high school,Anglican/Protestant,Student,C2,"K 4,628   -  K 5,364",Yes,15 – 18,"17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14"
4,18:00  -  18:14,60515244,Central,Mkushi,Urban,Male,0,None,AB,Some high school,Anglican/Protestant,Student,C2,"K 4,628   -  K 5,364",Yes,15 – 18,"17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14"
5,19:15  -  19:29,60515244,Central,Mkushi,Urban,Male,0,None,AB,Some high school,Anglican/Protestant,Student,C2,"K 4,628   -  K 5,364",Yes,15 – 18,"17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14"
6,18:45  -  18:59,60515244,Central,Mkushi,Urban,Male,0,None,AB,Some high school,Anglican/Protestant,Student,C2,"K 4,628   -  K 5,364",Yes,15 – 18,"17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14"
7,19:30  -  19:44,60515244,Central,Mkushi,Urban,Male,0,None,AB,Some high school,Anglican/Protestant,Student,C2,"K 4,628   -  K 5,364",Yes,15 – 18,"17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14"
8,18:15  -  18:29,60515244,Central,Mkushi,Urban,Male,0,None,AB,Some high school,Anglican/Protestant,Student,C2,"K 4,628   -  K 5,364",Yes,15 – 18,"17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14"
9,20:00  -  20:14,60515244,Central,Mkushi,Urban,Male,0,None,AB,Some high school,Anglican/Protestant,Student,C2,"K 4,628   -  K 5,364",Yes,15 – 18,"17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14"
