,Discovery Channel  Wednesday analysis,SbjNum,Province,Districts,AREA TYPE,Gender,Number of Radio Sets,Number of Cars,LSM GROUP,Educational Qualification,Religion,Work Status,Social Class,Gross Monthly Income,Clothing P6M,Age Range,Discovery Channel  Wednesday
0,18:45  -  18:59,82088904,Copperbelt,Ndola,Urban,Female,1,None,C1,Completed high School,Other Christian,Self employed,C1,K 850-K 1674,Yes,25 – 34,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59"
1,18:00  -  18:14,82088904,Copperbelt,Ndola,Urban,Female,1,None,C1,Completed high School,Other Christian,Self employed,C1,K 850-K 1674,Yes,25 – 34,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59"
2,18:15  -  18:29,82088904,Copperbelt,Ndola,Urban,Female,1,None,C1,Completed high School,Other Christian,Self employed,C1,K 850-K 1674,Yes,25 – 34,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59"
3,18:30  -  18:44,82088904,Copperbelt,Ndola,Urban,Female,1,None,C1,Completed high School,Other Christian,Self employed,C1,K 850-K 1674,Yes,25 – 34,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59"
4,20:30  -  20:44,82105101,Copperbelt,Kitwe,Urban,Female,2,None,C1,Some primary school,Other Christian,Unemployed [SEEKING A JOB],C1,K 850-K 1674,Yes,25 – 34,20:30  -  20:44
5,10:00  -  10:14,82112241,Southern,Livingstone,Urban,Male,1,None,C1,Completed high School,Other Christian,Other (specify),C1,"K 2,500   -  K 3,154",No,35 – 44,"10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59"
6,10:15  -  10:29,82112241,Southern,Livingstone,Urban,Male,1,None,C1,Completed high School,Other Christian,Other (specify),C1,"K 2,500   -  K 3,154",No,35 – 44,"10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59"
7,10:45  -  10:59,82112241,Southern,Livingstone,Urban,Male,1,None,C1,Completed high School,Other Christian,Other (specify),C1,"K 2,500   -  K 3,154",No,35 – 44,"10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59"
8,10:30  -  10:44,82112241,Southern,Livingstone,Urban,Male,1,None,C1,Completed high School,Other Christian,Other (specify),C1,"K 2,500   -  K 3,154",No,35 – 44,"10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59"
9,11:45  -  11:59,82179280,Copperbelt,Ndola,Urban,Male,3,One,C2,Completed high School,Other Christian,Unemployed [SEEKING A JOB],C2,Refusal [Do not show],Yes,25 – 34,11:45  -  11:59
10,20:30  -  20:44,82372898,Eastern,Chipata,Rural,Female,1,None,C2,Some primary school,Other Christian,Do odd jobs or piece work,C2,Under K 849,Yes,35 – 44,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14"
11,19:00  -  19:14,82372898,Eastern,Chipata,Rural,Female,1,None,C2,Some primary school,Other Christian,Do odd jobs or piece work,C2,Under K 849,Yes,35 – 44,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14"
12,18:00  -  18:14,82372898,Eastern,Chipata,Rural,Female,1,None,C2,Some primary school,Other Christian,Do odd jobs or piece work,C2,Under K 849,Yes,35 – 44,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14"
13,19:15  -  19:29,82372898,Eastern,Chipata,Rural,Female,1,None,C2,Some primary school,Other Christian,Do odd jobs or piece work,C2,Under K 849,Yes,35 – 44,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14"
