,Discovery Family  Yesterday analysis,SbjNum,Province,Districts,AREA TYPE,Gender,Number of Radio Sets,Number of Cars,LSM GROUP,Educational Qualification,Religion,Work Status,Social Class,Gross Monthly Income,Clothing P6M,Age Range,Discovery Family  Yesterday
0,5:45  -  5:59,60553775,Muchinga,Nakonde,Urban,Male,2,Two or More,AB,Completed high School,Seventh Day Adventists,Self employed,C1,"K 2,500   -  K 3,154",Yes,25 – 34,"5:45  -  5:59,6:00  -  6:14,6:15  -  6:29,6:30  -  6:44"
1,6:00  -  6:14,60553775,Muchinga,Nakonde,Urban,Male,2,Two or More,AB,Completed high School,Seventh Day Adventists,Self employed,C1,"K 2,500   -  K 3,154",Yes,25 – 34,"5:45  -  5:59,6:00  -  6:14,6:15  -  6:29,6:30  -  6:44"
2,6:15  -  6:29,60553775,Muchinga,Nakonde,Urban,Male,2,Two or More,AB,Completed high School,Seventh Day Adventists,Self employed,C1,"K 2,500   -  K 3,154",Yes,25 – 34,"5:45  -  5:59,6:00  -  6:14,6:15  -  6:29,6:30  -  6:44"
3,6:30  -  6:44,60553775,Muchinga,Nakonde,Urban,Male,2,Two or More,AB,Completed high School,Seventh Day Adventists,Self employed,C1,"K 2,500   -  K 3,154",Yes,25 – 34,"5:45  -  5:59,6:00  -  6:14,6:15  -  6:29,6:30  -  6:44"
4,19:00  -  19:14,60588167,Southern,Livingstone,Urban,Male,0,One,AB,University completed,Roman Catholic,Working Full-Time,C1,"K 7,893 -  K 11,261",Yes,35 – 44,"18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29"
5,19:15  -  19:29,60588167,Southern,Livingstone,Urban,Male,0,One,AB,University completed,Roman Catholic,Working Full-Time,C1,"K 7,893 -  K 11,261",Yes,35 – 44,"18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29"
6,19:30  -  19:44,60588167,Southern,Livingstone,Urban,Male,0,One,AB,University completed,Roman Catholic,Working Full-Time,C1,"K 7,893 -  K 11,261",Yes,35 – 44,"18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29"
7,18:45  -  18:59,60588167,Southern,Livingstone,Urban,Male,0,One,AB,University completed,Roman Catholic,Working Full-Time,C1,"K 7,893 -  K 11,261",Yes,35 – 44,"18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29"
8,18:15  -  18:29,60588167,Southern,Livingstone,Urban,Male,0,One,AB,University completed,Roman Catholic,Working Full-Time,C1,"K 7,893 -  K 11,261",Yes,35 – 44,"18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29"
9,20:00  -  20:14,60588167,Southern,Livingstone,Urban,Male,0,One,AB,University completed,Roman Catholic,Working Full-Time,C1,"K 7,893 -  K 11,261",Yes,35 – 44,"18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29"
10,18:30  -  18:44,60588167,Southern,Livingstone,Urban,Male,0,One,AB,University completed,Roman Catholic,Working Full-Time,C1,"K 7,893 -  K 11,261",Yes,35 – 44,"18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29"
11,19:45  -  19:59,60588167,Southern,Livingstone,Urban,Male,0,One,AB,University completed,Roman Catholic,Working Full-Time,C1,"K 7,893 -  K 11,261",Yes,35 – 44,"18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29"
12,20:15  -  20:29,60588167,Southern,Livingstone,Urban,Male,0,One,AB,University completed,Roman Catholic,Working Full-Time,C1,"K 7,893 -  K 11,261",Yes,35 – 44,"18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29"
13,6:45  -  6:59,82009407,Southern,Livingstone,Urban,Male,0,None,C1,Some university,Other Christian,Self employed,C1,"K 1675- K2,499",No,35 – 44,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59"
14,6:00  -  6:14,82009407,Southern,Livingstone,Urban,Male,0,None,C1,Some university,Other Christian,Self employed,C1,"K 1675- K2,499",No,35 – 44,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59"
15,6:15  -  6:29,82009407,Southern,Livingstone,Urban,Male,0,None,C1,Some university,Other Christian,Self employed,C1,"K 1675- K2,499",No,35 – 44,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59"
16,6:30  -  6:44,82009407,Southern,Livingstone,Urban,Male,0,None,C1,Some university,Other Christian,Self employed,C1,"K 1675- K2,499",No,35 – 44,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59"
17,9:00  -  9:14,82088904,Copperbelt,Ndola,Urban,Female,1,None,C1,Completed high School,Other Christian,Self employed,C1,K 850-K 1674,Yes,25 – 34,"8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14"
18,8:15  -  8:29,82088904,Copperbelt,Ndola,Urban,Female,1,None,C1,Completed high School,Other Christian,Self employed,C1,K 850-K 1674,Yes,25 – 34,"8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14"
19,8:00  -  8:14,82088904,Copperbelt,Ndola,Urban,Female,1,None,C1,Completed high School,Other Christian,Self employed,C1,K 850-K 1674,Yes,25 – 34,"8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14"
20,8:45  -  8:59,82088904,Copperbelt,Ndola,Urban,Female,1,None,C1,Completed high School,Other Christian,Self employed,C1,K 850-K 1674,Yes,25 – 34,"8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14"
21,8:30  -  8:44,82088904,Copperbelt,Ndola,Urban,Female,1,None,C1,Completed high School,Other Christian,Self employed,C1,K 850-K 1674,Yes,25 – 34,"8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14"
22,9:15  -  9:29,82113727,Southern,Livingstone,Urban,Male,0,None,C1,Some university,Other Christian,Student,C1,Under K 849,No,19 – 24,"8:30  -  8:44,9:15  -  9:29"
23,8:30  -  8:44,82113727,Southern,Livingstone,Urban,Male,0,None,C1,Some university,Other Christian,Student,C1,Under K 849,No,19 – 24,"8:30  -  8:44,9:15  -  9:29"
24,6:00  -  6:14,134846137,Northern,Kasama,Urban,Male,2,,C2,Tertiary,Christian,Not employed,C2,"K 3,155   -  K 3,890",,19 – 24,"                                                                                                                                                                                             5:45  -  5:59,6:00  -  6:14,6:15  -  6:29,6:30  -  6:44                                                                                                                                                                                                                                                 18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59               8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14                                  8:30  -  8:44,9:15  -  9:29                                                                                                                                                                                                                            "
25,19:15  -  19:29,134846137,Northern,Kasama,Urban,Male,2,,C2,Tertiary,Christian,Not employed,C2,"K 3,155   -  K 3,890",,19 – 24,"                                                                                                                                                                                             5:45  -  5:59,6:00  -  6:14,6:15  -  6:29,6:30  -  6:44                                                                                                                                                                                                                                                 18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59               8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14                                  8:30  -  8:44,9:15  -  9:29                                                                                                                                                                                                                            "
26,20:15  -  20:29                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        6:00  -  6:14,134846137,Northern,Kasama,Urban,Male,2,,C2,Tertiary,Christian,Not employed,C2,"K 3,155   -  K 3,890",,19 – 24,"                                                                                                                                                                                             5:45  -  5:59,6:00  -  6:14,6:15  -  6:29,6:30  -  6:44                                                                                                                                                                                                                                                 18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59               8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14                                  8:30  -  8:44,9:15  -  9:29                                                                                                                                                                                                                            "
27,18:45  -  18:59,134846137,Northern,Kasama,Urban,Male,2,,C2,Tertiary,Christian,Not employed,C2,"K 3,155   -  K 3,890",,19 – 24,"                                                                                                                                                                                             5:45  -  5:59,6:00  -  6:14,6:15  -  6:29,6:30  -  6:44                                                                                                                                                                                                                                                 18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59               8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14                                  8:30  -  8:44,9:15  -  9:29                                                                                                                                                                                                                            "
28,19:45  -  19:59,134846137,Northern,Kasama,Urban,Male,2,,C2,Tertiary,Christian,Not employed,C2,"K 3,155   -  K 3,890",,19 – 24,"                                                                                                                                                                                             5:45  -  5:59,6:00  -  6:14,6:15  -  6:29,6:30  -  6:44                                                                                                                                                                                                                                                 18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59               8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14                                  8:30  -  8:44,9:15  -  9:29                                                                                                                                                                                                                            "
29,19:00  -  19:14,134846137,Northern,Kasama,Urban,Male,2,,C2,Tertiary,Christian,Not employed,C2,"K 3,155   -  K 3,890",,19 – 24,"                                                                                                                                                                                             5:45  -  5:59,6:00  -  6:14,6:15  -  6:29,6:30  -  6:44                                                                                                                                                                                                                                                 18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59               8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14                                  8:30  -  8:44,9:15  -  9:29                                                                                                                                                                                                                            "
30,6:45  -  6:59               8:00  -  8:14,134846137,Northern,Kasama,Urban,Male,2,,C2,Tertiary,Christian,Not employed,C2,"K 3,155   -  K 3,890",,19 – 24,"                                                                                                                                                                                             5:45  -  5:59,6:00  -  6:14,6:15  -  6:29,6:30  -  6:44                                                                                                                                                                                                                                                 18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59               8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14                                  8:30  -  8:44,9:15  -  9:29                                                                                                                                                                                                                            "
31,5:45  -  5:59,134846137,Northern,Kasama,Urban,Male,2,,C2,Tertiary,Christian,Not employed,C2,"K 3,155   -  K 3,890",,19 – 24,"                                                                                                                                                                                             5:45  -  5:59,6:00  -  6:14,6:15  -  6:29,6:30  -  6:44                                                                                                                                                                                                                                                 18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59               8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14                                  8:30  -  8:44,9:15  -  9:29                                                                                                                                                                                                                            "
32,19:30  -  19:44,134846137,Northern,Kasama,Urban,Male,2,,C2,Tertiary,Christian,Not employed,C2,"K 3,155   -  K 3,890",,19 – 24,"                                                                                                                                                                                             5:45  -  5:59,6:00  -  6:14,6:15  -  6:29,6:30  -  6:44                                                                                                                                                                                                                                                 18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59               8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14                                  8:30  -  8:44,9:15  -  9:29                                                                                                                                                                                                                            "
33,6:15  -  6:29,134846137,Northern,Kasama,Urban,Male,2,,C2,Tertiary,Christian,Not employed,C2,"K 3,155   -  K 3,890",,19 – 24,"                                                                                                                                                                                             5:45  -  5:59,6:00  -  6:14,6:15  -  6:29,6:30  -  6:44                                                                                                                                                                                                                                                 18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59               8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14                                  8:30  -  8:44,9:15  -  9:29                                                                                                                                                                                                                            "
34,6:30  -  6:44,134846137,Northern,Kasama,Urban,Male,2,,C2,Tertiary,Christian,Not employed,C2,"K 3,155   -  K 3,890",,19 – 24,"                                                                                                                                                                                             5:45  -  5:59,6:00  -  6:14,6:15  -  6:29,6:30  -  6:44                                                                                                                                                                                                                                                 18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59               8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14                                  8:30  -  8:44,9:15  -  9:29                                                                                                                                                                                                                            "
35,8:45  -  8:59,134846137,Northern,Kasama,Urban,Male,2,,C2,Tertiary,Christian,Not employed,C2,"K 3,155   -  K 3,890",,19 – 24,"                                                                                                                                                                                             5:45  -  5:59,6:00  -  6:14,6:15  -  6:29,6:30  -  6:44                                                                                                                                                                                                                                                 18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59               8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14                                  8:30  -  8:44,9:15  -  9:29                                                                                                                                                                                                                            "
