,Discovery Science  Friday analysis,SbjNum,Province,Districts,AREA TYPE,Gender,Number of Radio Sets,Number of Cars,LSM GROUP,Educational Qualification,Religion,Work Status,Social Class,Gross Monthly Income,Clothing P6M,Age Range,Discovery Science  Friday
0,23:15  -  23:29,60848822,Copperbelt,Kitwe,Urban,Male,3,None,AB,Some university,Other Christian,Working Full-Time,C2,Under K 849,Yes,25 – 34,"23:00  -  23:14,23:15  -  23:29,23:30  -  23:44,23:45  -  23:59"
1,23:30  -  23:44,60848822,Copperbelt,Kitwe,Urban,Male,3,None,AB,Some university,Other Christian,Working Full-Time,C2,Under K 849,Yes,25 – 34,"23:00  -  23:14,23:15  -  23:29,23:30  -  23:44,23:45  -  23:59"
2,23:45  -  23:59,60848822,Copperbelt,Kitwe,Urban,Male,3,None,AB,Some university,Other Christian,Working Full-Time,C2,Under K 849,Yes,25 – 34,"23:00  -  23:14,23:15  -  23:29,23:30  -  23:44,23:45  -  23:59"
3,23:00  -  23:14,60848822,Copperbelt,Kitwe,Urban,Male,3,None,AB,Some university,Other Christian,Working Full-Time,C2,Under K 849,Yes,25 – 34,"23:00  -  23:14,23:15  -  23:29,23:30  -  23:44,23:45  -  23:59"
4,10:45  -  10:59,82624379,Copperbelt,Ndola,Urban,Male,3,Two or More,AB,Some university,Other Christian,Self employed,AB,"K 26,320   -  K 29,689",Yes,35 – 44,"8:45  -  8:59,10:00  -  10:14,10:45  -  10:59,11:30  -  11:44"
5,10:00  -  10:14,82624379,Copperbelt,Ndola,Urban,Male,3,Two or More,AB,Some university,Other Christian,Self employed,AB,"K 26,320   -  K 29,689",Yes,35 – 44,"8:45  -  8:59,10:00  -  10:14,10:45  -  10:59,11:30  -  11:44"
6,8:45  -  8:59,82624379,Copperbelt,Ndola,Urban,Male,3,Two or More,AB,Some university,Other Christian,Self employed,AB,"K 26,320   -  K 29,689",Yes,35 – 44,"8:45  -  8:59,10:00  -  10:14,10:45  -  10:59,11:30  -  11:44"
7,11:30  -  11:44,82624379,Copperbelt,Ndola,Urban,Male,3,Two or More,AB,Some university,Other Christian,Self employed,AB,"K 26,320   -  K 29,689",Yes,35 – 44,"8:45  -  8:59,10:00  -  10:14,10:45  -  10:59,11:30  -  11:44"
8,10:15  -  10:29,82267635,Copperbelt,Ndola,Urban,Male,2,Two or More,C1,Completed high School,Other Christian,A housewife/househusband,C1,Refusal [Do not show],Yes,25 – 34,10:15  -  10:29
9,23:00  -  23:14,134978945,Muchinga,Mpika,Rural,Female,1,,DE,Secondary,Christian,Not employed,D,K 850-K 1674,,19 – 24,"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            23:00  -  23:14,23:15  -  23:29,23:30  -  23:44,23:45  -  23:59                                                                                                                                                            10:15  -  10:29                                                                                                                                          8:45  -  8:59,10:00  -  10:14,10:45  -  10:59,11:30  -  11:44   "
10,23:45  -  23:59                                                                                                                                                            10:15  -  10:29                                                                                                                                          8:45  -  8:59,134978945,Muchinga,Mpika,Rural,Female,1,,DE,Secondary,Christian,Not employed,D,K 850-K 1674,,19 – 24,"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            23:00  -  23:14,23:15  -  23:29,23:30  -  23:44,23:45  -  23:59                                                                                                                                                            10:15  -  10:29                                                                                                                                          8:45  -  8:59,10:00  -  10:14,10:45  -  10:59,11:30  -  11:44   "
11,10:45  -  10:59,134978945,Muchinga,Mpika,Rural,Female,1,,DE,Secondary,Christian,Not employed,D,K 850-K 1674,,19 – 24,"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            23:00  -  23:14,23:15  -  23:29,23:30  -  23:44,23:45  -  23:59                                                                                                                                                            10:15  -  10:29                                                                                                                                          8:45  -  8:59,10:00  -  10:14,10:45  -  10:59,11:30  -  11:44   "
12,23:30  -  23:44,134978945,Muchinga,Mpika,Rural,Female,1,,DE,Secondary,Christian,Not employed,D,K 850-K 1674,,19 – 24,"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            23:00  -  23:14,23:15  -  23:29,23:30  -  23:44,23:45  -  23:59                                                                                                                                                            10:15  -  10:29                                                                                                                                          8:45  -  8:59,10:00  -  10:14,10:45  -  10:59,11:30  -  11:44   "
13,11:30  -  11:44,134978945,Muchinga,Mpika,Rural,Female,1,,DE,Secondary,Christian,Not employed,D,K 850-K 1674,,19 – 24,"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            23:00  -  23:14,23:15  -  23:29,23:30  -  23:44,23:45  -  23:59                                                                                                                                                            10:15  -  10:29                                                                                                                                          8:45  -  8:59,10:00  -  10:14,10:45  -  10:59,11:30  -  11:44   "
14,23:15  -  23:29,134978945,Muchinga,Mpika,Rural,Female,1,,DE,Secondary,Christian,Not employed,D,K 850-K 1674,,19 – 24,"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            23:00  -  23:14,23:15  -  23:29,23:30  -  23:44,23:45  -  23:59                                                                                                                                                            10:15  -  10:29                                                                                                                                          8:45  -  8:59,10:00  -  10:14,10:45  -  10:59,11:30  -  11:44   "
15,10:00  -  10:14,134978945,Muchinga,Mpika,Rural,Female,1,,DE,Secondary,Christian,Not employed,D,K 850-K 1674,,19 – 24,"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            23:00  -  23:14,23:15  -  23:29,23:30  -  23:44,23:45  -  23:59                                                                                                                                                            10:15  -  10:29                                                                                                                                          8:45  -  8:59,10:00  -  10:14,10:45  -  10:59,11:30  -  11:44   "
16,23:00  -  23:14,134824347,Central,Mkushi,Rural,Female,0,,DE,Primary,Christian,Not employed,D,"K 1675- K2,499",,19 – 24,"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            23:00  -  23:14,23:15  -  23:29,23:30  -  23:44,23:45  -  23:59                                                                                                                                                            10:15  -  10:29                                                                                                                                          8:45  -  8:59,10:00  -  10:14,10:45  -  10:59,11:30  -  11:44   "
17,23:45  -  23:59                                                                                                                                                            10:15  -  10:29                                                                                                                                          8:45  -  8:59,134824347,Central,Mkushi,Rural,Female,0,,DE,Primary,Christian,Not employed,D,"K 1675- K2,499",,19 – 24,"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            23:00  -  23:14,23:15  -  23:29,23:30  -  23:44,23:45  -  23:59                                                                                                                                                            10:15  -  10:29                                                                                                                                          8:45  -  8:59,10:00  -  10:14,10:45  -  10:59,11:30  -  11:44   "
18,10:45  -  10:59,134824347,Central,Mkushi,Rural,Female,0,,DE,Primary,Christian,Not employed,D,"K 1675- K2,499",,19 – 24,"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            23:00  -  23:14,23:15  -  23:29,23:30  -  23:44,23:45  -  23:59                                                                                                                                                            10:15  -  10:29                                                                                                                                          8:45  -  8:59,10:00  -  10:14,10:45  -  10:59,11:30  -  11:44   "
19,23:30  -  23:44,134824347,Central,Mkushi,Rural,Female,0,,DE,Primary,Christian,Not employed,D,"K 1675- K2,499",,19 – 24,"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            23:00  -  23:14,23:15  -  23:29,23:30  -  23:44,23:45  -  23:59                                                                                                                                                            10:15  -  10:29                                                                                                                                          8:45  -  8:59,10:00  -  10:14,10:45  -  10:59,11:30  -  11:44   "
20,11:30  -  11:44,134824347,Central,Mkushi,Rural,Female,0,,DE,Primary,Christian,Not employed,D,"K 1675- K2,499",,19 – 24,"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            23:00  -  23:14,23:15  -  23:29,23:30  -  23:44,23:45  -  23:59                                                                                                                                                            10:15  -  10:29                                                                                                                                          8:45  -  8:59,10:00  -  10:14,10:45  -  10:59,11:30  -  11:44   "
21,23:15  -  23:29,134824347,Central,Mkushi,Rural,Female,0,,DE,Primary,Christian,Not employed,D,"K 1675- K2,499",,19 – 24,"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            23:00  -  23:14,23:15  -  23:29,23:30  -  23:44,23:45  -  23:59                                                                                                                                                            10:15  -  10:29                                                                                                                                          8:45  -  8:59,10:00  -  10:14,10:45  -  10:59,11:30  -  11:44   "
22,10:00  -  10:14,134824347,Central,Mkushi,Rural,Female,0,,DE,Primary,Christian,Not employed,D,"K 1675- K2,499",,19 – 24,"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            23:00  -  23:14,23:15  -  23:29,23:30  -  23:44,23:45  -  23:59                                                                                                                                                            10:15  -  10:29                                                                                                                                          8:45  -  8:59,10:00  -  10:14,10:45  -  10:59,11:30  -  11:44   "
23,23:00  -  23:14,134839287,Luapula,Mansa,Urban,Female,1,,DE,Primary,Christian,Not employed,,No Income,,15 – 18,"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            23:00  -  23:14,23:15  -  23:29,23:30  -  23:44,23:45  -  23:59                                                                                                                                                            10:15  -  10:29                                                                                                                                          8:45  -  8:59,10:00  -  10:14,10:45  -  10:59,11:30  -  11:44   "
24,23:45  -  23:59                                                                                                                                                            10:15  -  10:29                                                                                                                                          8:45  -  8:59,134839287,Luapula,Mansa,Urban,Female,1,,DE,Primary,Christian,Not employed,,No Income,,15 – 18,"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            23:00  -  23:14,23:15  -  23:29,23:30  -  23:44,23:45  -  23:59                                                                                                                                                            10:15  -  10:29                                                                                                                                          8:45  -  8:59,10:00  -  10:14,10:45  -  10:59,11:30  -  11:44   "
25,10:45  -  10:59,134839287,Luapula,Mansa,Urban,Female,1,,DE,Primary,Christian,Not employed,,No Income,,15 – 18,"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            23:00  -  23:14,23:15  -  23:29,23:30  -  23:44,23:45  -  23:59                                                                                                                                                            10:15  -  10:29                                                                                                                                          8:45  -  8:59,10:00  -  10:14,10:45  -  10:59,11:30  -  11:44   "
26,23:30  -  23:44,134839287,Luapula,Mansa,Urban,Female,1,,DE,Primary,Christian,Not employed,,No Income,,15 – 18,"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            23:00  -  23:14,23:15  -  23:29,23:30  -  23:44,23:45  -  23:59                                                                                                                                                            10:15  -  10:29                                                                                                                                          8:45  -  8:59,10:00  -  10:14,10:45  -  10:59,11:30  -  11:44   "
27,11:30  -  11:44,134839287,Luapula,Mansa,Urban,Female,1,,DE,Primary,Christian,Not employed,,No Income,,15 – 18,"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            23:00  -  23:14,23:15  -  23:29,23:30  -  23:44,23:45  -  23:59                                                                                                                                                            10:15  -  10:29                                                                                                                                          8:45  -  8:59,10:00  -  10:14,10:45  -  10:59,11:30  -  11:44   "
28,23:15  -  23:29,134839287,Luapula,Mansa,Urban,Female,1,,DE,Primary,Christian,Not employed,,No Income,,15 – 18,"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            23:00  -  23:14,23:15  -  23:29,23:30  -  23:44,23:45  -  23:59                                                                                                                                                            10:15  -  10:29                                                                                                                                          8:45  -  8:59,10:00  -  10:14,10:45  -  10:59,11:30  -  11:44   "
29,10:00  -  10:14,134839287,Luapula,Mansa,Urban,Female,1,,DE,Primary,Christian,Not employed,,No Income,,15 – 18,"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            23:00  -  23:14,23:15  -  23:29,23:30  -  23:44,23:45  -  23:59                                                                                                                                                            10:15  -  10:29                                                                                                                                          8:45  -  8:59,10:00  -  10:14,10:45  -  10:59,11:30  -  11:44   "
