,Disney XD  Yesterday analysis,SbjNum,Province,Districts,AREA TYPE,Gender,Number of Radio Sets,Number of Cars,LSM GROUP,Educational Qualification,Religion,Work Status,Social Class,Gross Monthly Income,Clothing P6M,Age Range,Disney XD  Yesterday
0,23:45  -  23:59,60514499,North-Western,Solwezi,Urban,Female,1,None,AB,Some high school,Other Christian,Student,C1,"K 5,365  -  K 6,102",Yes,19 – 24,"22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59,23:00  -  23:14,23:15  -  23:29,23:30  -  23:44,23:45  -  23:59"
1,22:30  -  22:44,60514499,North-Western,Solwezi,Urban,Female,1,None,AB,Some high school,Other Christian,Student,C1,"K 5,365  -  K 6,102",Yes,19 – 24,"22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59,23:00  -  23:14,23:15  -  23:29,23:30  -  23:44,23:45  -  23:59"
2,23:00  -  23:14,60514499,North-Western,Solwezi,Urban,Female,1,None,AB,Some high school,Other Christian,Student,C1,"K 5,365  -  K 6,102",Yes,19 – 24,"22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59,23:00  -  23:14,23:15  -  23:29,23:30  -  23:44,23:45  -  23:59"
3,22:00  -  22:14,60514499,North-Western,Solwezi,Urban,Female,1,None,AB,Some high school,Other Christian,Student,C1,"K 5,365  -  K 6,102",Yes,19 – 24,"22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59,23:00  -  23:14,23:15  -  23:29,23:30  -  23:44,23:45  -  23:59"
4,22:15  -  22:29,60514499,North-Western,Solwezi,Urban,Female,1,None,AB,Some high school,Other Christian,Student,C1,"K 5,365  -  K 6,102",Yes,19 – 24,"22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59,23:00  -  23:14,23:15  -  23:29,23:30  -  23:44,23:45  -  23:59"
5,22:45  -  22:59,60514499,North-Western,Solwezi,Urban,Female,1,None,AB,Some high school,Other Christian,Student,C1,"K 5,365  -  K 6,102",Yes,19 – 24,"22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59,23:00  -  23:14,23:15  -  23:29,23:30  -  23:44,23:45  -  23:59"
6,23:30  -  23:44,60514499,North-Western,Solwezi,Urban,Female,1,None,AB,Some high school,Other Christian,Student,C1,"K 5,365  -  K 6,102",Yes,19 – 24,"22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59,23:00  -  23:14,23:15  -  23:29,23:30  -  23:44,23:45  -  23:59"
7,23:15  -  23:29,60514499,North-Western,Solwezi,Urban,Female,1,None,AB,Some high school,Other Christian,Student,C1,"K 5,365  -  K 6,102",Yes,19 – 24,"22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59,23:00  -  23:14,23:15  -  23:29,23:30  -  23:44,23:45  -  23:59"
8,17:15  -  17:29,60778660,Copperbelt,Ndola,Urban,Female,1,None,C1,Completed high School,Other Christian,Unemployed [NOT SEEKING A JOB],D,"K 1675- K2,499",Yes,19 – 24,"17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59"
9,17:00  -  17:14,60778660,Copperbelt,Ndola,Urban,Female,1,None,C1,Completed high School,Other Christian,Unemployed [NOT SEEKING A JOB],D,"K 1675- K2,499",Yes,19 – 24,"17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59"
10,17:45  -  17:59,60778660,Copperbelt,Ndola,Urban,Female,1,None,C1,Completed high School,Other Christian,Unemployed [NOT SEEKING A JOB],D,"K 1675- K2,499",Yes,19 – 24,"17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59"
11,17:30  -  17:44,60778660,Copperbelt,Ndola,Urban,Female,1,None,C1,Completed high School,Other Christian,Unemployed [NOT SEEKING A JOB],D,"K 1675- K2,499",Yes,19 – 24,"17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59"
12,21:00  -  21:14,82088904,Copperbelt,Ndola,Urban,Female,1,None,C1,Completed high School,Other Christian,Self employed,C1,K 850-K 1674,Yes,25 – 34,"20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44"
13,21:30  -  21:44,82088904,Copperbelt,Ndola,Urban,Female,1,None,C1,Completed high School,Other Christian,Self employed,C1,K 850-K 1674,Yes,25 – 34,"20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44"
14,21:15  -  21:29,82088904,Copperbelt,Ndola,Urban,Female,1,None,C1,Completed high School,Other Christian,Self employed,C1,K 850-K 1674,Yes,25 – 34,"20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44"
15,20:45  -  20:59,82088904,Copperbelt,Ndola,Urban,Female,1,None,C1,Completed high School,Other Christian,Self employed,C1,K 850-K 1674,Yes,25 – 34,"20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44"
16,12:15  -  12:29,82191573,Copperbelt,Kitwe,Urban,Female,1,None,C1,Some primary school,Other Christian,A business owner,C1,"K 3,891  -  K 4,627",Yes,35 – 44,12:15  -  12:29
17,21:15  -  21:29,134670800,Western,Kaoma,Urban,Female,0,,C2,Secondary,Christian,Not employed,C2,"K 4,628   -  K 5,364",,15 – 18,"                         22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59,23:00  -  23:14,23:15  -  23:29,23:30  -  23:44,23:45  -  23:59                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59                                                                                                                                                  20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44                                                                    12:15  -  12:29                                                                                                                                                                                          "
18,22:30  -  22:44,134670800,Western,Kaoma,Urban,Female,0,,C2,Secondary,Christian,Not employed,C2,"K 4,628   -  K 5,364",,15 – 18,"                         22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59,23:00  -  23:14,23:15  -  23:29,23:30  -  23:44,23:45  -  23:59                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59                                                                                                                                                  20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44                                                                    12:15  -  12:29                                                                                                                                                                                          "
19,23:00  -  23:14,134670800,Western,Kaoma,Urban,Female,0,,C2,Secondary,Christian,Not employed,C2,"K 4,628   -  K 5,364",,15 – 18,"                         22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59,23:00  -  23:14,23:15  -  23:29,23:30  -  23:44,23:45  -  23:59                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59                                                                                                                                                  20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44                                                                    12:15  -  12:29                                                                                                                                                                                          "
20,22:00  -  22:14,134670800,Western,Kaoma,Urban,Female,0,,C2,Secondary,Christian,Not employed,C2,"K 4,628   -  K 5,364",,15 – 18,"                         22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59,23:00  -  23:14,23:15  -  23:29,23:30  -  23:44,23:45  -  23:59                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59                                                                                                                                                  20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44                                                                    12:15  -  12:29                                                                                                                                                                                          "
21,17:45  -  17:59                                                                                                                                                  20:45  -  20:59,134670800,Western,Kaoma,Urban,Female,0,,C2,Secondary,Christian,Not employed,C2,"K 4,628   -  K 5,364",,15 – 18,"                         22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59,23:00  -  23:14,23:15  -  23:29,23:30  -  23:44,23:45  -  23:59                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59                                                                                                                                                  20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44                                                                    12:15  -  12:29                                                                                                                                                                                          "
22,22:15  -  22:29,134670800,Western,Kaoma,Urban,Female,0,,C2,Secondary,Christian,Not employed,C2,"K 4,628   -  K 5,364",,15 – 18,"                         22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59,23:00  -  23:14,23:15  -  23:29,23:30  -  23:44,23:45  -  23:59                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59                                                                                                                                                  20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44                                                                    12:15  -  12:29                                                                                                                                                                                          "
23,17:30  -  17:44,134670800,Western,Kaoma,Urban,Female,0,,C2,Secondary,Christian,Not employed,C2,"K 4,628   -  K 5,364",,15 – 18,"                         22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59,23:00  -  23:14,23:15  -  23:29,23:30  -  23:44,23:45  -  23:59                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59                                                                                                                                                  20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44                                                                    12:15  -  12:29                                                                                                                                                                                          "
24,23:45  -  23:59                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           17:00  -  17:14,134670800,Western,Kaoma,Urban,Female,0,,C2,Secondary,Christian,Not employed,C2,"K 4,628   -  K 5,364",,15 – 18,"                         22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59,23:00  -  23:14,23:15  -  23:29,23:30  -  23:44,23:45  -  23:59                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59                                                                                                                                                  20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44                                                                    12:15  -  12:29                                                                                                                                                                                          "
