,E Africa  Wednesday analysis,SbjNum,Province,Districts,AREA TYPE,Gender,Number of Radio Sets,Number of Cars,LSM GROUP,Educational Qualification,Religion,Work Status,Social Class,Gross Monthly Income,Clothing P6M,Age Range,E Africa  Wednesday
0,7:15  -  7:29,60516534,Lusaka,Lusaka district,Urban,Male,1,None,AB,University completed,Anglican/Protestant,Self employed,D,K 850-K 1674,Yes,25 – 34," ,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59"
1,7:30  -  7:44,60516534,Lusaka,Lusaka district,Urban,Male,1,None,AB,University completed,Anglican/Protestant,Self employed,D,K 850-K 1674,Yes,25 – 34," ,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59"
2,7:45  -  7:59,60516534,Lusaka,Lusaka district,Urban,Male,1,None,AB,University completed,Anglican/Protestant,Self employed,D,K 850-K 1674,Yes,25 – 34," ,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59"
3,19:00  -  19:14,60540122,North-Western,Solwezi,Urban,Female,1,None,AB,University completed,Other Christian,Working Full-Time,C1,"K 5,365  -  K 6,102",Yes,45+,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59"
4,18:00  -  18:14,60540122,North-Western,Solwezi,Urban,Female,1,None,AB,University completed,Other Christian,Working Full-Time,C1,"K 5,365  -  K 6,102",Yes,45+,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59"
5,19:15  -  19:29,60540122,North-Western,Solwezi,Urban,Female,1,None,AB,University completed,Other Christian,Working Full-Time,C1,"K 5,365  -  K 6,102",Yes,45+,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59"
6,19:30  -  19:44,60540122,North-Western,Solwezi,Urban,Female,1,None,AB,University completed,Other Christian,Working Full-Time,C1,"K 5,365  -  K 6,102",Yes,45+,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59"
7,18:45  -  18:59,60540122,North-Western,Solwezi,Urban,Female,1,None,AB,University completed,Other Christian,Working Full-Time,C1,"K 5,365  -  K 6,102",Yes,45+,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59"
8,18:15  -  18:29,60540122,North-Western,Solwezi,Urban,Female,1,None,AB,University completed,Other Christian,Working Full-Time,C1,"K 5,365  -  K 6,102",Yes,45+,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59"
9,18:30  -  18:44,60540122,North-Western,Solwezi,Urban,Female,1,None,AB,University completed,Other Christian,Working Full-Time,C1,"K 5,365  -  K 6,102",Yes,45+,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59"
