,E! Entertainment  Wednesday analysis,SbjNum,Province,Districts,AREA TYPE,Gender,Number of Radio Sets,Number of Cars,LSM GROUP,Educational Qualification,Religion,Work Status,Social Class,Gross Monthly Income,Clothing P6M,Age Range,E! Entertainment  Wednesday
0,6:45  -  6:59,60524422,Lusaka,Lusaka district,Urban,Female,2,One,AB,Some high school,Roman Catholic,Student,C1,Under K 849,Yes,15 – 18,"6:15  -  6:29,6:30  -  6:44,6:45  -  6:59"
1,6:15  -  6:29,60524422,Lusaka,Lusaka district,Urban,Female,2,One,AB,Some high school,Roman Catholic,Student,C1,Under K 849,Yes,15 – 18,"6:15  -  6:29,6:30  -  6:44,6:45  -  6:59"
2,6:30  -  6:44,60524422,Lusaka,Lusaka district,Urban,Female,2,One,AB,Some high school,Roman Catholic,Student,C1,Under K 849,Yes,15 – 18,"6:15  -  6:29,6:30  -  6:44,6:45  -  6:59"
3,9:45  -  9:59,60719884,Central,Kabwe,Urban,Female,1,Two or More,AB,University completed,Roman Catholic,Student,C2,Do not know,Yes,25 – 34," ,6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,11:45  -  11:59,12:00  -  12:14,12:15  -  12:29,16:45  -  16:59,17:00  -  17:14,17:30  -  17:44,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59"
4,20:30  -  20:44,60719884,Central,Kabwe,Urban,Female,1,Two or More,AB,University completed,Roman Catholic,Student,C2,Do not know,Yes,25 – 34," ,6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,11:45  -  11:59,12:00  -  12:14,12:15  -  12:29,16:45  -  16:59,17:00  -  17:14,17:30  -  17:44,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59"
5,9:15  -  9:29,60719884,Central,Kabwe,Urban,Female,1,Two or More,AB,University completed,Roman Catholic,Student,C2,Do not know,Yes,25 – 34," ,6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,11:45  -  11:59,12:00  -  12:14,12:15  -  12:29,16:45  -  16:59,17:00  -  17:14,17:30  -  17:44,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59"
6,9:30  -  9:44,60719884,Central,Kabwe,Urban,Female,1,Two or More,AB,University completed,Roman Catholic,Student,C2,Do not know,Yes,25 – 34," ,6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,11:45  -  11:59,12:00  -  12:14,12:15  -  12:29,16:45  -  16:59,17:00  -  17:14,17:30  -  17:44,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59"
7,12:15  -  12:29,60719884,Central,Kabwe,Urban,Female,1,Two or More,AB,University completed,Roman Catholic,Student,C2,Do not know,Yes,25 – 34," ,6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,11:45  -  11:59,12:00  -  12:14,12:15  -  12:29,16:45  -  16:59,17:00  -  17:14,17:30  -  17:44,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59"
8,12:00  -  12:14,60719884,Central,Kabwe,Urban,Female,1,Two or More,AB,University completed,Roman Catholic,Student,C2,Do not know,Yes,25 – 34," ,6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,11:45  -  11:59,12:00  -  12:14,12:15  -  12:29,16:45  -  16:59,17:00  -  17:14,17:30  -  17:44,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59"
9,6:00  -  6:14,60719884,Central,Kabwe,Urban,Female,1,Two or More,AB,University completed,Roman Catholic,Student,C2,Do not know,Yes,25 – 34," ,6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,11:45  -  11:59,12:00  -  12:14,12:15  -  12:29,16:45  -  16:59,17:00  -  17:14,17:30  -  17:44,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59"
10,17:00  -  17:14,60719884,Central,Kabwe,Urban,Female,1,Two or More,AB,University completed,Roman Catholic,Student,C2,Do not know,Yes,25 – 34," ,6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,11:45  -  11:59,12:00  -  12:14,12:15  -  12:29,16:45  -  16:59,17:00  -  17:14,17:30  -  17:44,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59"
11,17:30  -  17:44,60719884,Central,Kabwe,Urban,Female,1,Two or More,AB,University completed,Roman Catholic,Student,C2,Do not know,Yes,25 – 34," ,6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,11:45  -  11:59,12:00  -  12:14,12:15  -  12:29,16:45  -  16:59,17:00  -  17:14,17:30  -  17:44,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59"
12,10:15  -  10:29,60719884,Central,Kabwe,Urban,Female,1,Two or More,AB,University completed,Roman Catholic,Student,C2,Do not know,Yes,25 – 34," ,6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,11:45  -  11:59,12:00  -  12:14,12:15  -  12:29,16:45  -  16:59,17:00  -  17:14,17:30  -  17:44,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59"
13,6:15  -  6:29,60719884,Central,Kabwe,Urban,Female,1,Two or More,AB,University completed,Roman Catholic,Student,C2,Do not know,Yes,25 – 34," ,6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,11:45  -  11:59,12:00  -  12:14,12:15  -  12:29,16:45  -  16:59,17:00  -  17:14,17:30  -  17:44,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59"
14,6:30  -  6:44,60719884,Central,Kabwe,Urban,Female,1,Two or More,AB,University completed,Roman Catholic,Student,C2,Do not know,Yes,25 – 34," ,6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,11:45  -  11:59,12:00  -  12:14,12:15  -  12:29,16:45  -  16:59,17:00  -  17:14,17:30  -  17:44,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59"
15,20:45  -  20:59,60719884,Central,Kabwe,Urban,Female,1,Two or More,AB,University completed,Roman Catholic,Student,C2,Do not know,Yes,25 – 34," ,6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,11:45  -  11:59,12:00  -  12:14,12:15  -  12:29,16:45  -  16:59,17:00  -  17:14,17:30  -  17:44,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59"
16,16:45  -  16:59,60719884,Central,Kabwe,Urban,Female,1,Two or More,AB,University completed,Roman Catholic,Student,C2,Do not know,Yes,25 – 34," ,6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,11:45  -  11:59,12:00  -  12:14,12:15  -  12:29,16:45  -  16:59,17:00  -  17:14,17:30  -  17:44,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59"
17,11:45  -  11:59,60719884,Central,Kabwe,Urban,Female,1,Two or More,AB,University completed,Roman Catholic,Student,C2,Do not know,Yes,25 – 34," ,6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,11:45  -  11:59,12:00  -  12:14,12:15  -  12:29,16:45  -  16:59,17:00  -  17:14,17:30  -  17:44,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59"
18,10:00  -  10:14,60719884,Central,Kabwe,Urban,Female,1,Two or More,AB,University completed,Roman Catholic,Student,C2,Do not know,Yes,25 – 34," ,6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,11:45  -  11:59,12:00  -  12:14,12:15  -  12:29,16:45  -  16:59,17:00  -  17:14,17:30  -  17:44,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59"
19,6:45  -  6:59,60719884,Central,Kabwe,Urban,Female,1,Two or More,AB,University completed,Roman Catholic,Student,C2,Do not know,Yes,25 – 34," ,6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,11:45  -  11:59,12:00  -  12:14,12:15  -  12:29,16:45  -  16:59,17:00  -  17:14,17:30  -  17:44,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59"
20,20:15  -  20:29,60719884,Central,Kabwe,Urban,Female,1,Two or More,AB,University completed,Roman Catholic,Student,C2,Do not know,Yes,25 – 34," ,6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,11:45  -  11:59,12:00  -  12:14,12:15  -  12:29,16:45  -  16:59,17:00  -  17:14,17:30  -  17:44,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59"
21,23:45  -  23:59,60755602,Central,Kabwe,Urban,Male,1,None,AB,Completed high School,Roman Catholic,Self employed,C2,"K 4,628   -  K 5,364",Yes,35 – 44,"23:00  -  23:14,23:15  -  23:29,23:30  -  23:44,23:45  -  23:59,0:00  -  0:14"
22,23:00  -  23:14,60755602,Central,Kabwe,Urban,Male,1,None,AB,Completed high School,Roman Catholic,Self employed,C2,"K 4,628   -  K 5,364",Yes,35 – 44,"23:00  -  23:14,23:15  -  23:29,23:30  -  23:44,23:45  -  23:59,0:00  -  0:14"
23,23:30  -  23:44,60755602,Central,Kabwe,Urban,Male,1,None,AB,Completed high School,Roman Catholic,Self employed,C2,"K 4,628   -  K 5,364",Yes,35 – 44,"23:00  -  23:14,23:15  -  23:29,23:30  -  23:44,23:45  -  23:59,0:00  -  0:14"
24,0:00  -  0:14,60755602,Central,Kabwe,Urban,Male,1,None,AB,Completed high School,Roman Catholic,Self employed,C2,"K 4,628   -  K 5,364",Yes,35 – 44,"23:00  -  23:14,23:15  -  23:29,23:30  -  23:44,23:45  -  23:59,0:00  -  0:14"
