,E-Stars  Yesterday analysis,SbjNum,Province,Districts,AREA TYPE,Gender,Number of Radio Sets,Number of Cars,LSM GROUP,Educational Qualification,Religion,Work Status,Social Class,Gross Monthly Income,Clothing P6M,Age Range,E-Stars  Yesterday
0,7:30  -  7:44,60514730,Central,Kapiri Mposhi,Urban,Female,1,None,C1,Completed high School,Roman Catholic,Self employed,D,"K 1675- K2,499",Yes,25 – 34,7:30  -  7:44
1,21:15  -  21:29,60825713,Copperbelt,Mufulira,Urban,Male,2,None,C1,Completed high School,Others,Unemployed [SEEKING A JOB],No Income,No Income,Yes,25 – 34,"20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59,23:00  -  23:14,23:15  -  23:29,23:30  -  23:44"
2,22:30  -  22:44,60825713,Copperbelt,Mufulira,Urban,Male,2,None,C1,Completed high School,Others,Unemployed [SEEKING A JOB],No Income,No Income,Yes,25 – 34,"20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59,23:00  -  23:14,23:15  -  23:29,23:30  -  23:44"
3,23:00  -  23:14,60825713,Copperbelt,Mufulira,Urban,Male,2,None,C1,Completed high School,Others,Unemployed [SEEKING A JOB],No Income,No Income,Yes,25 – 34,"20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59,23:00  -  23:14,23:15  -  23:29,23:30  -  23:44"
4,22:00  -  22:14,60825713,Copperbelt,Mufulira,Urban,Male,2,None,C1,Completed high School,Others,Unemployed [SEEKING A JOB],No Income,No Income,Yes,25 – 34,"20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59,23:00  -  23:14,23:15  -  23:29,23:30  -  23:44"
5,22:15  -  22:29,60825713,Copperbelt,Mufulira,Urban,Male,2,None,C1,Completed high School,Others,Unemployed [SEEKING A JOB],No Income,No Income,Yes,25 – 34,"20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59,23:00  -  23:14,23:15  -  23:29,23:30  -  23:44"
6,21:45  -  21:59,60825713,Copperbelt,Mufulira,Urban,Male,2,None,C1,Completed high School,Others,Unemployed [SEEKING A JOB],No Income,No Income,Yes,25 – 34,"20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59,23:00  -  23:14,23:15  -  23:29,23:30  -  23:44"
7,22:45  -  22:59,60825713,Copperbelt,Mufulira,Urban,Male,2,None,C1,Completed high School,Others,Unemployed [SEEKING A JOB],No Income,No Income,Yes,25 – 34,"20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59,23:00  -  23:14,23:15  -  23:29,23:30  -  23:44"
8,23:30  -  23:44,60825713,Copperbelt,Mufulira,Urban,Male,2,None,C1,Completed high School,Others,Unemployed [SEEKING A JOB],No Income,No Income,Yes,25 – 34,"20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59,23:00  -  23:14,23:15  -  23:29,23:30  -  23:44"
9,21:00  -  21:14,60825713,Copperbelt,Mufulira,Urban,Male,2,None,C1,Completed high School,Others,Unemployed [SEEKING A JOB],No Income,No Income,Yes,25 – 34,"20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59,23:00  -  23:14,23:15  -  23:29,23:30  -  23:44"
10,21:30  -  21:44,60825713,Copperbelt,Mufulira,Urban,Male,2,None,C1,Completed high School,Others,Unemployed [SEEKING A JOB],No Income,No Income,Yes,25 – 34,"20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59,23:00  -  23:14,23:15  -  23:29,23:30  -  23:44"
