,Emmanuel TV  Friday analysis,SbjNum,Province,Districts,AREA TYPE,Gender,Number of Radio Sets,Number of Cars,LSM GROUP,Educational Qualification,Religion,Work Status,Social Class,Gross Monthly Income,Clothing P6M,Age Range,Emmanuel TV  Friday
0,20:30  -  20:44,60595928,Central,Kabwe,Urban,Female,0,One,AB,University completed,Other Christian,Working Full-Time,C1,"K 5,365  -  K 6,102",Yes,35 – 44,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59"
1,19:00  -  19:14,60595928,Central,Kabwe,Urban,Female,0,One,AB,University completed,Other Christian,Working Full-Time,C1,"K 5,365  -  K 6,102",Yes,35 – 44,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59"
2,18:00  -  18:14,60595928,Central,Kabwe,Urban,Female,0,One,AB,University completed,Other Christian,Working Full-Time,C1,"K 5,365  -  K 6,102",Yes,35 – 44,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59"
3,19:15  -  19:29,60595928,Central,Kabwe,Urban,Female,0,One,AB,University completed,Other Christian,Working Full-Time,C1,"K 5,365  -  K 6,102",Yes,35 – 44,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59"
4,19:30  -  19:44,60595928,Central,Kabwe,Urban,Female,0,One,AB,University completed,Other Christian,Working Full-Time,C1,"K 5,365  -  K 6,102",Yes,35 – 44,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59"
5,18:45  -  18:59,60595928,Central,Kabwe,Urban,Female,0,One,AB,University completed,Other Christian,Working Full-Time,C1,"K 5,365  -  K 6,102",Yes,35 – 44,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59"
6,18:15  -  18:29,60595928,Central,Kabwe,Urban,Female,0,One,AB,University completed,Other Christian,Working Full-Time,C1,"K 5,365  -  K 6,102",Yes,35 – 44,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59"
7,20:00  -  20:14,60595928,Central,Kabwe,Urban,Female,0,One,AB,University completed,Other Christian,Working Full-Time,C1,"K 5,365  -  K 6,102",Yes,35 – 44,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59"
8,20:45  -  20:59,60595928,Central,Kabwe,Urban,Female,0,One,AB,University completed,Other Christian,Working Full-Time,C1,"K 5,365  -  K 6,102",Yes,35 – 44,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59"
9,18:30  -  18:44,60595928,Central,Kabwe,Urban,Female,0,One,AB,University completed,Other Christian,Working Full-Time,C1,"K 5,365  -  K 6,102",Yes,35 – 44,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59"
10,19:45  -  19:59,60595928,Central,Kabwe,Urban,Female,0,One,AB,University completed,Other Christian,Working Full-Time,C1,"K 5,365  -  K 6,102",Yes,35 – 44,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59"
11,20:15  -  20:29,60595928,Central,Kabwe,Urban,Female,0,One,AB,University completed,Other Christian,Working Full-Time,C1,"K 5,365  -  K 6,102",Yes,35 – 44,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59"
12,6:00  -  6:14,60607299,Copperbelt,Luanshya,Urban,Female,1,None,AB,Some university,Anglican/Protestant,Student,C2,"K 3,891  -  K 4,627",Yes,19 – 24,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14"
13,7:30  -  7:44,60607299,Copperbelt,Luanshya,Urban,Female,1,None,AB,Some university,Anglican/Protestant,Student,C2,"K 3,891  -  K 4,627",Yes,19 – 24,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14"
14,8:45  -  8:59,60607299,Copperbelt,Luanshya,Urban,Female,1,None,AB,Some university,Anglican/Protestant,Student,C2,"K 3,891  -  K 4,627",Yes,19 – 24,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14"
