,Euro Sport News  Yesterday analysis,SbjNum,Province,Districts,AREA TYPE,Gender,Number of Radio Sets,Number of Cars,LSM GROUP,Educational Qualification,Religion,Work Status,Social Class,Gross Monthly Income,Clothing P6M,Age Range,Euro Sport News  Yesterday
0,11:15  -  11:29,60775076,Copperbelt,Ndola,Urban,Male,2,One,AB,University completed,Anglican/Protestant,Working Full-Time,C1,"K 6,103   -  K 7,892",Yes,25 – 34,"10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59"
1,10:45  -  10:59,60775076,Copperbelt,Ndola,Urban,Male,2,One,AB,University completed,Anglican/Protestant,Working Full-Time,C1,"K 6,103   -  K 7,892",Yes,25 – 34,"10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59"
2,11:00  -  11:14,60775076,Copperbelt,Ndola,Urban,Male,2,One,AB,University completed,Anglican/Protestant,Working Full-Time,C1,"K 6,103   -  K 7,892",Yes,25 – 34,"10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59"
3,11:30  -  11:44,60775076,Copperbelt,Ndola,Urban,Male,2,One,AB,University completed,Anglican/Protestant,Working Full-Time,C1,"K 6,103   -  K 7,892",Yes,25 – 34,"10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59"
4,10:15  -  10:29,60775076,Copperbelt,Ndola,Urban,Male,2,One,AB,University completed,Anglican/Protestant,Working Full-Time,C1,"K 6,103   -  K 7,892",Yes,25 – 34,"10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59"
5,11:45  -  11:59,60775076,Copperbelt,Ndola,Urban,Male,2,One,AB,University completed,Anglican/Protestant,Working Full-Time,C1,"K 6,103   -  K 7,892",Yes,25 – 34,"10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59"
6,10:00  -  10:14,60775076,Copperbelt,Ndola,Urban,Male,2,One,AB,University completed,Anglican/Protestant,Working Full-Time,C1,"K 6,103   -  K 7,892",Yes,25 – 34,"10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59"
7,10:30  -  10:44,60775076,Copperbelt,Ndola,Urban,Male,2,One,AB,University completed,Anglican/Protestant,Working Full-Time,C1,"K 6,103   -  K 7,892",Yes,25 – 34,"10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59"
8,11:15  -  11:29,134591769,Central,Serenje,Rural,Male,0,,DE,Secondary,Christian,Not employed,D,K 850-K 1674,,15 – 18,"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59                                                                                                                                                                                                                                                                                                                                                                                                                                 "
9,10:45  -  10:59,134591769,Central,Serenje,Rural,Male,0,,DE,Secondary,Christian,Not employed,D,K 850-K 1674,,15 – 18,"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59                                                                                                                                                                                                                                                                                                                                                                                                                                 "
