,Family TV  Yesterday analysis,SbjNum,Province,Districts,AREA TYPE,Gender,Number of Radio Sets,Number of Cars,LSM GROUP,Educational Qualification,Religion,Work Status,Social Class,Gross Monthly Income,Clothing P6M,Age Range,Family TV  Yesterday
0,16:00  -  16:14,82628581,Copperbelt,Ndola,Urban,Female,1,Two or More,C1,Some university,Other Christian,Working Full-Time,C1,Refusal [Do not show],Yes,19 – 24,"14:00  -  14:14,15:00  -  15:14,16:00  -  16:14"
1,15:00  -  15:14,82628581,Copperbelt,Ndola,Urban,Female,1,Two or More,C1,Some university,Other Christian,Working Full-Time,C1,Refusal [Do not show],Yes,19 – 24,"14:00  -  14:14,15:00  -  15:14,16:00  -  16:14"
2,14:00  -  14:14,82628581,Copperbelt,Ndola,Urban,Female,1,Two or More,C1,Some university,Other Christian,Working Full-Time,C1,Refusal [Do not show],Yes,19 – 24,"14:00  -  14:14,15:00  -  15:14,16:00  -  16:14"
3,16:00  -  16:14,134883674,Muchinga,Mpika,Urban,Female,1,,C2,Primary,Christian,Not employed,C2,"K 2,500   -  K 3,154",,19 – 24,"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       14:00  -  14:14,15:00  -  15:14,16:00  -  16:14"
4,15:00  -  15:14,134883674,Muchinga,Mpika,Urban,Female,1,,C2,Primary,Christian,Not employed,C2,"K 2,500   -  K 3,154",,19 – 24,"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       14:00  -  14:14,15:00  -  15:14,16:00  -  16:14"
5,14:00  -  14:14,134883674,Muchinga,Mpika,Urban,Female,1,,C2,Primary,Christian,Not employed,C2,"K 2,500   -  K 3,154",,19 – 24,"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       14:00  -  14:14,15:00  -  15:14,16:00  -  16:14"
6,16:00  -  16:14,135112692,Muchinga,Chinsali,Urban,Female,1,,DE,Secondary,Christian,Not employed,D,K 850-K 1674,,25 – 34,"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       14:00  -  14:14,15:00  -  15:14,16:00  -  16:14"
7,15:00  -  15:14,135112692,Muchinga,Chinsali,Urban,Female,1,,DE,Secondary,Christian,Not employed,D,K 850-K 1674,,25 – 34,"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       14:00  -  14:14,15:00  -  15:14,16:00  -  16:14"
8,14:00  -  14:14,135112692,Muchinga,Chinsali,Urban,Female,1,,DE,Secondary,Christian,Not employed,D,K 850-K 1674,,25 – 34,"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       14:00  -  14:14,15:00  -  15:14,16:00  -  16:14"
9,16:00  -  16:14,135087472,Central,Kapiri Mposhi,Rural,Female,3,,DE,Secondary,Christian,Employed for cash,D,"K 1675- K2,499",,19 – 24,"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       14:00  -  14:14,15:00  -  15:14,16:00  -  16:14"
