,Fashion TV  Thursday analysis,SbjNum,Province,Districts,AREA TYPE,Gender,Number of Radio Sets,Number of Cars,LSM GROUP,Educational Qualification,Religion,Work Status,Social Class,Gross Monthly Income,Clothing P6M,Age Range,Fashion TV  Thursday
0,3:15  -  3:29,82005311,Southern,Livingstone,Urban,Female,1,One,AB,Completed high School,Other Christian,Unemployed [SEEKING A JOB],AB,"K 1675- K2,499",Yes,25 – 34,"3:00  -  3:14,3:15  -  3:29"
1,3:00  -  3:14,82005311,Southern,Livingstone,Urban,Female,1,One,AB,Completed high School,Other Christian,Unemployed [SEEKING A JOB],AB,"K 1675- K2,499",Yes,25 – 34,"3:00  -  3:14,3:15  -  3:29"
2,7:15  -  7:29,82628581,Copperbelt,Ndola,Urban,Female,1,Two or More,C1,Some university,Other Christian,Working Full-Time,C1,Refusal [Do not show],Yes,19 – 24,"7:15  -  7:29,10:15  -  10:29"
3,10:15  -  10:29,82628581,Copperbelt,Ndola,Urban,Female,1,Two or More,C1,Some university,Other Christian,Working Full-Time,C1,Refusal [Do not show],Yes,19 – 24,"7:15  -  7:29,10:15  -  10:29"
4,5:45  -  5:59,82267632,Copperbelt,Ndola,Urban,Male,2,Two or More,C2,Some university,Other Christian,Student,C2,Do not know,Yes,25 – 34,5:45  -  5:59
5,10:45  -  10:59,82449715,Copperbelt,Ndola,Urban,Female,1,None,C2,Some high school,Other Christian,Refused/ don’t know (DON’T READ),C2,Refusal [Do not show],Yes,25 – 34,10:45  -  10:59
6,3:15  -  3:29                                                                                                                                   5:45  -  5:59                                                                                                           10:45  -  10:59                                  7:15  -  7:29,135084803,Muchinga,Chinsali,Urban,Female,2,,C2,Secondary,Christian,Employed for cash,C2,"K 4,628   -  K 5,364",,35 – 44,"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    3:00  -  3:14,3:15  -  3:29                                                                                                                                   5:45  -  5:59                                                                                                           10:45  -  10:59                                  7:15  -  7:29,10:15  -  10:29"
7,10:15  -  10:29,135084803,Muchinga,Chinsali,Urban,Female,2,,C2,Secondary,Christian,Employed for cash,C2,"K 4,628   -  K 5,364",,35 – 44,"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    3:00  -  3:14,3:15  -  3:29                                                                                                                                   5:45  -  5:59                                                                                                           10:45  -  10:59                                  7:15  -  7:29,10:15  -  10:29"
8,3:00  -  3:14,135084803,Muchinga,Chinsali,Urban,Female,2,,C2,Secondary,Christian,Employed for cash,C2,"K 4,628   -  K 5,364",,35 – 44,"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    3:00  -  3:14,3:15  -  3:29                                                                                                                                   5:45  -  5:59                                                                                                           10:45  -  10:59                                  7:15  -  7:29,10:15  -  10:29"
9,3:15  -  3:29                                                                                                                                   5:45  -  5:59                                                                                                           10:45  -  10:59                                  7:15  -  7:29,134724456,Northern,Mungwi,Urban,Female,0,,DE,Primary,Christian,Not employed,D,Under K 849,,25 – 34,"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    3:00  -  3:14,3:15  -  3:29                                                                                                                                   5:45  -  5:59                                                                                                           10:45  -  10:59                                  7:15  -  7:29,10:15  -  10:29"
