,Food Network  Thursday analysis,SbjNum,Province,Districts,AREA TYPE,Gender,Number of Radio Sets,Number of Cars,LSM GROUP,Educational Qualification,Religion,Work Status,Social Class,Gross Monthly Income,Clothing P6M,Age Range,Food Network  Thursday
0,4:45  -  4:59,60584014,Eastern,Petauke,Urban,Female,1,None,C1,University completed,Other Christian,Working Full-Time,AB,"K 21,371   -  K 26,319",Yes,25 – 34,"4:45  -  4:59,5:00  -  5:14,6:30  -  6:44,6:45  -  6:59"
1,6:45  -  6:59,60584014,Eastern,Petauke,Urban,Female,1,None,C1,University completed,Other Christian,Working Full-Time,AB,"K 21,371   -  K 26,319",Yes,25 – 34,"4:45  -  4:59,5:00  -  5:14,6:30  -  6:44,6:45  -  6:59"
2,6:30  -  6:44,60584014,Eastern,Petauke,Urban,Female,1,None,C1,University completed,Other Christian,Working Full-Time,AB,"K 21,371   -  K 26,319",Yes,25 – 34,"4:45  -  4:59,5:00  -  5:14,6:30  -  6:44,6:45  -  6:59"
3,5:00  -  5:14,60584014,Eastern,Petauke,Urban,Female,1,None,C1,University completed,Other Christian,Working Full-Time,AB,"K 21,371   -  K 26,319",Yes,25 – 34,"4:45  -  4:59,5:00  -  5:14,6:30  -  6:44,6:45  -  6:59"
4,17:45  -  17:59,60616147,Lusaka,Lusaka district,Urban,Female,1,None,C1,Completed high School,Other Christian,Unemployed [SEEKING A JOB],Do not know,No Income,Yes,19 – 24,"17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59"
5,19:00  -  19:14,60616147,Lusaka,Lusaka district,Urban,Female,1,None,C1,Completed high School,Other Christian,Unemployed [SEEKING A JOB],Do not know,No Income,Yes,19 – 24,"17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59"
6,17:00  -  17:14,60616147,Lusaka,Lusaka district,Urban,Female,1,None,C1,Completed high School,Other Christian,Unemployed [SEEKING A JOB],Do not know,No Income,Yes,19 – 24,"17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59"
7,17:30  -  17:44,60616147,Lusaka,Lusaka district,Urban,Female,1,None,C1,Completed high School,Other Christian,Unemployed [SEEKING A JOB],Do not know,No Income,Yes,19 – 24,"17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59"
8,18:00  -  18:14,60616147,Lusaka,Lusaka district,Urban,Female,1,None,C1,Completed high School,Other Christian,Unemployed [SEEKING A JOB],Do not know,No Income,Yes,19 – 24,"17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59"
9,19:15  -  19:29,60616147,Lusaka,Lusaka district,Urban,Female,1,None,C1,Completed high School,Other Christian,Unemployed [SEEKING A JOB],Do not know,No Income,Yes,19 – 24,"17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59"
