,Fox  Saturday analysis,SbjNum,Province,Districts,AREA TYPE,Gender,Number of Radio Sets,Number of Cars,LSM GROUP,Educational Qualification,Religion,Work Status,Social Class,Gross Monthly Income,Clothing P6M,Age Range,Fox  Saturday
0,20:00  -  20:14,82003831,Southern,Livingstone,Urban,Female,1,None,AB,Some university,Other Christian,Student,AB,Under K 849,Yes,19 – 24,"8:00  -  8:14,11:00  -  11:14,17:00  -  17:14,20:00  -  20:14"
1,8:00  -  8:14,82003831,Southern,Livingstone,Urban,Female,1,None,AB,Some university,Other Christian,Student,AB,Under K 849,Yes,19 – 24,"8:00  -  8:14,11:00  -  11:14,17:00  -  17:14,20:00  -  20:14"
2,17:00  -  17:14,82003831,Southern,Livingstone,Urban,Female,1,None,AB,Some university,Other Christian,Student,AB,Under K 849,Yes,19 – 24,"8:00  -  8:14,11:00  -  11:14,17:00  -  17:14,20:00  -  20:14"
3,11:00  -  11:14,82003831,Southern,Livingstone,Urban,Female,1,None,AB,Some university,Other Christian,Student,AB,Under K 849,Yes,19 – 24,"8:00  -  8:14,11:00  -  11:14,17:00  -  17:14,20:00  -  20:14"
4,19:00  -  19:14,60550361,Lusaka,Lusaka district,Urban,Male,1,None,C1,Some high school,Other Christian,Student,AB,Under K 849,Yes,19 – 24,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14"
5,18:00  -  18:14,60550361,Lusaka,Lusaka district,Urban,Male,1,None,C1,Some high school,Other Christian,Student,AB,Under K 849,Yes,19 – 24,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14"
6,19:15  -  19:29,60550361,Lusaka,Lusaka district,Urban,Male,1,None,C1,Some high school,Other Christian,Student,AB,Under K 849,Yes,19 – 24,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14"
7,19:30  -  19:44,60550361,Lusaka,Lusaka district,Urban,Male,1,None,C1,Some high school,Other Christian,Student,AB,Under K 849,Yes,19 – 24,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14"
8,18:45  -  18:59,60550361,Lusaka,Lusaka district,Urban,Male,1,None,C1,Some high school,Other Christian,Student,AB,Under K 849,Yes,19 – 24,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14"
9,18:15  -  18:29,60550361,Lusaka,Lusaka district,Urban,Male,1,None,C1,Some high school,Other Christian,Student,AB,Under K 849,Yes,19 – 24,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14"
10,20:00  -  20:14,60550361,Lusaka,Lusaka district,Urban,Male,1,None,C1,Some high school,Other Christian,Student,AB,Under K 849,Yes,19 – 24,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14"
11,18:30  -  18:44,60550361,Lusaka,Lusaka district,Urban,Male,1,None,C1,Some high school,Other Christian,Student,AB,Under K 849,Yes,19 – 24,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14"
12,19:45  -  19:59,60550361,Lusaka,Lusaka district,Urban,Male,1,None,C1,Some high school,Other Christian,Student,AB,Under K 849,Yes,19 – 24,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14"
13,20:30  -  20:44,60610939,Lusaka,Lusaka district,Urban,Female,1,None,C1,University completed,Others,Working Full-Time,D,K 850-K 1674,Yes,25 – 34,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44"
14,19:00  -  19:14,60610939,Lusaka,Lusaka district,Urban,Female,1,None,C1,University completed,Others,Working Full-Time,D,K 850-K 1674,Yes,25 – 34,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44"
15,18:00  -  18:14,60610939,Lusaka,Lusaka district,Urban,Female,1,None,C1,University completed,Others,Working Full-Time,D,K 850-K 1674,Yes,25 – 34,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44"
