,Fox  Yesterday analysis,SbjNum,Province,Districts,AREA TYPE,Gender,Number of Radio Sets,Number of Cars,LSM GROUP,Educational Qualification,Religion,Work Status,Social Class,Gross Monthly Income,Clothing P6M,Age Range,Fox  Yesterday
0,16:00  -  16:14,60540119,North-Western,Solwezi,Urban,Male,1,None,AB,Completed high School,Others,Unemployed [SEEKING A JOB],C2,"K 3,891  -  K 4,627",Yes,19 – 24,"16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59"
1,16:15  -  16:29,60540119,North-Western,Solwezi,Urban,Male,1,None,AB,Completed high School,Others,Unemployed [SEEKING A JOB],C2,"K 3,891  -  K 4,627",Yes,19 – 24,"16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59"
2,20:30  -  20:44,60540119,North-Western,Solwezi,Urban,Male,1,None,AB,Completed high School,Others,Unemployed [SEEKING A JOB],C2,"K 3,891  -  K 4,627",Yes,19 – 24,"16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59"
3,20:00  -  20:14,60540119,North-Western,Solwezi,Urban,Male,1,None,AB,Completed high School,Others,Unemployed [SEEKING A JOB],C2,"K 3,891  -  K 4,627",Yes,19 – 24,"16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59"
4,20:45  -  20:59,60540119,North-Western,Solwezi,Urban,Male,1,None,AB,Completed high School,Others,Unemployed [SEEKING A JOB],C2,"K 3,891  -  K 4,627",Yes,19 – 24,"16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59"
5,16:45  -  16:59,60540119,North-Western,Solwezi,Urban,Male,1,None,AB,Completed high School,Others,Unemployed [SEEKING A JOB],C2,"K 3,891  -  K 4,627",Yes,19 – 24,"16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59"
6,16:30  -  16:44,60540119,North-Western,Solwezi,Urban,Male,1,None,AB,Completed high School,Others,Unemployed [SEEKING A JOB],C2,"K 3,891  -  K 4,627",Yes,19 – 24,"16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59"
7,20:15  -  20:29,60540119,North-Western,Solwezi,Urban,Male,1,None,AB,Completed high School,Others,Unemployed [SEEKING A JOB],C2,"K 3,891  -  K 4,627",Yes,19 – 24,"16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59"
8,20:00  -  20:14,82003831,Southern,Livingstone,Urban,Female,1,None,AB,Some university,Other Christian,Student,AB,Under K 849,Yes,19 – 24,"8:00  -  8:14,11:00  -  11:14,17:00  -  17:14,20:00  -  20:14"
9,8:00  -  8:14,82003831,Southern,Livingstone,Urban,Female,1,None,AB,Some university,Other Christian,Student,AB,Under K 849,Yes,19 – 24,"8:00  -  8:14,11:00  -  11:14,17:00  -  17:14,20:00  -  20:14"
