,Fox Movies  Monday analysis,SbjNum,Province,Districts,AREA TYPE,Gender,Number of Radio Sets,Number of Cars,LSM GROUP,Educational Qualification,Religion,Work Status,Social Class,Gross Monthly Income,Clothing P6M,Age Range,Fox Movies  Monday
0,20:15  -  20:29,60743838,Copperbelt,Kitwe,Urban,Male,2,None,C1,Some university,Others,Student,C2,"K 2,500   -  K 3,154",Yes,15 – 18,"20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14"
1,21:00  -  21:14,60743838,Copperbelt,Kitwe,Urban,Male,2,None,C1,Some university,Others,Student,C2,"K 2,500   -  K 3,154",Yes,15 – 18,"20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14"
2,20:00  -  20:14,60743838,Copperbelt,Kitwe,Urban,Male,2,None,C1,Some university,Others,Student,C2,"K 2,500   -  K 3,154",Yes,15 – 18,"20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14"
3,20:45  -  20:59,60743838,Copperbelt,Kitwe,Urban,Male,2,None,C1,Some university,Others,Student,C2,"K 2,500   -  K 3,154",Yes,15 – 18,"20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14"
4,20:30  -  20:44,60743838,Copperbelt,Kitwe,Urban,Male,2,None,C1,Some university,Others,Student,C2,"K 2,500   -  K 3,154",Yes,15 – 18,"20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14"
5,16:00  -  16:14,82205276,Copperbelt,Kitwe,Urban,Female,3,None,C2,Completed high School,Other Christian,Unemployed [SEEKING A JOB],C2,"K 2,500   -  K 3,154",Yes,35 – 44,"16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14"
6,16:15  -  16:29,82205276,Copperbelt,Kitwe,Urban,Female,3,None,C2,Completed high School,Other Christian,Unemployed [SEEKING A JOB],C2,"K 2,500   -  K 3,154",Yes,35 – 44,"16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14"
7,17:00  -  17:14,82205276,Copperbelt,Kitwe,Urban,Female,3,None,C2,Completed high School,Other Christian,Unemployed [SEEKING A JOB],C2,"K 2,500   -  K 3,154",Yes,35 – 44,"16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14"
8,16:45  -  16:59,82205276,Copperbelt,Kitwe,Urban,Female,3,None,C2,Completed high School,Other Christian,Unemployed [SEEKING A JOB],C2,"K 2,500   -  K 3,154",Yes,35 – 44,"16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14"
9,16:30  -  16:44,82205276,Copperbelt,Kitwe,Urban,Female,3,None,C2,Completed high School,Other Christian,Unemployed [SEEKING A JOB],C2,"K 2,500   -  K 3,154",Yes,35 – 44,"16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14"
10,16:15  -  16:29,135084806,Muchinga,Chinsali,Urban,Male,1,,C2,Secondary,Christian,Employed for cash,C2,"K 2,500   -  K 3,154",,25 – 34,"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14                                                                                                                                                                                                                                                                                                                                                                                                                               16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14                                                                                                                                                                          "
11,20:15  -  20:29,135084806,Muchinga,Chinsali,Urban,Male,1,,C2,Secondary,Christian,Employed for cash,C2,"K 2,500   -  K 3,154",,25 – 34,"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14                                                                                                                                                                                                                                                                                                                                                                                                                               16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14                                                                                                                                                                          "
12,17:00  -  17:14,135084806,Muchinga,Chinsali,Urban,Male,1,,C2,Secondary,Christian,Employed for cash,C2,"K 2,500   -  K 3,154",,25 – 34,"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14                                                                                                                                                                                                                                                                                                                                                                                                                               16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14                                                                                                                                                                          "
13,20:00  -  20:14,135084806,Muchinga,Chinsali,Urban,Male,1,,C2,Secondary,Christian,Employed for cash,C2,"K 2,500   -  K 3,154",,25 – 34,"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14                                                                                                                                                                                                                                                                                                                                                                                                                               16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14                                                                                                                                                                          "
