,Fox Movies +2  Tueday analysis,SbjNum,Province,Districts,AREA TYPE,Gender,Number of Radio Sets,Number of Cars,LSM GROUP,Educational Qualification,Religion,Work Status,Social Class,Gross Monthly Income,Clothing P6M,Age Range,Fox Movies +2  Tueday
0,1:15  -  1:29,82203329,Southern,Livingstone,Urban,Female,0,None,C1,Primary school completed,Other Christian,A housewife/househusband,C1,K 850-K 1674,Yes,35 – 44,"23:00  -  23:14,23:15  -  23:29,23:30  -  23:44,23:45  -  23:59,0:00  -  0:14,0:15  -  0:29,0:30  -  0:44,0:45  -  0:59,1:00  -  1:14,1:15  -  1:29,1:30  -  1:44,1:45  -  1:59"
1,23:45  -  23:59,82203329,Southern,Livingstone,Urban,Female,0,None,C1,Primary school completed,Other Christian,A housewife/househusband,C1,K 850-K 1674,Yes,35 – 44,"23:00  -  23:14,23:15  -  23:29,23:30  -  23:44,23:45  -  23:59,0:00  -  0:14,0:15  -  0:29,0:30  -  0:44,0:45  -  0:59,1:00  -  1:14,1:15  -  1:29,1:30  -  1:44,1:45  -  1:59"
2,0:15  -  0:29,82203329,Southern,Livingstone,Urban,Female,0,None,C1,Primary school completed,Other Christian,A housewife/househusband,C1,K 850-K 1674,Yes,35 – 44,"23:00  -  23:14,23:15  -  23:29,23:30  -  23:44,23:45  -  23:59,0:00  -  0:14,0:15  -  0:29,0:30  -  0:44,0:45  -  0:59,1:00  -  1:14,1:15  -  1:29,1:30  -  1:44,1:45  -  1:59"
3,23:00  -  23:14,82203329,Southern,Livingstone,Urban,Female,0,None,C1,Primary school completed,Other Christian,A housewife/househusband,C1,K 850-K 1674,Yes,35 – 44,"23:00  -  23:14,23:15  -  23:29,23:30  -  23:44,23:45  -  23:59,0:00  -  0:14,0:15  -  0:29,0:30  -  0:44,0:45  -  0:59,1:00  -  1:14,1:15  -  1:29,1:30  -  1:44,1:45  -  1:59"
4,1:00  -  1:14,82203329,Southern,Livingstone,Urban,Female,0,None,C1,Primary school completed,Other Christian,A housewife/househusband,C1,K 850-K 1674,Yes,35 – 44,"23:00  -  23:14,23:15  -  23:29,23:30  -  23:44,23:45  -  23:59,0:00  -  0:14,0:15  -  0:29,0:30  -  0:44,0:45  -  0:59,1:00  -  1:14,1:15  -  1:29,1:30  -  1:44,1:45  -  1:59"
5,23:30  -  23:44,82203329,Southern,Livingstone,Urban,Female,0,None,C1,Primary school completed,Other Christian,A housewife/househusband,C1,K 850-K 1674,Yes,35 – 44,"23:00  -  23:14,23:15  -  23:29,23:30  -  23:44,23:45  -  23:59,0:00  -  0:14,0:15  -  0:29,0:30  -  0:44,0:45  -  0:59,1:00  -  1:14,1:15  -  1:29,1:30  -  1:44,1:45  -  1:59"
6,1:30  -  1:44,82203329,Southern,Livingstone,Urban,Female,0,None,C1,Primary school completed,Other Christian,A housewife/househusband,C1,K 850-K 1674,Yes,35 – 44,"23:00  -  23:14,23:15  -  23:29,23:30  -  23:44,23:45  -  23:59,0:00  -  0:14,0:15  -  0:29,0:30  -  0:44,0:45  -  0:59,1:00  -  1:14,1:15  -  1:29,1:30  -  1:44,1:45  -  1:59"
7,0:00  -  0:14,82203329,Southern,Livingstone,Urban,Female,0,None,C1,Primary school completed,Other Christian,A housewife/househusband,C1,K 850-K 1674,Yes,35 – 44,"23:00  -  23:14,23:15  -  23:29,23:30  -  23:44,23:45  -  23:59,0:00  -  0:14,0:15  -  0:29,0:30  -  0:44,0:45  -  0:59,1:00  -  1:14,1:15  -  1:29,1:30  -  1:44,1:45  -  1:59"
8,0:45  -  0:59,82203329,Southern,Livingstone,Urban,Female,0,None,C1,Primary school completed,Other Christian,A housewife/househusband,C1,K 850-K 1674,Yes,35 – 44,"23:00  -  23:14,23:15  -  23:29,23:30  -  23:44,23:45  -  23:59,0:00  -  0:14,0:15  -  0:29,0:30  -  0:44,0:45  -  0:59,1:00  -  1:14,1:15  -  1:29,1:30  -  1:44,1:45  -  1:59"
9,1:45  -  1:59,82203329,Southern,Livingstone,Urban,Female,0,None,C1,Primary school completed,Other Christian,A housewife/househusband,C1,K 850-K 1674,Yes,35 – 44,"23:00  -  23:14,23:15  -  23:29,23:30  -  23:44,23:45  -  23:59,0:00  -  0:14,0:15  -  0:29,0:30  -  0:44,0:45  -  0:59,1:00  -  1:14,1:15  -  1:29,1:30  -  1:44,1:45  -  1:59"
