,Hope Channel  Yesterday analysis,SbjNum,Province,Districts,AREA TYPE,Gender,Number of Radio Sets,Number of Cars,LSM GROUP,Educational Qualification,Religion,Work Status,Social Class,Gross Monthly Income,Clothing P6M,Age Range,Hope Channel  Yesterday
0,22:00  -  22:14,60538019,Lusaka,Kafue,Urban,Male,1,None,AB,University completed,Seventh Day Adventists,Unemployed [NOT SEEKING A JOB],Do not know,Do not know,Yes,25 – 34,"18:15  -  18:29,22:00  -  22:14,23:00  -  23:14"
1,18:15  -  18:29,60538019,Lusaka,Kafue,Urban,Male,1,None,AB,University completed,Seventh Day Adventists,Unemployed [NOT SEEKING A JOB],Do not know,Do not know,Yes,25 – 34,"18:15  -  18:29,22:00  -  22:14,23:00  -  23:14"
2,23:00  -  23:14,60538019,Lusaka,Kafue,Urban,Male,1,None,AB,University completed,Seventh Day Adventists,Unemployed [NOT SEEKING A JOB],Do not know,Do not know,Yes,25 – 34,"18:15  -  18:29,22:00  -  22:14,23:00  -  23:14"
3,13:45  -  13:59,60727077,Southern,Livingstone,Urban,Female,1,One,AB,Some university,Other Christian,Working Full-Time,C2,"K 3,155   -  K 3,890",Yes,25 – 34,"11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59,14:00  -  14:14"
4,12:45  -  12:59,60727077,Southern,Livingstone,Urban,Female,1,One,AB,Some university,Other Christian,Working Full-Time,C2,"K 3,155   -  K 3,890",Yes,25 – 34,"11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59,14:00  -  14:14"
5,12:00  -  12:14,60727077,Southern,Livingstone,Urban,Female,1,One,AB,Some university,Other Christian,Working Full-Time,C2,"K 3,155   -  K 3,890",Yes,25 – 34,"11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59,14:00  -  14:14"
6,11:15  -  11:29,60727077,Southern,Livingstone,Urban,Female,1,One,AB,Some university,Other Christian,Working Full-Time,C2,"K 3,155   -  K 3,890",Yes,25 – 34,"11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59,14:00  -  14:14"
7,14:00  -  14:14,60727077,Southern,Livingstone,Urban,Female,1,One,AB,Some university,Other Christian,Working Full-Time,C2,"K 3,155   -  K 3,890",Yes,25 – 34,"11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59,14:00  -  14:14"
8,11:30  -  11:44,60727077,Southern,Livingstone,Urban,Female,1,One,AB,Some university,Other Christian,Working Full-Time,C2,"K 3,155   -  K 3,890",Yes,25 – 34,"11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59,14:00  -  14:14"
9,13:30  -  13:44,60727077,Southern,Livingstone,Urban,Female,1,One,AB,Some university,Other Christian,Working Full-Time,C2,"K 3,155   -  K 3,890",Yes,25 – 34,"11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59,14:00  -  14:14"
10,13:00  -  13:14,60727077,Southern,Livingstone,Urban,Female,1,One,AB,Some university,Other Christian,Working Full-Time,C2,"K 3,155   -  K 3,890",Yes,25 – 34,"11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59,14:00  -  14:14"
11,13:15  -  13:29,60727077,Southern,Livingstone,Urban,Female,1,One,AB,Some university,Other Christian,Working Full-Time,C2,"K 3,155   -  K 3,890",Yes,25 – 34,"11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59,14:00  -  14:14"
