,Iroko Play-African Movies  Yesterday analysis,SbjNum,Province,Districts,AREA TYPE,Gender,Number of Radio Sets,Number of Cars,LSM GROUP,Educational Qualification,Religion,Work Status,Social Class,Gross Monthly Income,Clothing P6M,Age Range,Iroko Play-African Movies  Yesterday
0,13:45  -  13:59,60550363,Lusaka,Lusaka district,Urban,Female,0,None,C1,Some high school,Roman Catholic,Student,C2,Under K 849,No,19 – 24,"13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14"
1,14:15  -  14:29,60550363,Lusaka,Lusaka district,Urban,Female,0,None,C1,Some high school,Roman Catholic,Student,C2,Under K 849,No,19 – 24,"13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14"
2,14:45  -  14:59,60550363,Lusaka,Lusaka district,Urban,Female,0,None,C1,Some high school,Roman Catholic,Student,C2,Under K 849,No,19 – 24,"13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14"
3,15:00  -  15:14,60550363,Lusaka,Lusaka district,Urban,Female,0,None,C1,Some high school,Roman Catholic,Student,C2,Under K 849,No,19 – 24,"13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14"
4,14:00  -  14:14,60550363,Lusaka,Lusaka district,Urban,Female,0,None,C1,Some high school,Roman Catholic,Student,C2,Under K 849,No,19 – 24,"13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14"
5,13:30  -  13:44,60550363,Lusaka,Lusaka district,Urban,Female,0,None,C1,Some high school,Roman Catholic,Student,C2,Under K 849,No,19 – 24,"13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14"
6,13:00  -  13:14,60550363,Lusaka,Lusaka district,Urban,Female,0,None,C1,Some high school,Roman Catholic,Student,C2,Under K 849,No,19 – 24,"13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14"
7,14:30  -  14:44,60550363,Lusaka,Lusaka district,Urban,Female,0,None,C1,Some high school,Roman Catholic,Student,C2,Under K 849,No,19 – 24,"13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14"
8,13:15  -  13:29,60550363,Lusaka,Lusaka district,Urban,Female,0,None,C1,Some high school,Roman Catholic,Student,C2,Under K 849,No,19 – 24,"13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14"
9,16:15  -  16:29,60559081,Copperbelt,Chingola,Urban,Female,1,None,C1,Some high school,Roman Catholic,Student,C2,Under K 849,Yes,19 – 24,"20:00  -  20:14,19:45  -  19:59,19:30  -  19:44,19:15  -  19:29,19:00  -  19:14,18:45  -  18:59,18:30  -  18:44,18:15  -  18:29,18:00  -  18:14,17:45  -  17:59,17:30  -  17:44,17:15  -  17:29,17:00  -  17:14,16:45  -  16:59,16:30  -  16:44,16:15  -  16:29,16:00  -  16:14,15:45  -  15:59"
