,Life TV  Yesterday analysis,SbjNum,Province,Districts,AREA TYPE,Gender,Number of Radio Sets,Number of Cars,LSM GROUP,Educational Qualification,Religion,Work Status,Social Class,Gross Monthly Income,Clothing P6M,Age Range,Life TV  Yesterday
0,9:45  -  9:59,60825713,Copperbelt,Mufulira,Urban,Male,2,None,C1,Completed high School,Others,Unemployed [SEEKING A JOB],No Income,No Income,Yes,25 – 34,"8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14"
1,9:15  -  9:29,60825713,Copperbelt,Mufulira,Urban,Male,2,None,C1,Completed high School,Others,Unemployed [SEEKING A JOB],No Income,No Income,Yes,25 – 34,"8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14"
2,9:30  -  9:44,60825713,Copperbelt,Mufulira,Urban,Male,2,None,C1,Completed high School,Others,Unemployed [SEEKING A JOB],No Income,No Income,Yes,25 – 34,"8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14"
3,9:00  -  9:14,60825713,Copperbelt,Mufulira,Urban,Male,2,None,C1,Completed high School,Others,Unemployed [SEEKING A JOB],No Income,No Income,Yes,25 – 34,"8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14"
4,8:15  -  8:29,60825713,Copperbelt,Mufulira,Urban,Male,2,None,C1,Completed high School,Others,Unemployed [SEEKING A JOB],No Income,No Income,Yes,25 – 34,"8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14"
5,10:00  -  10:14,60825713,Copperbelt,Mufulira,Urban,Male,2,None,C1,Completed high School,Others,Unemployed [SEEKING A JOB],No Income,No Income,Yes,25 – 34,"8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14"
6,8:45  -  8:59,60825713,Copperbelt,Mufulira,Urban,Male,2,None,C1,Completed high School,Others,Unemployed [SEEKING A JOB],No Income,No Income,Yes,25 – 34,"8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14"
7,8:30  -  8:44,60825713,Copperbelt,Mufulira,Urban,Male,2,None,C1,Completed high School,Others,Unemployed [SEEKING A JOB],No Income,No Income,Yes,25 – 34,"8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14"
8,9:45  -  9:59,134921924,Western,Mongu,Rural,Male,3,,DE,Secondary,Christian,Not employed,,No Income,,19 – 24,"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14                                                                                                                                                                                                                                                                                                                                                                   "
9,9:15  -  9:29,134921924,Western,Mongu,Rural,Male,3,,DE,Secondary,Christian,Not employed,,No Income,,19 – 24,"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14                                                                                                                                                                                                                                                                                                                                                                   "
