,1 Music  Monday analysis,SbjNum,Province,Districts,AREA TYPE,Gender,Number of Radio Sets,Number of Cars,LSM GROUP,Educational Qualification,Religion,Work Status,Social Class,Gross Monthly Income,Clothing P6M,Age Range,1 Music  Monday
0,14:00  -  14:14,60677795,Copperbelt,Luanshya,Rural,Male,1,None,C2,Some high school,Roman Catholic,Unemployed [SEEKING A JOB],D,K 850-K 1674,Yes,19 – 24,"14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14"
1,14:30  -  14:44,60677795,Copperbelt,Luanshya,Rural,Male,1,None,C2,Some high school,Roman Catholic,Unemployed [SEEKING A JOB],D,K 850-K 1674,Yes,19 – 24,"14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14"
2,14:15  -  14:29,60677795,Copperbelt,Luanshya,Rural,Male,1,None,C2,Some high school,Roman Catholic,Unemployed [SEEKING A JOB],D,K 850-K 1674,Yes,19 – 24,"14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14"
3,15:00  -  15:14,60677795,Copperbelt,Luanshya,Rural,Male,1,None,C2,Some high school,Roman Catholic,Unemployed [SEEKING A JOB],D,K 850-K 1674,Yes,19 – 24,"14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14"
4,14:45  -  14:59,60677795,Copperbelt,Luanshya,Rural,Male,1,None,C2,Some high school,Roman Catholic,Unemployed [SEEKING A JOB],D,K 850-K 1674,Yes,19 – 24,"14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14"
5,14:00  -  14:14,134659930,Northern,Mungwi,Rural,Female,1,,DE,Secondary,Christian,Not employed,D,Under K 849,,15 – 18,"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        "
6,14:30  -  14:44,134659930,Northern,Mungwi,Rural,Female,1,,DE,Secondary,Christian,Not employed,D,Under K 849,,15 – 18,"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        "
7,14:15  -  14:29,134659930,Northern,Mungwi,Rural,Female,1,,DE,Secondary,Christian,Not employed,D,Under K 849,,15 – 18,"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        "
8,15:00  -  15:14,134659930,Northern,Mungwi,Rural,Female,1,,DE,Secondary,Christian,Not employed,D,Under K 849,,15 – 18,"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        "
9,14:45  -  14:59,134659930,Northern,Mungwi,Rural,Female,1,,DE,Secondary,Christian,Not employed,D,Under K 849,,15 – 18,"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        "
10,14:00  -  14:14,134846079,Northern,Kasama,Urban,Female,0,,DE,Secondary,Christian,Employed for cash,D,K 850-K 1674,,19 – 24,"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        "
11,14:30  -  14:44,134846079,Northern,Kasama,Urban,Female,0,,DE,Secondary,Christian,Employed for cash,D,K 850-K 1674,,19 – 24,"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        "
12,14:15  -  14:29,134846079,Northern,Kasama,Urban,Female,0,,DE,Secondary,Christian,Employed for cash,D,K 850-K 1674,,19 – 24,"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        "
13,15:00  -  15:14,134846079,Northern,Kasama,Urban,Female,0,,DE,Secondary,Christian,Employed for cash,D,K 850-K 1674,,19 – 24,"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        "
14,14:45  -  14:59,134846079,Northern,Kasama,Urban,Female,0,,DE,Secondary,Christian,Employed for cash,D,K 850-K 1674,,19 – 24,"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        "
