,AMC Series  Sunday analysis,SbjNum,Province,Districts,AREA TYPE,Gender,Number of Radio Sets,Number of Cars,LSM GROUP,Educational Qualification,Religion,Work Status,Social Class,Gross Monthly Income,Clothing P6M,Age Range,AMC Series  Sunday
0,8:00  -  8:14,60668564,Muchinga,Nakonde,Urban,Female,2,Two or More,AB,Completed high School,Roman Catholic,Unemployed [SEEKING A JOB],D,Under K 849,Yes,19 – 24,"7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,1:30  -  1:44"
1,1:30  -  1:44,60668564,Muchinga,Nakonde,Urban,Female,2,Two or More,AB,Completed high School,Roman Catholic,Unemployed [SEEKING A JOB],D,Under K 849,Yes,19 – 24,"7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,1:30  -  1:44"
2,7:15  -  7:29,60668564,Muchinga,Nakonde,Urban,Female,2,Two or More,AB,Completed high School,Roman Catholic,Unemployed [SEEKING A JOB],D,Under K 849,Yes,19 – 24,"7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,1:30  -  1:44"
3,7:30  -  7:44,60668564,Muchinga,Nakonde,Urban,Female,2,Two or More,AB,Completed high School,Roman Catholic,Unemployed [SEEKING A JOB],D,Under K 849,Yes,19 – 24,"7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,1:30  -  1:44"
4,7:45  -  7:59,60668564,Muchinga,Nakonde,Urban,Female,2,Two or More,AB,Completed high School,Roman Catholic,Unemployed [SEEKING A JOB],D,Under K 849,Yes,19 – 24,"7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,1:30  -  1:44"
5,15:30  -  15:44,82184233,Copperbelt,Kitwe,Urban,Female,2,None,C1,Some primary school,Other Christian,A business owner,C1,"K 1675- K2,499",Yes,35 – 44,15:30  -  15:44
6,8:00  -  8:14,134663388,Northern,Mungwi,Rural,Female,3,,C2,Tertiary,Christian,Employed for cash,C2,"K 2,500   -  K 3,154",,25 – 34,"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,1:30  -  1:44                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           15:30  -  15:44                                                                                                                                                                                                    "
7,7:15  -  7:29,134663388,Northern,Mungwi,Rural,Female,3,,C2,Tertiary,Christian,Employed for cash,C2,"K 2,500   -  K 3,154",,25 – 34,"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,1:30  -  1:44                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           15:30  -  15:44                                                                                                                                                                                                    "
8,1:30  -  1:44                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           15:30  -  15:44,134663388,Northern,Mungwi,Rural,Female,3,,C2,Tertiary,Christian,Employed for cash,C2,"K 2,500   -  K 3,154",,25 – 34,"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,1:30  -  1:44                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           15:30  -  15:44                                                                                                                                                                                                    "
9,7:30  -  7:44,134663388,Northern,Mungwi,Rural,Female,3,,C2,Tertiary,Christian,Employed for cash,C2,"K 2,500   -  K 3,154",,25 – 34,"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,1:30  -  1:44                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           15:30  -  15:44                                                                                                                                                                                                    "
10,7:45  -  7:59,134663388,Northern,Mungwi,Rural,Female,3,,C2,Tertiary,Christian,Employed for cash,C2,"K 2,500   -  K 3,154",,25 – 34,"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,1:30  -  1:44                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           15:30  -  15:44                                                                                                                                                                                                    "
11,8:00  -  8:14,135122211,Central,Kabwe,Urban,Male,0,,C2,Secondary,Christian,Employed for cash,C2,"K 2,500   -  K 3,154",,25 – 34,"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,1:30  -  1:44                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           15:30  -  15:44                                                                                                                                                                                                    "
12,7:15  -  7:29,135122211,Central,Kabwe,Urban,Male,0,,C2,Secondary,Christian,Employed for cash,C2,"K 2,500   -  K 3,154",,25 – 34,"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,1:30  -  1:44                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           15:30  -  15:44                                                                                                                                                                                                    "
13,1:30  -  1:44                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           15:30  -  15:44,135122211,Central,Kabwe,Urban,Male,0,,C2,Secondary,Christian,Employed for cash,C2,"K 2,500   -  K 3,154",,25 – 34,"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,1:30  -  1:44                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           15:30  -  15:44                                                                                                                                                                                                    "
14,7:30  -  7:44,135122211,Central,Kabwe,Urban,Male,0,,C2,Secondary,Christian,Employed for cash,C2,"K 2,500   -  K 3,154",,25 – 34,"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,1:30  -  1:44                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           15:30  -  15:44                                                                                                                                                                                                    "
15,7:45  -  7:59,135122211,Central,Kabwe,Urban,Male,0,,C2,Secondary,Christian,Employed for cash,C2,"K 2,500   -  K 3,154",,25 – 34,"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,1:30  -  1:44                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           15:30  -  15:44                                                                                                                                                                                                    "
16,8:00  -  8:14,134994349,Muchinga,Mpika,Rural,Male,0,,C2,Secondary,Christian,Not employed,C2,"K 3,155   -  K 3,890",,19 – 24,"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,1:30  -  1:44                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           15:30  -  15:44                                                                                                                                                                                                    "
