,Africa Unite  Monday analysis,SbjNum,Province,Districts,AREA TYPE,Gender,Number of Radio Sets,Number of Cars,LSM GROUP,Educational Qualification,Religion,Work Status,Social Class,Gross Monthly Income,Clothing P6M,Age Range,Africa Unite  Monday
0,18:15  -  18:29,60775373,Copperbelt,Mufulira,Urban,Female,1,Two or More,AB,Completed high School,Anglican/Protestant,Student,Do not know,No Income,Yes,19 – 24,"18:15  -  18:29,18:30  -  18:44,18:45  -  18:59"
1,18:45  -  18:59,60775373,Copperbelt,Mufulira,Urban,Female,1,Two or More,AB,Completed high School,Anglican/Protestant,Student,Do not know,No Income,Yes,19 – 24,"18:15  -  18:29,18:30  -  18:44,18:45  -  18:59"
2,18:30  -  18:44,60775373,Copperbelt,Mufulira,Urban,Female,1,Two or More,AB,Completed high School,Anglican/Protestant,Student,Do not know,No Income,Yes,19 – 24,"18:15  -  18:29,18:30  -  18:44,18:45  -  18:59"
3,18:00  -  18:14,82033089,Eastern,Chipata,Rural,Female,2,One,AB,Some primary school,Other Christian,A housewife/househusband,AB,Do not know,Yes,35 – 44,18:00  -  18:14
4,9:30  -  9:44,82210551,Eastern,Chipata,Rural,Female,1,None,AB,Completed high School,Other Christian,Unemployed [SEEKING A JOB],AB,Do not know,Yes,19 – 24,"9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14"
5,9:45  -  9:59,82210551,Eastern,Chipata,Rural,Female,1,None,AB,Completed high School,Other Christian,Unemployed [SEEKING A JOB],AB,Do not know,Yes,19 – 24,"9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14"
6,9:15  -  9:29,82210551,Eastern,Chipata,Rural,Female,1,None,AB,Completed high School,Other Christian,Unemployed [SEEKING A JOB],AB,Do not know,Yes,19 – 24,"9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14"
7,10:00  -  10:14,82210551,Eastern,Chipata,Rural,Female,1,None,AB,Completed high School,Other Christian,Unemployed [SEEKING A JOB],AB,Do not know,Yes,19 – 24,"9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14"
8,9:00  -  9:14,82210551,Eastern,Chipata,Rural,Female,1,None,AB,Completed high School,Other Christian,Unemployed [SEEKING A JOB],AB,Do not know,Yes,19 – 24,"9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14"
9,21:00  -  21:14,60567073,Central,Mkushi,Urban,Male,1,None,C1,Some high school,Anglican/Protestant,Self employed,C2,"K 2,500   -  K 3,154",Yes,25 – 34,"20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44"
10,20:45  -  20:59,60567073,Central,Mkushi,Urban,Male,1,None,C1,Some high school,Anglican/Protestant,Self employed,C2,"K 2,500   -  K 3,154",Yes,25 – 34,"20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44"
11,21:30  -  21:44,60567073,Central,Mkushi,Urban,Male,1,None,C1,Some high school,Anglican/Protestant,Self employed,C2,"K 2,500   -  K 3,154",Yes,25 – 34,"20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44"
12,20:15  -  20:29,60567073,Central,Mkushi,Urban,Male,1,None,C1,Some high school,Anglican/Protestant,Self employed,C2,"K 2,500   -  K 3,154",Yes,25 – 34,"20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44"
13,21:15  -  21:29,60567073,Central,Mkushi,Urban,Male,1,None,C1,Some high school,Anglican/Protestant,Self employed,C2,"K 2,500   -  K 3,154",Yes,25 – 34,"20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44"
14,20:30  -  20:44,60567073,Central,Mkushi,Urban,Male,1,None,C1,Some high school,Anglican/Protestant,Self employed,C2,"K 2,500   -  K 3,154",Yes,25 – 34,"20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44"
15,20:00  -  20:14,60567073,Central,Mkushi,Urban,Male,1,None,C1,Some high school,Anglican/Protestant,Self employed,C2,"K 2,500   -  K 3,154",Yes,25 – 34,"20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44"
16,21:00  -  21:14,60617267,Central,Mkushi,Rural,Male,1,None,C1,Completed high School,Roman Catholic,Self employed,C2,"K 2,500   -  K 3,154",Yes,19 – 24,"20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44"
17,20:45  -  20:59,60617267,Central,Mkushi,Rural,Male,1,None,C1,Completed high School,Roman Catholic,Self employed,C2,"K 2,500   -  K 3,154",Yes,19 – 24,"20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44"
18,21:30  -  21:44,60617267,Central,Mkushi,Rural,Male,1,None,C1,Completed high School,Roman Catholic,Self employed,C2,"K 2,500   -  K 3,154",Yes,19 – 24,"20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44"
19,20:15  -  20:29,60617267,Central,Mkushi,Rural,Male,1,None,C1,Completed high School,Roman Catholic,Self employed,C2,"K 2,500   -  K 3,154",Yes,19 – 24,"20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44"
20,21:15  -  21:29,60617267,Central,Mkushi,Rural,Male,1,None,C1,Completed high School,Roman Catholic,Self employed,C2,"K 2,500   -  K 3,154",Yes,19 – 24,"20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44"
21,20:30  -  20:44,60617267,Central,Mkushi,Rural,Male,1,None,C1,Completed high School,Roman Catholic,Self employed,C2,"K 2,500   -  K 3,154",Yes,19 – 24,"20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44"
22,19:45  -  19:59,60658203,Central,Mkushi,Rural,Female,0,None,C1,Completed high School,Other Christian,Self employed,D,"K 1675- K2,499",Yes,19 – 24,"19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44"
23,20:30  -  20:44,60658203,Central,Mkushi,Rural,Female,0,None,C1,Completed high School,Other Christian,Self employed,D,"K 1675- K2,499",Yes,19 – 24,"19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44"
24,20:15  -  20:29,60658203,Central,Mkushi,Rural,Female,0,None,C1,Completed high School,Other Christian,Self employed,D,"K 1675- K2,499",Yes,19 – 24,"19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44"
25,20:00  -  20:14,60658203,Central,Mkushi,Rural,Female,0,None,C1,Completed high School,Other Christian,Self employed,D,"K 1675- K2,499",Yes,19 – 24,"19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44"
26,19:00  -  19:14,82538398,Copperbelt,Ndola,Urban,Female,1,One,C1,Some high school,Other Christian,Student,C1,Refusal [Do not show],Yes,19 – 24,"18:30  -  18:44,18:45  -  18:59,19:00  -  19:14"
27,18:45  -  18:59,82538398,Copperbelt,Ndola,Urban,Female,1,One,C1,Some high school,Other Christian,Student,C1,Refusal [Do not show],Yes,19 – 24,"18:30  -  18:44,18:45  -  18:59,19:00  -  19:14"
28,18:30  -  18:44,82538398,Copperbelt,Ndola,Urban,Female,1,One,C1,Some high school,Other Christian,Student,C1,Refusal [Do not show],Yes,19 – 24,"18:30  -  18:44,18:45  -  18:59,19:00  -  19:14"
29,22:00  -  22:14,60726250,Lusaka,Kafue,Rural,Female,1,None,C2,Some high school,Other Christian,Refused/ don’t know (DON’T READ),No Income,No Income,No,25 – 34,"20:00  -  20:14,21:15  -  21:29,22:00  -  22:14"
30,20:00  -  20:14,60726250,Lusaka,Kafue,Rural,Female,1,None,C2,Some high school,Other Christian,Refused/ don’t know (DON’T READ),No Income,No Income,No,25 – 34,"20:00  -  20:14,21:15  -  21:29,22:00  -  22:14"
31,21:15  -  21:29,60726250,Lusaka,Kafue,Rural,Female,1,None,C2,Some high school,Other Christian,Refused/ don’t know (DON’T READ),No Income,No Income,No,25 – 34,"20:00  -  20:14,21:15  -  21:29,22:00  -  22:14"
