,Africa Unite  Tueday analysis,SbjNum,Province,Districts,AREA TYPE,Gender,Number of Radio Sets,Number of Cars,LSM GROUP,Educational Qualification,Religion,Work Status,Social Class,Gross Monthly Income,Clothing P6M,Age Range,Africa Unite  Tueday
0,18:00  -  18:14,82033089,Eastern,Chipata,Rural,Female,2,One,AB,Some primary school,Other Christian,A housewife/househusband,AB,Do not know,Yes,35 – 44,18:00  -  18:14
1,9:30  -  9:44,82210551,Eastern,Chipata,Rural,Female,1,None,AB,Completed high School,Other Christian,Unemployed [SEEKING A JOB],AB,Do not know,Yes,19 – 24,"9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14"
2,9:45  -  9:59,82210551,Eastern,Chipata,Rural,Female,1,None,AB,Completed high School,Other Christian,Unemployed [SEEKING A JOB],AB,Do not know,Yes,19 – 24,"9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14"
3,9:15  -  9:29,82210551,Eastern,Chipata,Rural,Female,1,None,AB,Completed high School,Other Christian,Unemployed [SEEKING A JOB],AB,Do not know,Yes,19 – 24,"9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14"
4,10:00  -  10:14,82210551,Eastern,Chipata,Rural,Female,1,None,AB,Completed high School,Other Christian,Unemployed [SEEKING A JOB],AB,Do not know,Yes,19 – 24,"9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14"
5,9:00  -  9:14,82210551,Eastern,Chipata,Rural,Female,1,None,AB,Completed high School,Other Christian,Unemployed [SEEKING A JOB],AB,Do not know,Yes,19 – 24,"9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14"
6,19:00  -  19:14,82538398,Copperbelt,Ndola,Urban,Female,1,One,C1,Some high school,Other Christian,Student,C1,Refusal [Do not show],Yes,19 – 24,"18:30  -  18:44,18:45  -  18:59,19:00  -  19:14"
7,18:45  -  18:59,82538398,Copperbelt,Ndola,Urban,Female,1,One,C1,Some high school,Other Christian,Student,C1,Refusal [Do not show],Yes,19 – 24,"18:30  -  18:44,18:45  -  18:59,19:00  -  19:14"
8,18:30  -  18:44,82538398,Copperbelt,Ndola,Urban,Female,1,One,C1,Some high school,Other Christian,Student,C1,Refusal [Do not show],Yes,19 – 24,"18:30  -  18:44,18:45  -  18:59,19:00  -  19:14"
9,8:15  -  8:29,82117687,Eastern,Chipata,Urban,Male,1,None,C2,Completed high School,Other Christian,Unemployed [SEEKING A JOB],C2,Do not know,No,35 – 44,"8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14"
10,8:00  -  8:14,82117687,Eastern,Chipata,Urban,Male,1,None,C2,Completed high School,Other Christian,Unemployed [SEEKING A JOB],C2,Do not know,No,35 – 44,"8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14"
11,8:30  -  8:44,82117687,Eastern,Chipata,Urban,Male,1,None,C2,Completed high School,Other Christian,Unemployed [SEEKING A JOB],C2,Do not know,No,35 – 44,"8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14"
12,9:00  -  9:14,82117687,Eastern,Chipata,Urban,Male,1,None,C2,Completed high School,Other Christian,Unemployed [SEEKING A JOB],C2,Do not know,No,35 – 44,"8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14"
13,8:45  -  8:59,82117687,Eastern,Chipata,Urban,Male,1,None,C2,Completed high School,Other Christian,Unemployed [SEEKING A JOB],C2,Do not know,No,35 – 44,"8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14"
14,18:30  -  18:44,82274452,Copperbelt,Kitwe,Urban,Female,1,None,C2,Primary school completed,Other Christian,A business owner,C2,K 850-K 1674,No,35 – 44,18:30  -  18:44
15,9:30  -  9:44,82033098,Eastern,Chipata,Rural,Male,1,None,DE,Completed high School,Other Christian,A subsistence farmer/fisherman,D,Do not know,No,35 – 44,"9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14"
16,9:45  -  9:59,82033098,Eastern,Chipata,Rural,Male,1,None,DE,Completed high School,Other Christian,A subsistence farmer/fisherman,D,Do not know,No,35 – 44,"9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14"
17,9:15  -  9:29,82033098,Eastern,Chipata,Rural,Male,1,None,DE,Completed high School,Other Christian,A subsistence farmer/fisherman,D,Do not know,No,35 – 44,"9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14"
18,10:00  -  10:14,82033098,Eastern,Chipata,Rural,Male,1,None,DE,Completed high School,Other Christian,A subsistence farmer/fisherman,D,Do not know,No,35 – 44,"9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14"
19,9:00  -  9:14,82033098,Eastern,Chipata,Rural,Male,1,None,DE,Completed high School,Other Christian,A subsistence farmer/fisherman,D,Do not know,No,35 – 44,"9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14"
