,African Movie Channel AMC  Saturday analysis,SbjNum,Province,Districts,AREA TYPE,Gender,Number of Radio Sets,Number of Cars,LSM GROUP,Educational Qualification,Religion,Work Status,Social Class,Gross Monthly Income,Clothing P6M,Age Range,African Movie Channel AMC  Saturday
0,19:00  -  19:14,60689995,Lusaka,Lusaka district,Urban,Female,1,None,AB,Completed high School,Other Christian,Working Part-Time,C1,"K 3,155   -  K 3,890",Yes,25 – 34,"19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29"
1,19:45  -  19:59,60689995,Lusaka,Lusaka district,Urban,Female,1,None,AB,Completed high School,Other Christian,Working Part-Time,C1,"K 3,155   -  K 3,890",Yes,25 – 34,"19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29"
2,20:15  -  20:29,60689995,Lusaka,Lusaka district,Urban,Female,1,None,AB,Completed high School,Other Christian,Working Part-Time,C1,"K 3,155   -  K 3,890",Yes,25 – 34,"19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29"
3,19:15  -  19:29,60689995,Lusaka,Lusaka district,Urban,Female,1,None,AB,Completed high School,Other Christian,Working Part-Time,C1,"K 3,155   -  K 3,890",Yes,25 – 34,"19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29"
4,20:00  -  20:14,60689995,Lusaka,Lusaka district,Urban,Female,1,None,AB,Completed high School,Other Christian,Working Part-Time,C1,"K 3,155   -  K 3,890",Yes,25 – 34,"19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29"
5,19:30  -  19:44,60689995,Lusaka,Lusaka district,Urban,Female,1,None,AB,Completed high School,Other Christian,Working Part-Time,C1,"K 3,155   -  K 3,890",Yes,25 – 34,"19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29"
6,19:00  -  19:14,60706990,Lusaka,Lusaka district,Urban,Female,1,One,AB,Completed high School,Other Christian,Working Part-Time,C1,"K 2,500   -  K 3,154",Yes,19 – 24,"19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29"
7,19:45  -  19:59,60706990,Lusaka,Lusaka district,Urban,Female,1,One,AB,Completed high School,Other Christian,Working Part-Time,C1,"K 2,500   -  K 3,154",Yes,19 – 24,"19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29"
8,20:15  -  20:29,60706990,Lusaka,Lusaka district,Urban,Female,1,One,AB,Completed high School,Other Christian,Working Part-Time,C1,"K 2,500   -  K 3,154",Yes,19 – 24,"19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29"
9,19:15  -  19:29,60706990,Lusaka,Lusaka district,Urban,Female,1,One,AB,Completed high School,Other Christian,Working Part-Time,C1,"K 2,500   -  K 3,154",Yes,19 – 24,"19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29"
10,20:00  -  20:14,60706990,Lusaka,Lusaka district,Urban,Female,1,One,AB,Completed high School,Other Christian,Working Part-Time,C1,"K 2,500   -  K 3,154",Yes,19 – 24,"19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29"
11,19:30  -  19:44,60706990,Lusaka,Lusaka district,Urban,Female,1,One,AB,Completed high School,Other Christian,Working Part-Time,C1,"K 2,500   -  K 3,154",Yes,19 – 24,"19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29"
12,22:00  -  22:14,82205274,Copperbelt,Kitwe,Urban,Male,3,One,AB,University completed,Other Christian,Working Full-Time,AB,"K 14,632 -  K 17,499",Yes,35 – 44,"21:30  -  21:44,21:45  -  21:59,22:00  -  22:14"
13,21:30  -  21:44,82205274,Copperbelt,Kitwe,Urban,Male,3,One,AB,University completed,Other Christian,Working Full-Time,AB,"K 14,632 -  K 17,499",Yes,35 – 44,"21:30  -  21:44,21:45  -  21:59,22:00  -  22:14"
14,21:45  -  21:59,82205274,Copperbelt,Kitwe,Urban,Male,3,One,AB,University completed,Other Christian,Working Full-Time,AB,"K 14,632 -  K 17,499",Yes,35 – 44,"21:30  -  21:44,21:45  -  21:59,22:00  -  22:14"
