,African magic  Sunday analysis,SbjNum,Province,Districts,AREA TYPE,Gender,Number of Radio Sets,Number of Cars,LSM GROUP,Educational Qualification,Religion,Work Status,Social Class,Gross Monthly Income,Clothing P6M,Age Range,African magic  Sunday
0,12:45  -  12:59,60558982,Copperbelt,Chilililabombwe,Urban,Female,2,One,AB,Completed high School,Seventh Day Adventists,Housewife,AB,"K 17,500   - K  21,370",Yes,19 – 24,"9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59"
1,11:15  -  11:29,60558982,Copperbelt,Chilililabombwe,Urban,Female,2,One,AB,Completed high School,Seventh Day Adventists,Housewife,AB,"K 17,500   - K  21,370",Yes,19 – 24,"9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59"
2,12:15  -  12:29,60558982,Copperbelt,Chilililabombwe,Urban,Female,2,One,AB,Completed high School,Seventh Day Adventists,Housewife,AB,"K 17,500   - K  21,370",Yes,19 – 24,"9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59"
3,12:30  -  12:44,60558982,Copperbelt,Chilililabombwe,Urban,Female,2,One,AB,Completed high School,Seventh Day Adventists,Housewife,AB,"K 17,500   - K  21,370",Yes,19 – 24,"9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59"
4,10:30  -  10:44,60558982,Copperbelt,Chilililabombwe,Urban,Female,2,One,AB,Completed high School,Seventh Day Adventists,Housewife,AB,"K 17,500   - K  21,370",Yes,19 – 24,"9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59"
5,9:45  -  9:59,60558982,Copperbelt,Chilililabombwe,Urban,Female,2,One,AB,Completed high School,Seventh Day Adventists,Housewife,AB,"K 17,500   - K  21,370",Yes,19 – 24,"9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59"
6,11:30  -  11:44,60558982,Copperbelt,Chilililabombwe,Urban,Female,2,One,AB,Completed high School,Seventh Day Adventists,Housewife,AB,"K 17,500   - K  21,370",Yes,19 – 24,"9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59"
7,11:45  -  11:59,60558982,Copperbelt,Chilililabombwe,Urban,Female,2,One,AB,Completed high School,Seventh Day Adventists,Housewife,AB,"K 17,500   - K  21,370",Yes,19 – 24,"9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59"
8,11:00  -  11:14,60558982,Copperbelt,Chilililabombwe,Urban,Female,2,One,AB,Completed high School,Seventh Day Adventists,Housewife,AB,"K 17,500   - K  21,370",Yes,19 – 24,"9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59"
9,10:45  -  10:59,60558982,Copperbelt,Chilililabombwe,Urban,Female,2,One,AB,Completed high School,Seventh Day Adventists,Housewife,AB,"K 17,500   - K  21,370",Yes,19 – 24,"9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59"
