,BBC World News  Yesterday analysis,SbjNum,Province,Districts,AREA TYPE,Gender,Number of Radio Sets,Number of Cars,LSM GROUP,Educational Qualification,Religion,Work Status,Social Class,Gross Monthly Income,Clothing P6M,Age Range,BBC World News  Yesterday
0,22:15  -  22:29,60524231,Southern,Mazabuka,Urban,Male,2,None,AB,Some university,Roman Catholic,Working Full-Time,C1,"K 7,893 -  K 11,261",Yes,45+,"20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59,23:00  -  23:14"
1,21:00  -  21:14,60524231,Southern,Mazabuka,Urban,Male,2,None,AB,Some university,Roman Catholic,Working Full-Time,C1,"K 7,893 -  K 11,261",Yes,45+,"20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59,23:00  -  23:14"
2,23:00  -  23:14,60524231,Southern,Mazabuka,Urban,Male,2,None,AB,Some university,Roman Catholic,Working Full-Time,C1,"K 7,893 -  K 11,261",Yes,45+,"20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59,23:00  -  23:14"
3,20:45  -  20:59,60524231,Southern,Mazabuka,Urban,Male,2,None,AB,Some university,Roman Catholic,Working Full-Time,C1,"K 7,893 -  K 11,261",Yes,45+,"20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59,23:00  -  23:14"
4,22:00  -  22:14,60524231,Southern,Mazabuka,Urban,Male,2,None,AB,Some university,Roman Catholic,Working Full-Time,C1,"K 7,893 -  K 11,261",Yes,45+,"20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59,23:00  -  23:14"
5,21:30  -  21:44,60524231,Southern,Mazabuka,Urban,Male,2,None,AB,Some university,Roman Catholic,Working Full-Time,C1,"K 7,893 -  K 11,261",Yes,45+,"20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59,23:00  -  23:14"
6,21:15  -  21:29,60524231,Southern,Mazabuka,Urban,Male,2,None,AB,Some university,Roman Catholic,Working Full-Time,C1,"K 7,893 -  K 11,261",Yes,45+,"20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59,23:00  -  23:14"
7,20:30  -  20:44,60524231,Southern,Mazabuka,Urban,Male,2,None,AB,Some university,Roman Catholic,Working Full-Time,C1,"K 7,893 -  K 11,261",Yes,45+,"20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59,23:00  -  23:14"
8,22:30  -  22:44,60524231,Southern,Mazabuka,Urban,Male,2,None,AB,Some university,Roman Catholic,Working Full-Time,C1,"K 7,893 -  K 11,261",Yes,45+,"20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59,23:00  -  23:14"
9,21:45  -  21:59,60524231,Southern,Mazabuka,Urban,Male,2,None,AB,Some university,Roman Catholic,Working Full-Time,C1,"K 7,893 -  K 11,261",Yes,45+,"20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59,23:00  -  23:14"
