,BET International  Yesterday analysis,SbjNum,Province,Districts,AREA TYPE,Gender,Number of Radio Sets,Number of Cars,LSM GROUP,Educational Qualification,Religion,Work Status,Social Class,Gross Monthly Income,Clothing P6M,Age Range,BET International  Yesterday
0,15:30  -  15:44,60774652,Copperbelt,Ndola,Urban,Female,1,None,C1,Primary school completed,Roman Catholic,Unemployed [SEEKING A JOB],C1,K 850-K 1674,Yes,25 – 34,"15:15  -  15:29,15:30  -  15:44,15:45  -  15:59"
1,15:15  -  15:29,60774652,Copperbelt,Ndola,Urban,Female,1,None,C1,Primary school completed,Roman Catholic,Unemployed [SEEKING A JOB],C1,K 850-K 1674,Yes,25 – 34,"15:15  -  15:29,15:30  -  15:44,15:45  -  15:59"
2,15:45  -  15:59,60774652,Copperbelt,Ndola,Urban,Female,1,None,C1,Primary school completed,Roman Catholic,Unemployed [SEEKING A JOB],C1,K 850-K 1674,Yes,25 – 34,"15:15  -  15:29,15:30  -  15:44,15:45  -  15:59"
3,15:30  -  15:44,134596327,Central,Serenje,Rural,Male,1,,DE,Primary,Christian,Employed for cash,D,Under K 849,,25 – 34,"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     15:15  -  15:29,15:30  -  15:44,15:45  -  15:59                                                                                                                                                                                                                                                                                                                                                                                                                                  "
4,15:15  -  15:29,134596327,Central,Serenje,Rural,Male,1,,DE,Primary,Christian,Employed for cash,D,Under K 849,,25 – 34,"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     15:15  -  15:29,15:30  -  15:44,15:45  -  15:59                                                                                                                                                                                                                                                                                                                                                                                                                                  "
5,15:45  -  15:59,134596327,Central,Serenje,Rural,Male,1,,DE,Primary,Christian,Employed for cash,D,Under K 849,,25 – 34,"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     15:15  -  15:29,15:30  -  15:44,15:45  -  15:59                                                                                                                                                                                                                                                                                                                                                                                                                                  "
6,15:30  -  15:44,135054442,Western,Kalabo,Rural,Female,3,,DE,Secondary,Christian,Not employed,D,K 850-K 1674,,25 – 34,"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     15:15  -  15:29,15:30  -  15:44,15:45  -  15:59                                                                                                                                                                                                                                                                                                                                                                                                                                  "
7,15:15  -  15:29,135054442,Western,Kalabo,Rural,Female,3,,DE,Secondary,Christian,Not employed,D,K 850-K 1674,,25 – 34,"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     15:15  -  15:29,15:30  -  15:44,15:45  -  15:59                                                                                                                                                                                                                                                                                                                                                                                                                                  "
8,15:45  -  15:59,135054442,Western,Kalabo,Rural,Female,3,,DE,Secondary,Christian,Not employed,D,K 850-K 1674,,25 – 34,"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     15:15  -  15:29,15:30  -  15:44,15:45  -  15:59                                                                                                                                                                                                                                                                                                                                                                                                                                  "
9,15:30  -  15:44,134577993,Central,Serenje,Urban,Male,1,,DE,Primary,Christian,Employed for cash,D,K 850-K 1674,,35 – 44,"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     15:15  -  15:29,15:30  -  15:44,15:45  -  15:59                                                                                                                                                                                                                                                                                                                                                                                                                                  "
