,Baby TV  Sunday analysis,SbjNum,Province,Districts,AREA TYPE,Gender,Number of Radio Sets,Number of Cars,LSM GROUP,Educational Qualification,Religion,Work Status,Social Class,Gross Monthly Income,Clothing P6M,Age Range,Baby TV  Sunday
0,19:00  -  19:14,60779739,Southern,Mazabuka,Rural,Male,1,One,C1,Completed high School,Other Christian,Working Full-Time,D,"K 1675- K2,499",Yes,45+,"19:00  -  19:14,19:15  -  19:29"
1,19:15  -  19:29,60779739,Southern,Mazabuka,Rural,Male,1,One,C1,Completed high School,Other Christian,Working Full-Time,D,"K 1675- K2,499",Yes,45+,"19:00  -  19:14,19:15  -  19:29"
2,19:00  -  19:14,134657481,Central,Serenje,Rural,Male,1,,C2,Primary,Other,Employed not for cash,C2,"K 2,500   -  K 3,154",,19 – 24,"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        19:00  -  19:14,19:15  -  19:29                                                                                                                                                                                                                                                                                                                                                                                               "
3,19:15  -  19:29,134657481,Central,Serenje,Rural,Male,1,,C2,Primary,Other,Employed not for cash,C2,"K 2,500   -  K 3,154",,19 – 24,"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        19:00  -  19:14,19:15  -  19:29                                                                                                                                                                                                                                                                                                                                                                                               "
4,19:00  -  19:14,134920812,Central,Mkushi,Urban,Male,1,,C2,Secondary,Christian,Not employed,C2,"K 2,500   -  K 3,154",,25 – 34,"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        19:00  -  19:14,19:15  -  19:29                                                                                                                                                                                                                                                                                                                                                                                               "
5,19:15  -  19:29,134920812,Central,Mkushi,Urban,Male,1,,C2,Secondary,Christian,Not employed,C2,"K 2,500   -  K 3,154",,25 – 34,"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        19:00  -  19:14,19:15  -  19:29                                                                                                                                                                                                                                                                                                                                                                                               "
6,19:00  -  19:14,134844944,Muchinga,Mpika,Rural,Male,2,,C2,Tertiary,Christian,Employed for cash,C2,"K 4,628   -  K 5,364",,25 – 34,"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        19:00  -  19:14,19:15  -  19:29                                                                                                                                                                                                                                                                                                                                                                                               "
7,19:15  -  19:29,134844944,Muchinga,Mpika,Rural,Male,2,,C2,Tertiary,Christian,Employed for cash,C2,"K 4,628   -  K 5,364",,25 – 34,"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        19:00  -  19:14,19:15  -  19:29                                                                                                                                                                                                                                                                                                                                                                                               "
8,19:00  -  19:14,134724456,Northern,Mungwi,Urban,Female,0,,DE,Primary,Christian,Not employed,D,Under K 849,,25 – 34,"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        19:00  -  19:14,19:15  -  19:29                                                                                                                                                                                                                                                                                                                                                                                               "
9,19:15  -  19:29,134724456,Northern,Mungwi,Urban,Female,0,,DE,Primary,Christian,Not employed,D,Under K 849,,25 – 34,"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        19:00  -  19:14,19:15  -  19:29                                                                                                                                                                                                                                                                                                                                                                                               "
