,Bollywood  Tueday analysis,SbjNum,Province,Districts,AREA TYPE,Gender,Number of Radio Sets,Number of Cars,LSM GROUP,Educational Qualification,Religion,Work Status,Social Class,Gross Monthly Income,Clothing P6M,Age Range,Bollywood  Tueday
0,6:00  -  6:14,82006682,Eastern,Chipata,Rural,Male,1,None,AB,Completed high School,Other Christian,Student,AB,Under K 849,Yes,19 – 24,"6:00  -  6:14,9:00  -  9:14"
1,9:00  -  9:14,82006682,Eastern,Chipata,Rural,Male,1,None,AB,Completed high School,Other Christian,Student,AB,Under K 849,Yes,19 – 24,"6:00  -  6:14,9:00  -  9:14"
2,21:00  -  21:14,60724806,Lusaka,Lusaka district,Urban,Female,1,None,C1,Some high school,Roman Catholic,Unemployed [NOT SEEKING A JOB],Do not know,No Income,Yes,19 – 24,"20:45  -  20:59,21:00  -  21:14,21:15  -  21:29"
3,20:45  -  20:59,60724806,Lusaka,Lusaka district,Urban,Female,1,None,C1,Some high school,Roman Catholic,Unemployed [NOT SEEKING A JOB],Do not know,No Income,Yes,19 – 24,"20:45  -  20:59,21:00  -  21:14,21:15  -  21:29"
4,21:15  -  21:29,60724806,Lusaka,Lusaka district,Urban,Female,1,None,C1,Some high school,Roman Catholic,Unemployed [NOT SEEKING A JOB],Do not know,No Income,Yes,19 – 24,"20:45  -  20:59,21:00  -  21:14,21:15  -  21:29"
5,11:00  -  11:14,82205275,Copperbelt,Kitwe,Urban,Female,2,None,C1,Primary school completed,Other Christian,A business owner,C1,"K 3,155   -  K 3,890",Yes,35 – 44,11:00  -  11:14
6,19:30  -  19:44,82366369,Copperbelt,Kitwe,Urban,Female,2,None,C1,Primary school completed,Other Christian,A housewife/househusband,C1,K 850-K 1674,Yes,35 – 44,19:30  -  19:44
7,21:00  -  21:14,82096725,Southern,Livingstone,Urban,Male,0,None,C2,Some high school,Other Christian,Self employed,C2,"K 1675- K2,499",Yes,25 – 34,"20:00  -  20:14,21:00  -  21:14"
8,20:00  -  20:14,82096725,Southern,Livingstone,Urban,Male,0,None,C2,Some high school,Other Christian,Self employed,C2,"K 1675- K2,499",Yes,25 – 34,"20:00  -  20:14,21:00  -  21:14"
9,13:00  -  13:14,60639046,Lusaka,Kafue,Rural,Female,1,None,DE,Some primary school,Roman Catholic,Refused/ don’t know (DON’T READ),No Income,No Income,No,15 – 18,"10:00  -  10:14,13:00  -  13:14,14:00  -  14:14"
10,10:00  -  10:14,60639046,Lusaka,Kafue,Rural,Female,1,None,DE,Some primary school,Roman Catholic,Refused/ don’t know (DON’T READ),No Income,No Income,No,15 – 18,"10:00  -  10:14,13:00  -  13:14,14:00  -  14:14"
11,14:00  -  14:14,60639046,Lusaka,Kafue,Rural,Female,1,None,DE,Some primary school,Roman Catholic,Refused/ don’t know (DON’T READ),No Income,No Income,No,15 – 18,"10:00  -  10:14,13:00  -  13:14,14:00  -  14:14"
12,11:00  -  11:14,82256859,Southern,Livingstone,Urban,Male,1,None,DE,Completed high School,Other Christian,Do odd jobs or piece work,D,Under K 849,No,25 – 34,"11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59"
13,11:15  -  11:29,82256859,Southern,Livingstone,Urban,Male,1,None,DE,Completed high School,Other Christian,Do odd jobs or piece work,D,Under K 849,No,25 – 34,"11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59"
14,11:30  -  11:44,82256859,Southern,Livingstone,Urban,Male,1,None,DE,Completed high School,Other Christian,Do odd jobs or piece work,D,Under K 849,No,25 – 34,"11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59"
15,11:45  -  11:59,82256859,Southern,Livingstone,Urban,Male,1,None,DE,Completed high School,Other Christian,Do odd jobs or piece work,D,Under K 849,No,25 – 34,"11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59"
