,CBC TV  Friday analysis,SbjNum,Province,Districts,AREA TYPE,Gender,Number of Radio Sets,Number of Cars,LSM GROUP,Educational Qualification,Religion,Work Status,Social Class,Gross Monthly Income,Clothing P6M,Age Range,CBC TV  Friday
0,6:00  -  6:14,82009407,Southern,Livingstone,Urban,Male,0,None,C1,Some university,Other Christian,Self employed,C1,"K 1675- K2,499",No,35 – 44,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59"
1,6:15  -  6:29,82009407,Southern,Livingstone,Urban,Male,0,None,C1,Some university,Other Christian,Self employed,C1,"K 1675- K2,499",No,35 – 44,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59"
2,6:45  -  6:59,82009407,Southern,Livingstone,Urban,Male,0,None,C1,Some university,Other Christian,Self employed,C1,"K 1675- K2,499",No,35 – 44,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59"
3,6:30  -  6:44,82009407,Southern,Livingstone,Urban,Male,0,None,C1,Some university,Other Christian,Self employed,C1,"K 1675- K2,499",No,35 – 44,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59"
4,19:00  -  19:14,60650483,North-Western,Solwezi,Rural,Male,1,None,C2,Completed high School,Other Christian,Working Full-Time,D,"K 1675- K2,499",Yes,25 – 34,"19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59"
5,19:45  -  19:59,60650483,North-Western,Solwezi,Rural,Male,1,None,C2,Completed high School,Other Christian,Working Full-Time,D,"K 1675- K2,499",Yes,25 – 34,"19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59"
6,20:45  -  20:59,60650483,North-Western,Solwezi,Rural,Male,1,None,C2,Completed high School,Other Christian,Working Full-Time,D,"K 1675- K2,499",Yes,25 – 34,"19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59"
7,20:15  -  20:29,60650483,North-Western,Solwezi,Rural,Male,1,None,C2,Completed high School,Other Christian,Working Full-Time,D,"K 1675- K2,499",Yes,25 – 34,"19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59"
8,19:15  -  19:29,60650483,North-Western,Solwezi,Rural,Male,1,None,C2,Completed high School,Other Christian,Working Full-Time,D,"K 1675- K2,499",Yes,25 – 34,"19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59"
9,20:30  -  20:44,60650483,North-Western,Solwezi,Rural,Male,1,None,C2,Completed high School,Other Christian,Working Full-Time,D,"K 1675- K2,499",Yes,25 – 34,"19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59"
10,20:00  -  20:14,60650483,North-Western,Solwezi,Rural,Male,1,None,C2,Completed high School,Other Christian,Working Full-Time,D,"K 1675- K2,499",Yes,25 – 34,"19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59"
11,19:30  -  19:44,60650483,North-Western,Solwezi,Rural,Male,1,None,C2,Completed high School,Other Christian,Working Full-Time,D,"K 1675- K2,499",Yes,25 – 34,"19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59"
