,CBC TV  Tueday analysis,SbjNum,Province,Districts,AREA TYPE,Gender,Number of Radio Sets,Number of Cars,LSM GROUP,Educational Qualification,Religion,Work Status,Social Class,Gross Monthly Income,Clothing P6M,Age Range,CBC TV  Tueday
0,19:00  -  19:14,60524230,Southern,Mazabuka,Urban,Male,2,None,AB,Completed high School,Roman Catholic,Self employed,D,K 850-K 1674,Yes,25 – 34,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29"
1,18:45  -  18:59,60524230,Southern,Mazabuka,Urban,Male,2,None,AB,Completed high School,Roman Catholic,Self employed,D,K 850-K 1674,Yes,25 – 34,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29"
2,19:45  -  19:59,60524230,Southern,Mazabuka,Urban,Male,2,None,AB,Completed high School,Roman Catholic,Self employed,D,K 850-K 1674,Yes,25 – 34,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29"
3,18:15  -  18:29,60524230,Southern,Mazabuka,Urban,Male,2,None,AB,Completed high School,Roman Catholic,Self employed,D,K 850-K 1674,Yes,25 – 34,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29"
4,18:00  -  18:14,60524230,Southern,Mazabuka,Urban,Male,2,None,AB,Completed high School,Roman Catholic,Self employed,D,K 850-K 1674,Yes,25 – 34,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29"
5,20:15  -  20:29,60524230,Southern,Mazabuka,Urban,Male,2,None,AB,Completed high School,Roman Catholic,Self employed,D,K 850-K 1674,Yes,25 – 34,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29"
6,19:15  -  19:29,60524230,Southern,Mazabuka,Urban,Male,2,None,AB,Completed high School,Roman Catholic,Self employed,D,K 850-K 1674,Yes,25 – 34,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29"
7,18:30  -  18:44,60524230,Southern,Mazabuka,Urban,Male,2,None,AB,Completed high School,Roman Catholic,Self employed,D,K 850-K 1674,Yes,25 – 34,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29"
8,20:00  -  20:14,60524230,Southern,Mazabuka,Urban,Male,2,None,AB,Completed high School,Roman Catholic,Self employed,D,K 850-K 1674,Yes,25 – 34,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29"
9,19:30  -  19:44,60524230,Southern,Mazabuka,Urban,Male,2,None,AB,Completed high School,Roman Catholic,Self employed,D,K 850-K 1674,Yes,25 – 34,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29"
10,6:00  -  6:14,82009407,Southern,Livingstone,Urban,Male,0,None,C1,Some university,Other Christian,Self employed,C1,"K 1675- K2,499",No,35 – 44,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59"
11,6:15  -  6:29,82009407,Southern,Livingstone,Urban,Male,0,None,C1,Some university,Other Christian,Self employed,C1,"K 1675- K2,499",No,35 – 44,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59"
12,6:45  -  6:59,82009407,Southern,Livingstone,Urban,Male,0,None,C1,Some university,Other Christian,Self employed,C1,"K 1675- K2,499",No,35 – 44,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59"
13,6:30  -  6:44,82009407,Southern,Livingstone,Urban,Male,0,None,C1,Some university,Other Christian,Self employed,C1,"K 1675- K2,499",No,35 – 44,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59"
