,CNN  Sunday analysis,SbjNum,Province,Districts,AREA TYPE,Gender,Number of Radio Sets,Number of Cars,LSM GROUP,Educational Qualification,Religion,Work Status,Social Class,Gross Monthly Income,Clothing P6M,Age Range,CNN  Sunday
0,7:00  -  7:14,60564875,North-Western,Solwezi,Urban,Male,1,Two or More,AB,Completed high School,Roman Catholic,Retired - voluntary scholarspensioners,C1,"K 6,103   -  K 7,892",Yes,45+,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59"
1,6:15  -  6:29,60564875,North-Western,Solwezi,Urban,Male,1,Two or More,AB,Completed high School,Roman Catholic,Retired - voluntary scholarspensioners,C1,"K 6,103   -  K 7,892",Yes,45+,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59"
2,6:30  -  6:44,60564875,North-Western,Solwezi,Urban,Male,1,Two or More,AB,Completed high School,Roman Catholic,Retired - voluntary scholarspensioners,C1,"K 6,103   -  K 7,892",Yes,45+,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59"
3,7:15  -  7:29,60564875,North-Western,Solwezi,Urban,Male,1,Two or More,AB,Completed high School,Roman Catholic,Retired - voluntary scholarspensioners,C1,"K 6,103   -  K 7,892",Yes,45+,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59"
4,7:30  -  7:44,60564875,North-Western,Solwezi,Urban,Male,1,Two or More,AB,Completed high School,Roman Catholic,Retired - voluntary scholarspensioners,C1,"K 6,103   -  K 7,892",Yes,45+,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59"
5,6:00  -  6:14,60564875,North-Western,Solwezi,Urban,Male,1,Two or More,AB,Completed high School,Roman Catholic,Retired - voluntary scholarspensioners,C1,"K 6,103   -  K 7,892",Yes,45+,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59"
6,6:45  -  6:59,60564875,North-Western,Solwezi,Urban,Male,1,Two or More,AB,Completed high School,Roman Catholic,Retired - voluntary scholarspensioners,C1,"K 6,103   -  K 7,892",Yes,45+,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59"
7,7:45  -  7:59,60564875,North-Western,Solwezi,Urban,Male,1,Two or More,AB,Completed high School,Roman Catholic,Retired - voluntary scholarspensioners,C1,"K 6,103   -  K 7,892",Yes,45+,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59"
8,19:00  -  19:14,82020882,Southern,Livingstone,Urban,Male,0,Two or More,AB,University completed,Other Christian,Working Full-Time,AB,"K 7,893 -  K 11,261",Yes,35 – 44,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59"
9,18:45  -  18:59,82020882,Southern,Livingstone,Urban,Male,0,Two or More,AB,University completed,Other Christian,Working Full-Time,AB,"K 7,893 -  K 11,261",Yes,35 – 44,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59"
