,CNN  Yesterday analysis,SbjNum,Province,Districts,AREA TYPE,Gender,Number of Radio Sets,Number of Cars,LSM GROUP,Educational Qualification,Religion,Work Status,Social Class,Gross Monthly Income,Clothing P6M,Age Range,CNN  Yesterday
0,12:45  -  12:59,60540119,North-Western,Solwezi,Urban,Male,1,None,AB,Completed high School,Others,Unemployed [SEEKING A JOB],C2,"K 3,891  -  K 4,627",Yes,19 – 24,"12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14"
1,12:30  -  12:44,60540119,North-Western,Solwezi,Urban,Male,1,None,AB,Completed high School,Others,Unemployed [SEEKING A JOB],C2,"K 3,891  -  K 4,627",Yes,19 – 24,"12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14"
2,15:30  -  15:44,60540119,North-Western,Solwezi,Urban,Male,1,None,AB,Completed high School,Others,Unemployed [SEEKING A JOB],C2,"K 3,891  -  K 4,627",Yes,19 – 24,"12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14"
3,15:00  -  15:14,60540119,North-Western,Solwezi,Urban,Male,1,None,AB,Completed high School,Others,Unemployed [SEEKING A JOB],C2,"K 3,891  -  K 4,627",Yes,19 – 24,"12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14"
4,15:15  -  15:29,60540119,North-Western,Solwezi,Urban,Male,1,None,AB,Completed high School,Others,Unemployed [SEEKING A JOB],C2,"K 3,891  -  K 4,627",Yes,19 – 24,"12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14"
5,12:00  -  12:14,60540119,North-Western,Solwezi,Urban,Male,1,None,AB,Completed high School,Others,Unemployed [SEEKING A JOB],C2,"K 3,891  -  K 4,627",Yes,19 – 24,"12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14"
6,16:00  -  16:14,60540119,North-Western,Solwezi,Urban,Male,1,None,AB,Completed high School,Others,Unemployed [SEEKING A JOB],C2,"K 3,891  -  K 4,627",Yes,19 – 24,"12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14"
7,15:45  -  15:59,60540119,North-Western,Solwezi,Urban,Male,1,None,AB,Completed high School,Others,Unemployed [SEEKING A JOB],C2,"K 3,891  -  K 4,627",Yes,19 – 24,"12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14"
8,12:15  -  12:29,60540119,North-Western,Solwezi,Urban,Male,1,None,AB,Completed high School,Others,Unemployed [SEEKING A JOB],C2,"K 3,891  -  K 4,627",Yes,19 – 24,"12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14"
9,16:45  -  16:59,60588158,Southern,Livingstone,Urban,Male,0,None,AB,University completed,Roman Catholic,Working Full-Time,C2,"K 3,155   -  K 3,890",Yes,35 – 44,"14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59"
