,Discovery Channel  Monday analysis,SbjNum,Province,Districts,AREA TYPE,Gender,Number of Radio Sets,Number of Cars,LSM GROUP,Educational Qualification,Religion,Work Status,Social Class,Gross Monthly Income,Clothing P6M,Age Range,Discovery Channel  Monday
0,21:00  -  21:14,60515248,Central,Mkushi,Urban,Female,1,One,AB,University completed,Anglican/Protestant,Working Full-Time,C1,"K 11,262  -  K 14,631",Yes,25 – 34,"21:00  -  21:14,21:15  -  21:29,21:30  -  21:44"
1,21:30  -  21:44,60515248,Central,Mkushi,Urban,Female,1,One,AB,University completed,Anglican/Protestant,Working Full-Time,C1,"K 11,262  -  K 14,631",Yes,25 – 34,"21:00  -  21:14,21:15  -  21:29,21:30  -  21:44"
2,21:15  -  21:29,60515248,Central,Mkushi,Urban,Female,1,One,AB,University completed,Anglican/Protestant,Working Full-Time,C1,"K 11,262  -  K 14,631",Yes,25 – 34,"21:00  -  21:14,21:15  -  21:29,21:30  -  21:44"
3,16:00  -  16:14,60679397,Eastern,Chipata,Urban,Male,0,None,C1,Completed high School,Roman Catholic,Working Full-Time,C2,"K 6,103   -  K 7,892",Yes,25 – 34,"16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14"
4,16:15  -  16:29,60679397,Eastern,Chipata,Urban,Male,0,None,C1,Completed high School,Roman Catholic,Working Full-Time,C2,"K 6,103   -  K 7,892",Yes,25 – 34,"16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14"
5,17:00  -  17:14,60679397,Eastern,Chipata,Urban,Male,0,None,C1,Completed high School,Roman Catholic,Working Full-Time,C2,"K 6,103   -  K 7,892",Yes,25 – 34,"16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14"
6,16:45  -  16:59,60679397,Eastern,Chipata,Urban,Male,0,None,C1,Completed high School,Roman Catholic,Working Full-Time,C2,"K 6,103   -  K 7,892",Yes,25 – 34,"16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14"
7,16:30  -  16:44,60679397,Eastern,Chipata,Urban,Male,0,None,C1,Completed high School,Roman Catholic,Working Full-Time,C2,"K 6,103   -  K 7,892",Yes,25 – 34,"16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14"
8,18:45  -  18:59,82088904,Copperbelt,Ndola,Urban,Female,1,None,C1,Completed high School,Other Christian,Self employed,C1,K 850-K 1674,Yes,25 – 34,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59"
9,18:00  -  18:14,82088904,Copperbelt,Ndola,Urban,Female,1,None,C1,Completed high School,Other Christian,Self employed,C1,K 850-K 1674,Yes,25 – 34,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59"
