,Discovery Channel  Thursday analysis,SbjNum,Province,Districts,AREA TYPE,Gender,Number of Radio Sets,Number of Cars,LSM GROUP,Educational Qualification,Religion,Work Status,Social Class,Gross Monthly Income,Clothing P6M,Age Range,Discovery Channel  Thursday
0,18:15  -  18:29,60612961,Lusaka,Lusaka district,Urban,Female,1,Two or More,C1,Completed high School,Anglican/Protestant,Housewife,Do not know,No Income,Yes,19 – 24,"18:15  -  18:29,18:30  -  18:44"
1,18:30  -  18:44,60612961,Lusaka,Lusaka district,Urban,Female,1,Two or More,C1,Completed high School,Anglican/Protestant,Housewife,Do not know,No Income,Yes,19 – 24,"18:15  -  18:29,18:30  -  18:44"
2,21:30  -  21:44,60642683,Northern,Kasama,Urban,Male,1,None,C1,Some high school,Roman Catholic,Student,Do not know,No Income,Yes,15 – 18,"21:30  -  21:44,21:45  -  21:59"
3,21:45  -  21:59,60642683,Northern,Kasama,Urban,Male,1,None,C1,Some high school,Roman Catholic,Student,Do not know,No Income,Yes,15 – 18,"21:30  -  21:44,21:45  -  21:59"
4,18:45  -  18:59,82088904,Copperbelt,Ndola,Urban,Female,1,None,C1,Completed high School,Other Christian,Self employed,C1,K 850-K 1674,Yes,25 – 34,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59"
5,18:00  -  18:14,82088904,Copperbelt,Ndola,Urban,Female,1,None,C1,Completed high School,Other Christian,Self employed,C1,K 850-K 1674,Yes,25 – 34,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59"
6,18:15  -  18:29,82088904,Copperbelt,Ndola,Urban,Female,1,None,C1,Completed high School,Other Christian,Self employed,C1,K 850-K 1674,Yes,25 – 34,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59"
7,18:30  -  18:44,82088904,Copperbelt,Ndola,Urban,Female,1,None,C1,Completed high School,Other Christian,Self employed,C1,K 850-K 1674,Yes,25 – 34,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59"
8,20:30  -  20:44,82105101,Copperbelt,Kitwe,Urban,Female,2,None,C1,Some primary school,Other Christian,Unemployed [SEEKING A JOB],C1,K 850-K 1674,Yes,25 – 34,20:30  -  20:44
9,10:00  -  10:14,82112241,Southern,Livingstone,Urban,Male,1,None,C1,Completed high School,Other Christian,Other (specify),C1,"K 2,500   -  K 3,154",No,35 – 44,"10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59"
10,10:15  -  10:29,82112241,Southern,Livingstone,Urban,Male,1,None,C1,Completed high School,Other Christian,Other (specify),C1,"K 2,500   -  K 3,154",No,35 – 44,"10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59"
11,10:45  -  10:59,82112241,Southern,Livingstone,Urban,Male,1,None,C1,Completed high School,Other Christian,Other (specify),C1,"K 2,500   -  K 3,154",No,35 – 44,"10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59"
12,10:30  -  10:44,82112241,Southern,Livingstone,Urban,Male,1,None,C1,Completed high School,Other Christian,Other (specify),C1,"K 2,500   -  K 3,154",No,35 – 44,"10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59"
13,16:00  -  16:14,60642680,Northern,Kasama,Rural,Male,0,None,C2,Completed high School,Anglican/Protestant,Unemployed [SEEKING A JOB],Do not know,Do not know,Yes,19 – 24,"16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14"
14,16:15  -  16:29,60642680,Northern,Kasama,Rural,Male,0,None,C2,Completed high School,Anglican/Protestant,Unemployed [SEEKING A JOB],Do not know,Do not know,Yes,19 – 24,"16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14"
15,17:00  -  17:14,60642680,Northern,Kasama,Rural,Male,0,None,C2,Completed high School,Anglican/Protestant,Unemployed [SEEKING A JOB],Do not know,Do not know,Yes,19 – 24,"16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14"
16,16:45  -  16:59,60642680,Northern,Kasama,Rural,Male,0,None,C2,Completed high School,Anglican/Protestant,Unemployed [SEEKING A JOB],Do not know,Do not know,Yes,19 – 24,"16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14"
17,16:30  -  16:44,60642680,Northern,Kasama,Rural,Male,0,None,C2,Completed high School,Anglican/Protestant,Unemployed [SEEKING A JOB],Do not know,Do not know,Yes,19 – 24,"16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14"
18,11:45  -  11:59,82179280,Copperbelt,Ndola,Urban,Male,3,One,C2,Completed high School,Other Christian,Unemployed [SEEKING A JOB],C2,Refusal [Do not show],Yes,25 – 34,11:45  -  11:59
